-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1997 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1997,-0.25,41.25,39.62,40.1,39.93,34.77,35.15,33.94,32.08,34.3,36.8,33.99,32.07,31.03,40.1
T2M_MAX,1997,-0.25,41.75,38.57,39.53,38.44,35.55,34.18,33.01,31.25,32.77,35.45,33.69,31.94,31.07,39.53
T2M_MAX,1997,-0.25,42.25,35.02,35.98,34.98,33.81,31.96,30.96,29.75,30.53,32.41,31.56,30.37,30.38,35.98
T2M_MAX,1997,-0.25,42.75,30.86,31.54,31.37,31.16,29.72,28.9,28.21,28.18,29.15,29.23,28.89,29.34,31.88
T2M_MAX,1997,-0.25,43.25,27.68,28.03,28.89,29.0,28.26,27.55,27.13,26.36,26.83,27.81,28.18,28.44,29.0
T2M_MAX,1997,-0.25,43.75,26.8,27.06,28.3,28.48,27.95,27.28,26.89,25.76,26.27,27.82,28.05,28.3,28.48
T2M_MAX,1997,-0.25,44.25,26.75,27.0,28.26,28.63,28.21,27.4,26.88,25.86,26.35,27.79,28.02,28.28,28.63
T2M_MAX,1997,-0.25,44.75,26.72,26.95,28.34,28.67,28.22,27.46,26.85,26.01,26.44,27.77,28.04,28.41,28.67
T2M_MAX,1997,-0.25,45.25,26.71,26.99,28.44,28.71,28.23,27.48,26.86,26.11,26.55,27.74,28.03,28.52,28.71
T2M_MAX,1997,-0.25,45.75,26.7,27.07,28.51,28.81,28.33,27.49,26.93,26.09,26.65,27.74,27.97,28.54,28.81
T2M_MAX,1997,-0.25,46.25,26.71,27.02,28.45,28.93,28.42,27.51,27.08,25.98,26.72,27.84,27.94,28.51,28.93
T2M_MAX,1997,-0.25,46.75,26.66,26.89,28.32,28.95,28.6,27.56,27.04,26.0,26.78,27.85,27.93,28.49,28.95
T2M_MAX,1997,-0.75,41.25,38.84,39.8,39.51,34.45,33.97,33.01,30.85,32.9,35.61,32.73,31.87,30.93,39.8
T2M_MAX,1997,-0.75,41.75,35.83,36.67,36.12,34.08,32.34,31.61,29.53,30.73,32.98,31.86,31.15,30.93,36.73
T2M_MAX,1997,-0.75,42.25,31.17,31.6,31.87,31.3,29.99,29.2,27.98,28.07,29.25,29.4,29.41,29.8,32.17
T2M_MAX,1997,-0.75,42.75,27.88,28.06,29.11,29.06,28.43,27.56,27.04,26.32,26.82,27.77,28.24,28.78,29.15
T2M_MAX,1997,-0.75,43.25,26.84,27.05,28.42,28.44,28.02,27.19,26.88,25.8,26.25,27.6,28.04,28.37,28.45
T2M_MAX,1997,-0.75,43.75,26.74,27.08,28.58,28.53,27.94,27.3,27.04,25.76,26.28,27.66,28.13,28.31,28.61
T2M_MAX,1997,-0.75,44.25,26.67,27.07,28.57,28.66,28.05,27.37,26.98,25.84,26.41,27.63,28.11,28.23,28.7
T2M_MAX,1997,-0.75,44.75,26.64,27.05,28.54,28.75,28.15,27.4,26.92,25.95,26.5,27.7,28.1,28.3,28.76
T2M_MAX,1997,-0.75,45.25,26.68,27.09,28.56,28.91,28.29,27.42,26.9,26.05,26.56,27.72,28.07,28.44,28.91
T2M_MAX,1997,-0.75,45.75,26.74,27.15,28.6,29.14,28.43,27.46,26.94,26.11,26.59,27.7,28.04,28.56,29.14
T2M_MAX,1997,-0.75,46.25,26.78,27.08,28.5,29.29,28.46,27.52,27.03,26.09,26.63,27.85,28.02,28.56,29.29
T2M_MAX,1997,-0.75,46.75,26.68,26.83,28.46,29.13,28.52,27.6,26.95,26.16,26.72,27.83,27.99,28.5,29.13
T2M_MAX,1997,-1.25,41.25,37.57,39.09,38.55,33.33,31.98,31.6,29.69,31.4,34.0,31.98,31.46,30.78,39.09
T2M_MAX,1997,-1.25,41.75,32.19,32.75,33.41,31.82,29.99,29.64,28.12,28.58,30.22,30.09,29.86,30.1,33.52
T2M_MAX,1997,-1.25,42.25,28.56,28.71,30.23,29.8,28.72,28.04,27.16,26.65,27.43,28.35,28.63,29.11,30.23
T2M_MAX,1997,-1.25,42.75,26.94,27.07,28.81,28.61,28.13,27.26,26.84,25.82,26.21,27.55,28.09,28.52,28.81
T2M_MAX,1997,-1.25,43.25,26.78,27.06,28.59,28.5,28.01,27.23,26.94,25.8,26.25,27.62,28.11,28.43,28.6
T2M_MAX,1997,-1.25,43.75,26.67,27.06,28.64,28.59,27.87,27.29,27.07,25.76,26.29,27.65,28.17,28.35,28.67
T2M_MAX,1997,-1.25,44.25,26.61,27.09,28.69,28.85,27.97,27.36,27.03,25.85,26.47,27.68,28.22,28.31,28.9
T2M_MAX,1997,-1.25,44.75,26.63,27.08,28.77,28.98,28.2,27.36,26.98,25.86,26.58,27.7,28.21,28.29,28.99
T2M_MAX,1997,-1.25,45.25,26.71,27.1,28.77,29.14,28.45,27.36,26.93,25.91,26.61,27.69,28.18,28.34,29.14
T2M_MAX,1997,-1.25,45.75,26.82,27.15,28.67,29.33,28.61,27.4,26.89,26.03,26.61,27.69,28.15,28.43,29.33
T2M_MAX,1997,-1.25,46.25,26.87,27.1,28.52,29.39,28.6,27.47,26.93,26.13,26.65,27.76,28.11,28.41,29.39
T2M_MAX,1997,-1.25,46.75,26.71,26.87,28.56,29.3,28.56,27.57,26.87,26.21,26.7,27.75,28.09,28.36,29.3
T2M_MAX,1997,-1.75,41.25,34.26,35.6,35.02,31.9,29.96,29.99,28.47,29.39,31.14,30.81,30.6,30.4,35.6
T2M_MAX,1997,-1.75,41.75,29.03,29.56,30.94,29.93,28.67,28.2,27.24,26.8,27.88,28.61,28.95,29.25,31.05
T2M_MAX,1997,-1.75,42.25,27.19,27.48,29.4,29.0,28.27,27.56,26.85,25.89,26.53,27.86,28.35,28.74,29.4
T2M_MAX,1997,-1.75,42.75,26.81,27.12,28.97,28.67,28.13,27.4,26.85,25.76,26.2,27.75,28.21,28.57,28.97
T2M_MAX,1997,-1.75,43.25,26.74,27.16,28.76,28.64,27.95,27.35,26.96,25.83,26.26,27.77,28.2,28.51,28.8
T2M_MAX,1997,-1.75,43.75,26.64,27.2,28.51,28.69,27.81,27.34,27.05,25.82,26.31,27.75,28.29,28.48,28.69
T2M_MAX,1997,-1.75,44.25,26.66,27.28,28.66,28.92,27.95,27.36,27.05,25.86,26.53,27.78,28.35,28.46,28.92
T2M_MAX,1997,-1.75,44.75,26.74,27.2,28.79,29.06,28.18,27.35,27.03,25.83,26.65,27.77,28.35,28.39,29.06
T2M_MAX,1997,-1.75,45.25,26.84,27.12,28.81,29.15,28.46,27.33,26.96,25.85,26.69,27.75,28.32,28.31,29.15
T2M_MAX,1997,-1.75,45.75,26.91,27.11,28.7,29.18,28.69,27.34,26.88,25.95,26.69,27.74,28.28,28.24,29.18
T2M_MAX,1997,-1.75,46.25,26.92,27.12,28.59,29.16,28.67,27.34,26.88,26.1,26.72,27.75,28.2,28.15,29.16
T2M_MAX,1997,-1.75,46.75,26.81,27.0,28.63,29.24,28.6,27.47,26.83,26.16,26.72,27.75,28.12,28.12,29.24
T2M_MAX,1997,0.25,41.25,39.71,40.11,40.1,35.1,35.37,34.1,33.08,35.08,37.19,35.34,32.36,31.35,40.14
T2M_MAX,1997,0.25,41.75,39.76,40.4,39.87,36.65,34.89,33.5,32.83,34.33,36.96,35.39,32.12,31.09,40.41
T2M_MAX,1997,0.25,42.25,38.37,39.43,38.4,36.79,33.82,32.69,32.15,33.34,35.73,34.36,31.01,30.62,39.43
T2M_MAX,1997,0.25,42.75,35.23,36.34,35.52,34.79,31.92,31.21,30.72,31.5,33.1,32.25,29.77,29.83,36.41
T2M_MAX,1997,0.25,43.25,31.01,31.75,31.79,31.4,29.65,29.23,28.75,28.87,29.59,29.64,28.76,28.93,32.11
T2M_MAX,1997,0.25,43.75,27.44,27.68,28.44,28.83,28.19,27.5,27.01,26.19,26.65,27.73,27.97,28.5,28.83
T2M_MAX,1997,0.25,44.25,26.96,26.96,28.22,28.73,28.27,27.39,26.84,25.92,26.44,27.77,27.9,28.39,28.73
T2M_MAX,1997,0.25,44.75,26.84,26.79,28.31,28.66,28.18,27.41,26.78,26.01,26.43,27.74,27.93,28.4,28.66
T2M_MAX,1997,0.25,45.25,26.79,26.88,28.42,28.63,28.12,27.45,26.78,26.09,26.52,27.72,27.96,28.44,28.63
T2M_MAX,1997,0.25,45.75,26.71,26.98,28.39,28.66,28.21,27.45,26.83,26.01,26.66,27.73,27.95,28.43,28.66
T2M_MAX,1997,0.25,46.25,26.69,26.98,28.26,28.8,28.44,27.48,27.01,25.91,26.73,27.73,27.93,28.37,28.8
T2M_MAX,1997,0.25,46.75,26.65,26.92,28.14,28.96,28.6,27.5,27.04,25.91,26.78,27.81,27.96,28.39,28.96
T2M_MAX,1997,0.75,41.25,39.99,40.34,40.24,36.59,35.22,34.07,33.9,35.63,37.3,36.34,32.8,31.67,40.37
T2M_MAX,1997,0.75,41.75,40.14,40.55,40.58,38.07,35.17,33.95,33.94,35.48,37.62,36.55,31.96,30.98,40.64
T2M_MAX,1997,0.75,42.25,39.85,40.57,40.34,38.72,34.9,34.0,34.05,35.33,37.54,36.41,31.13,30.51,40.67
T2M_MAX,1997,0.75,42.75,38.53,39.5,39.06,37.69,33.81,33.46,33.49,34.63,36.38,35.35,30.39,30.15,39.56
T2M_MAX,1997,0.75,43.25,35.68,36.65,36.21,34.97,31.9,31.93,31.8,32.7,33.72,33.04,29.66,29.74,36.73
T2M_MAX,1997,0.75,43.75,30.89,31.52,31.24,31.35,29.71,29.37,28.85,28.78,29.36,29.4,28.64,29.04,31.92
T2M_MAX,1997,0.75,44.25,27.84,27.82,28.78,29.31,28.58,27.74,27.19,26.49,27.12,27.9,28.08,28.66,29.43
T2M_MAX,1997,0.75,44.75,26.96,26.76,28.22,28.74,28.07,27.35,26.72,26.05,26.47,27.58,27.97,28.45,28.74
T2M_MAX,1997,0.75,45.25,26.83,26.73,28.2,28.66,28.01,27.36,26.68,26.08,26.49,27.62,28.03,28.36,28.66
T2M_MAX,1997,0.75,45.75,26.74,26.82,28.12,28.71,28.2,27.37,26.7,25.97,26.59,27.61,28.09,28.34,28.71
T2M_MAX,1997,0.75,46.25,26.68,26.84,28.1,29.05,28.43,27.39,26.83,25.89,26.62,27.58,28.1,28.31,29.05
T2M_MAX,1997,0.75,46.75,26.64,26.78,28.09,29.01,28.64,27.4,26.91,25.9,26.71,27.7,28.09,28.34,29.01
T2M_MAX,1997,1.25,41.25,40.35,40.72,40.44,38.22,35.15,34.49,34.4,35.96,37.44,36.87,32.23,31.11,40.72
T2M_MAX,1997,1.25,41.75,40.36,40.76,40.83,38.82,35.3,34.54,34.56,36.17,37.81,37.08,31.23,30.48,40.88
