-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1997 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1997,10.25,41.75,35.56,36.3,39.79,37.95,39.72,39.36,38.41,37.47,38.83,37.95,33.65,34.29,40.17
T2M_MAX,1997,10.25,42.25,34.33,35.01,38.64,36.72,38.46,38.39,36.95,36.1,37.4,36.43,32.57,32.72,38.96
T2M_MAX,1997,10.25,42.75,32.77,33.23,37.13,34.93,36.95,37.44,35.66,35.06,36.5,35.15,30.84,30.89,37.69
T2M_MAX,1997,10.25,43.25,31.57,31.65,36.27,33.9,36.13,37.5,35.98,35.65,37.06,35.09,29.51,29.82,37.56
T2M_MAX,1997,10.25,43.75,31.84,31.61,37.62,35.75,37.34,39.91,39.57,39.23,39.8,37.4,30.6,30.64,40.21
T2M_MAX,1997,10.25,44.25,30.62,30.11,35.6,34.55,36.92,39.64,39.32,38.89,39.03,36.38,30.39,29.83,39.7
T2M_MAX,1997,10.25,44.75,30.1,29.84,34.67,33.79,36.17,38.32,37.95,37.86,37.82,35.7,30.37,29.73,38.46
T2M_MAX,1997,10.25,45.25,30.89,30.78,35.27,34.02,35.89,37.87,37.61,37.81,37.67,35.81,30.89,30.41,38.18
T2M_MAX,1997,10.25,45.75,32.1,32.0,36.32,34.55,35.94,38.24,38.25,38.57,38.24,36.15,31.61,31.27,38.73
T2M_MAX,1997,10.25,46.25,31.44,31.68,35.24,33.44,35.15,37.49,37.61,38.1,37.36,35.13,31.44,31.08,38.1
T2M_MAX,1997,10.25,46.75,31.62,32.36,35.15,33.56,33.55,35.4,35.32,36.52,35.43,33.64,32.04,31.81,36.52
T2M_MAX,1997,10.25,47.25,30.65,31.98,33.35,32.34,31.61,32.43,32.3,33.78,32.58,31.45,31.04,30.86,33.86
T2M_MAX,1997,10.25,47.75,30.14,31.58,32.51,31.83,31.05,31.16,31.12,32.64,31.85,30.77,30.84,30.29,32.72
T2M_MAX,1997,10.25,48.25,30.56,31.54,33.3,32.69,32.21,32.15,32.2,33.65,33.6,31.97,31.88,30.65,33.73
T2M_MAX,1997,10.25,48.75,31.2,31.6,34.4,34.22,34.01,33.92,33.77,35.22,35.5,33.62,32.61,30.96,35.58
T2M_MAX,1997,10.25,49.25,31.24,32.3,34.9,34.85,36.51,35.62,35.55,36.48,36.9,35.44,33.66,31.69,36.96
T2M_MAX,1997,10.25,49.75,30.86,32.34,34.88,35.43,37.96,36.7,36.9,37.18,37.68,36.36,33.86,31.81,38.03
T2M_MAX,1997,10.25,50.25,30.3,31.7,34.34,35.32,38.72,37.73,38.08,37.82,38.36,37.02,33.49,31.42,38.74
T2M_MAX,1997,10.25,50.75,29.19,30.07,32.72,33.73,37.55,37.22,37.52,36.94,37.25,35.9,32.3,30.39,37.63
T2M_MAX,1997,10.25,51.25,26.57,26.74,28.87,29.76,31.6,31.57,31.85,31.1,30.46,29.28,29.47,28.36,31.85
T2M_MAX,1997,10.75,41.75,36.24,36.94,40.18,38.75,41.42,40.79,40.15,39.62,40.79,39.71,35.01,35.27,41.42
T2M_MAX,1997,10.75,42.25,34.49,35.02,39.11,37.07,40.23,40.18,39.05,38.65,39.65,38.48,33.48,33.14,40.41
T2M_MAX,1997,10.75,42.75,32.54,32.98,37.66,35.62,39.19,40.2,38.93,38.68,39.56,37.64,32.11,31.31,40.2
T2M_MAX,1997,10.75,43.25,30.91,31.32,36.18,35.09,38.53,40.97,40.14,39.98,40.54,37.38,31.49,30.61,40.98
T2M_MAX,1997,10.75,43.75,29.26,29.5,34.41,34.93,37.39,41.27,41.06,40.45,40.49,36.6,31.39,30.33,41.35
T2M_MAX,1997,10.75,44.25,27.0,27.06,30.84,32.15,35.2,38.08,37.44,36.99,37.26,33.96,29.78,28.55,38.1
T2M_MAX,1997,10.75,44.75,26.77,26.7,30.19,31.32,34.54,36.46,35.91,35.66,35.98,33.63,29.62,28.43,36.54
T2M_MAX,1997,10.75,45.25,28.0,27.69,31.71,32.0,35.03,36.6,36.21,36.21,36.47,34.59,30.4,29.3,36.71
T2M_MAX,1997,10.75,45.75,29.52,28.8,33.65,33.1,35.9,37.67,37.25,37.47,37.62,35.62,31.29,30.17,37.73
T2M_MAX,1997,10.75,46.25,29.44,28.32,33.29,32.86,35.89,37.8,37.17,37.39,37.42,35.28,31.13,29.78,37.82
