asdf_id,gpw_v4_rev11_count.2020.sum,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,552808.453125,ADM1,0,SOM,SOM-ADM1-83879307B69447496,SO-HI,Hiiraan,ADM1
1,447763.501465,ADM1,1,SOM,SOM-ADM1-83879307B31421433,SO-SA,Sanaag,ADM1
2,1386344.5,ADM1,2,SOM,SOM-ADM1-83879307B50077152,SO-BN,Banadir,ADM1
3,670595.67041,ADM1,3,SOM,SOM-ADM1-83879307B93989975,SO-TO,Togdheer,ADM1
4,513655.125,ADM1,4,SOM,SOM-ADM1-83879307B40839705,SO-BK,Bakool,ADM1
5,565495.574219,ADM1,5,SOM,SOM-ADM1-83879307B19035659,SO-GE,Gedo,ADM1
6,875867.875,ADM1,6,SOM,SOM-ADM1-83879307B46842865,SO-SD,Middle Shebelle,ADM1
7,1163768.53906,ADM1,7,SOM,SOM-ADM1-83879307B59709173,SO-WO,Woqooyi Galbeed,ADM1
8,244835.852783,ADM1,8,SOM,SOM-ADM1-83879307B73310636,SO-SO,Sool,ADM1
9,207256.273438,ADM1,9,SOM,SOM-ADM1-83879307B2056474,SO-NU,Nugaal,ADM1
10,588583.523438,ADM1,10,SOM,SOM-ADM1-83879307B39133913,SO-MU,Mudug,ADM1
11,393500.9375,ADM1,11,SOM,SOM-ADM1-83879307B51735784,SO-JD,Middle Juba,ADM1
12,1424147.64844,ADM1,12,SOM,SOM-ADM1-83879307B22345893,SO-SH,Lower Shebelle,ADM1
13,640683.632812,ADM1,13,SOM,SOM-ADM1-83879307B60007864,SO-JH,Lower Juba,ADM1
14,571574.160156,ADM1,14,SOM,SOM-ADM1-83879307B62362622,SO-GA,Galgaduud,ADM1
15,1028092.23688,ADM1,15,SOM,SOM-ADM1-83879307B63494499,SO-BY,Bay,ADM1
16,640570.011475,ADM1,16,SOM,SOM-ADM1-83879307B27579649,SO-BR,Bari,ADM1
17,502341.3125,ADM1,17,SOM,SOM-ADM1-83879307B91949878,SO-AW,Awdal,ADM1
