time,admin1,tmx,pre,conflicts
1997-01,Awdal,29.4,11.825,0.0
1997-01,Bakool,33.6625,0.45,0.0
1997-01,Banadir,32.78,3.39,0.0
1997-01,Bari,28.612497,4.045833,0.0
1997-01,Bay,33.878574,1.3785715,0.0
1997-01,Galgaduud,32.711765,2.4058824,0.0
1997-01,Gedo,35.485714,1.0714285,0.0
1997-01,Hiraan,33.35455,0.57272726,0.0
1997-01,Lower Juba,34.782356,0.90588236,0.0
1997-01,Lower Shabelle,33.2,1.58,0.0
1997-01,Middle Juba,34.760002,1.32,0.0
1997-01,Middle Shabelle,32.36,5.2,0.0
1997-01,Mudug,31.764706,3.164706,0.0
1997-01,Nugaal,30.130001,2.3600001,0.0
1997-01,Sanaag,26.966667,1.4222223,0.0
1997-01,Sool,28.816668,0.5,0.0
1997-01,Togdheer,28.26,1.5,0.0
1997-01,Woqooyi Galbeed,28.6,3.8800004,0.0
1997-02,Awdal,29.3,0.175,0.0
1997-02,Bakool,34.25,1.25,0.0
1997-02,Banadir,33.170001,1.25,0.0
1997-02,Bari,29.604166,3.5125,0.0
1997-02,Bay,34.214287,1.4428571,0.0
1997-02,Galgaduud,33.282356,0.7647059,0.0
1997-02,Gedo,35.835716,1.5928572,0.0
1997-02,Hiraan,33.954544,0.21818183,0.0
1997-02,Lower Juba,34.899998,0.7705883,1.0
1997-02,Lower Shabelle,33.420002,0.64,0.0
1997-02,Middle Juba,34.879997,1.3,0.0
1997-02,Middle Shabelle,32.92,1.86,0.0
1997-02,Mudug,32.35294,0.8470588,0.0
1997-02,Nugaal,30.77,1.4300001,0.0
1997-02,Sanaag,27.6,3.488889,0.0
1997-02,Sool,29.341667,1.5916667,0.0
1997-02,Togdheer,28.540003,2.56,0.0
1997-02,Woqooyi Galbeed,28.75,1.0600001,0.0
1997-03,Awdal,31.275002,33.875,0.0
1997-03,Bakool,35.375,30.5375,0.0
1997-03,Banadir,34.145,20.3800005,0.0
1997-03,Bari,31.595835,6.991667,0.0
1997-03,Bay,35.085716,24.235714,0.0
1997-03,Galgaduud,34.782356,11.970589,0.0
1997-03,Gedo,36.600002,24.485714,0.0
1997-03,Hiraan,35.2,22.545454,0.0
1997-03,Lower Juba,35.105885,23.470589,0.0
1997-03,Lower Shabelle,34.27,15.339999,0.0
1997-03,Middle Juba,35.44,16.480001,0.0
1997-03,Middle Shabelle,34.02,25.420002,0.0
1997-03,Mudug,34.005882,6.9411764,1.0
1997-03,Nugaal,32.629997,5.85,0.0
1997-03,Sanaag,29.61111,8.727778,0.0
1997-03,Sool,31.258333,4.6666665,0.0
1997-03,Togdheer,30.369999,9.440001,0.0
1997-03,Woqooyi Galbeed,30.630001,25.01,0.0
1997-04,Awdal,31.375,31.625002,0.0
1997-04,Bakool,33.775,154.775,0.0
1997-04,Banadir,33.730002,94.35501,1.0
1997-04,Bari,32.870834,19.920834,0.0
1997-04,Bay,33.69286,145.00714,0.0
1997-04,Galgaduud,34.629414,61.458828,0.0
1997-04,Gedo,34.407143,134.62143,0.0
1997-04,Hiraan,34.49091,106.13636,0.0
1997-04,Lower Juba,34.035294,75.19412,0.0
1997-04,Lower Shabelle,33.6,103.93001,0.0
1997-04,Middle Juba,34.1,90.659996,0.0
1997-04,Middle Shabelle,33.860004,84.78001,0.0
1997-04,Mudug,34.488235,27.835295,0.0
1997-04,Nugaal,33.370003,25.2,0.0
1997-04,Sanaag,30.266666,31.31111,0.0
1997-04,Sool,31.641668,34.11667,0.0
1997-04,Togdheer,30.039999,52.18,0.0
1997-04,Woqooyi Galbeed,30.290003,39.56,0.0
1997-05,Awdal,34.2,10.85,0.0
1997-05,Bakool,32.6875,6.7749996,0.0
1997-05,Banadir,32.59,50.079998,0.0
1997-05,Bari,34.287502,21.470835,0.0
1997-05,Bay,32.614285,31.835714,0.0
1997-05,Galgaduud,33.84706,25.194117,0.0
1997-05,Gedo,33.62143,12.242858,0.0
1997-05,Hiraan,33.35455,9.254546,0.0
1997-05,Lower Juba,32.917645,96.299995,0.0
1997-05,Lower Shabelle,32.52,57.339996,0.0
1997-05,Middle Juba,33.16,53.0,0.0
1997-05,Middle Shabelle,32.66,42.82,0.0
1997-05,Mudug,34.194122,45.870583,0.0
1997-05,Nugaal,33.87,39.510002,0.0
1997-05,Sanaag,32.022224,35.11111,0.0
1997-05,Sool,32.783333,42.84167,0.0
1997-05,Togdheer,31.439999,48.57,0.0
1997-05,Woqooyi Galbeed,32.46,24.470001,0.0
1997-06,Awdal,36.875004,12.75,0.0
1997-06,Bakool,31.574999,0.47500002,0.0
1997-06,Banadir,31.1700005,24.9649985,0.0
1997-06,Bari,33.55417,3.8291667,0.0
1997-06,Bay,31.35,10.835714,1.0
1997-06,Galgaduud,32.48824,3.952941,0.0
1997-06,Gedo,32.6,3.357143,4.0
1997-06,Hiraan,32.072727,1.7545453,0.0
1997-06,Lower Juba,31.541178,116.26471,3.0
1997-06,Lower Shabelle,31.12,35.129997,2.0
1997-06,Middle Juba,31.779999,41.74,0.0
1997-06,Middle Shabelle,31.220001,14.8,0.0
1997-06,Mudug,32.741177,5.4235296,0.0
1997-06,Nugaal,32.54,5.33,0.0
1997-06,Sanaag,32.06111,11.372222,0.0
1997-06,Sool,32.266666,9.066667,0.0
1997-06,Togdheer,31.59,20.15,1.0
1997-06,Woqooyi Galbeed,33.750004,26.34,0.0
1997-07,Awdal,38.625,21.025002,0.0
1997-07,Bakool,31.125,1.825,1.0
1997-07,Banadir,30.485001500000003,24.880001,0.0
1997-07,Bari,33.0625,3.375,0.0
1997-07,Bay,30.721432,15.742858,0.0
1997-07,Galgaduud,31.982353,2.388235,0.0
1997-07,Gedo,32.135715,3.9928572,0.0
1997-07,Hiraan,31.481817,1.8090909,0.0
1997-07,Lower Juba,31.017647,32.74706,0.0
1997-07,Lower Shabelle,30.490002,34.940002,0.0
1997-07,Middle Juba,31.179998,30.460003,0.0
1997-07,Middle Shabelle,30.480001,14.82,0.0
1997-07,Mudug,32.341175,0.5,0.0
1997-07,Nugaal,32.41,0.39000002,0.0
1997-07,Sanaag,32.5,9.533333,0.0
1997-07,Sool,32.558334,2.4833333,0.0
1997-07,Togdheer,32.079998,10.08,0.0
1997-07,Woqooyi Galbeed,34.560005,18.53,0.0
1997-08,Awdal,37.9,19.375,0.0
1997-08,Bakool,31.737503,1.5999999,3.0
1997-08,Banadir,30.68,18.7699995,2.0
1997-08,Bari,32.866665,5.879167,0.0
1997-08,Bay,31.071426,4.728572,1.0
1997-08,Galgaduud,32.229412,2.8235295,0.0
1997-08,Gedo,32.57143,0.32142857,0.0
1997-08,Hiraan,31.90909,5.1545453,1.0
1997-08,Lower Juba,31.07059,6.788235,2.0
1997-08,Lower Shabelle,30.6,19.5,0.0
1997-08,Middle Juba,31.26,9.9,0.0
1997-08,Middle Shabelle,30.76,18.039999,1.0
1997-08,Mudug,32.44118,0.6588235,0.0
1997-08,Nugaal,32.44,1.72,0.0
1997-08,Sanaag,32.26667,12.094445,0.0
1997-08,Sool,32.458336,3.8500001,0.0
1997-08,Togdheer,31.859997,11.370001,0.0
1997-08,Woqooyi Galbeed,34.18,18.470001,0.0
1997-09,Awdal,35.774998,8.225,0.0
1997-09,Bakool,33.0,4.85,0.0
1997-09,Banadir,31.800001,6.770000249999999,0.0
1997-09,Bari,33.987503,7.2166667,0.0
1997-09,Bay,32.52143,6.3285713,0.0
1997-09,Galgaduud,33.335297,2.6176472,0.0
1997-09,Gedo,34.142857,4.6,0.0
1997-09,Hiraan,33.08182,1.6181817,0.0
1997-09,Lower Juba,32.617645,13.323529,0.0
1997-09,Lower Shabelle,31.840002,8.4800005,0.0
1997-09,Middle Juba,32.879997,9.96,0.0
1997-09,Middle Shabelle,31.76,5.06,0.0
1997-09,Mudug,33.570587,3.1000001,0.0
1997-09,Nugaal,33.620003,5.7300005,0.0
1997-09,Sanaag,32.705555,16.783333,0.0
1997-09,Sool,33.233334,11.225001,0.0
1997-09,Togdheer,32.05,20.37,0.0
1997-09,Woqooyi Galbeed,33.370003,15.420001,0.0
1997-10,Awdal,32.575,30.225002,0.0
1997-10,Bakool,32.025,89.625,0.0
1997-10,Banadir,31.595000499999998,69.5849955,1.0
1997-10,Bari,32.258335,18.074999,0.0
1997-10,Bay,31.892857,133.10715,0.0
1997-10,Galgaduud,32.664703,55.423534,0.0
1997-10,Gedo,33.228573,172.22856,0.0
1997-10,Hiraan,32.46364,77.91818,0.0
1997-10,Lower Juba,32.60588,111.30588,1.0
1997-10,Lower Shabelle,31.570002,62.909996,0.0
1997-10,Middle Juba,32.560005,146.02,0.0
1997-10,Middle Shabelle,31.619999,76.259995,0.0
1997-10,Mudug,32.711765,40.311764,0.0
1997-10,Nugaal,32.2,34.030003,0.0
1997-10,Sanaag,29.883335,21.7,0.0
1997-10,Sool,30.949999,32.775,0.0
1997-10,Togdheer,29.65,55.050007,0.0
1997-10,Woqooyi Galbeed,30.77,39.57,0.0
1997-11,Awdal,30.800001,21.1,0.0
1997-11,Bakool,31.975,140.4375,0.0
1997-11,Banadir,31.695,126.049995,1.0
1997-11,Bari,30.791666,8.141666,0.0
1997-11,Bay,31.685717,139.5643,0.0
1997-11,Galgaduud,32.87059,66.44707,0.0
1997-11,Gedo,32.57143,149.77144,0.0
1997-11,Hiraan,32.590908,136.2,0.0
1997-11,Lower Juba,32.411766,115.08236,0.0
1997-11,Lower Shabelle,31.59,121.71999,0.0
1997-11,Middle Juba,32.24,99.619995,0.0
1997-11,Middle Shabelle,31.8,130.38,1.0
1997-11,Mudug,32.67647,30.39412,0.0
1997-11,Nugaal,31.49,14.610001,0.0
1997-11,Sanaag,28.694445,5.911112,0.0
1997-11,Sool,30.191666,7.966667,0.0
1997-11,Togdheer,29.039999,18.91,0.0
1997-11,Woqooyi Galbeed,29.63,16.039999,1.0
1997-12,Awdal,30.225,5.675,0.0
1997-12,Bakool,32.725002,101.975006,0.0
1997-12,Banadir,32.000001,92.44,0.0
1997-12,Bari,28.6,3.7791665,1.0
1997-12,Bay,32.649998,77.12142,0.0
1997-12,Galgaduud,32.28824,57.911766,0.0
1997-12,Gedo,33.964287,62.200005,0.0
1997-12,Hiraan,32.71818,106.69091,0.0
1997-12,Lower Juba,33.217648,54.435295,0.0
1997-12,Lower Shabelle,32.18,74.44,1.0
1997-12,Middle Juba,33.3,43.6,0.0
1997-12,Middle Shabelle,31.820002,110.44,0.0
1997-12,Mudug,31.42353,16.747057,0.0
1997-12,Nugaal,29.59,3.78,0.0
1997-12,Sanaag,26.522224,1.2833333,0.0
1997-12,Sool,28.183332,0.4416667,0.0
1997-12,Togdheer,27.710001,0.85999995,0.0
1997-12,Woqooyi Galbeed,28.55,1.6699998,0.0
1998-01,Awdal,29.974998,28.125,0.0
1998-01,Bakool,34.075,1.6125001,0.0
1998-01,Banadir,32.85,6.1300005,0.0
1998-01,Bari,28.804167,4.045833,0.0
1998-01,Bay,33.957146,2.664286,0.0
1998-01,Galgaduud,32.947056,4.352941,0.0
1998-01,Gedo,35.642857,3.5785716,0.0
1998-01,Hiraan,33.66364,2.8090909,0.0
1998-01,Lower Juba,34.47059,3.111765,0.0
1998-01,Lower Shabelle,33.24,2.48,0.0
1998-01,Middle Juba,34.780003,2.44,0.0
1998-01,Middle Shabelle,32.46,9.780001,0.0
1998-01,Mudug,31.882353,3.4117649,0.0
1998-01,Nugaal,30.230001,2.3600001,0.0
1998-01,Sanaag,27.23889,1.488889,0.0
1998-01,Sool,29.133337,0.52500004,0.0
1998-01,Togdheer,28.779999,2.48,0.0
1998-01,Woqooyi Galbeed,29.2,8.57,0.0
1998-02,Awdal,30.000002,5.4500003,0.0
1998-02,Bakool,34.8375,0.16250001,0.0
1998-02,Banadir,33.4500025,1.205,0.0
1998-02,Bari,30.458334,3.5125,0.0
1998-02,Bay,34.735714,0.78571427,0.0
1998-02,Galgaduud,33.917645,0.7647059,0.0
1998-02,Gedo,36.521427,4.285714,0.0
1998-02,Hiraan,34.47273,0.12727274,0.0
1998-02,Lower Juba,35.111767,4.5588236,0.0
1998-02,Lower Shabelle,33.760002,0.55,0.0
1998-02,Middle Juba,35.340004,1.8,0.0
1998-02,Middle Shabelle,33.140003,1.86,0.0
1998-02,Mudug,33.082355,0.8470588,0.0
1998-02,Nugaal,31.640003,1.4300001,0.0
1998-02,Sanaag,28.844444,3.5333333,0.0
1998-02,Sool,30.516665,1.5916667,0.0
1998-02,Togdheer,29.580002,2.8400002,0.0
1998-02,Woqooyi Galbeed,29.65,3.0300002,0.0
1998-03,Awdal,31.925001,28.475,0.0
1998-03,Bakool,35.625,7.6375,0.0
1998-03,Banadir,34.394999999999996,11.865,1.0
1998-03,Bari,32.11667,6.991667,0.0
1998-03,Bay,35.457146,9.585715,1.0
1998-03,Galgaduud,35.017647,6.2352943,0.0
1998-03,Gedo,37.000004,6.7714286,1.0
1998-03,Hiraan,35.418182,6.9363637,0.0
1998-03,Lower Juba,35.80588,18.088236,3.0
1998-03,Lower Shabelle,34.63,9.35,0.0
1998-03,Middle Juba,36.02,9.18,0.0
1998-03,Middle Shabelle,34.16,14.38,0.0
1998-03,Mudug,34.329414,6.352941,0.0
1998-03,Nugaal,33.06,5.85,0.0
1998-03,Sanaag,30.233334,8.700001,0.0
1998-03,Sool,31.783333,4.65,0.0
