time,admin1,tmx,pre
1901-01,Awdal,29.0,7.1749997
1901-01,Bakool,33.4375,1.6125001
1901-01,Banadir,32.550001,6.1300005
1901-01,Bari,28.533335,4.045833
1901-01,Bay,33.478573,2.664286
1901-01,Galgaduud,32.570587,4.352941
1901-01,Gedo,35.028572,3.5785716
1901-01,Hiraan,33.20909,2.8090909
1901-01,Lower Juba,34.135296,2.888235
1901-01,Lower Shabelle,32.860004,2.48
1901-01,Middle Juba,34.239998,2.44
1901-01,Middle Shabelle,32.239998,9.780001
1901-01,Mudug,31.605885,3.4117649
1901-01,Nugaal,29.95,2.3600001
1901-01,Sanaag,26.766666,1.4166666
1901-01,Sool,28.591667,0.5083333
1901-01,Togdheer,27.939999,1.54
1901-01,Woqooyi Galbeed,28.26,2.8200002
1901-02,Awdal,29.625,29.55
1901-02,Bakool,34.35,3.8125
1901-02,Banadir,33.144999999999996,2.0950001499999997
1901-02,Bari,29.637503,3.5125
1901-02,Bay,34.19286,2.1714284
1901-02,Galgaduud,33.441177,1.4352942
1901-02,Gedo,35.82857,4.2642856
1901-02,Hiraan,34.054546,1.2090908
1901-02,Lower Juba,34.21176,1.3352941
1901-02,Lower Shabelle,33.35,0.71
1901-02,Middle Juba,34.600002,0.6
1901-02,Middle Shabelle,32.94,3.4800003
1901-02,Mudug,32.55294,0.9117647
1901-02,Nugaal,30.970001,1.4300001
1901-02,Sanaag,27.833334,3.661111
1901-02,Sool,29.625,1.6916667
1901-02,Togdheer,28.84,6.3399997
1901-02,Woqooyi Galbeed,29.05,16.670002
1901-03,Awdal,30.850002,19.0
1901-03,Bakool,35.15,23.7
1901-03,Banadir,34.07,15.440000000000001
1901-03,Bari,31.395834,6.991667
1901-03,Bay,34.985714,16.935713
1901-03,Galgaduud,34.576473,9.570589
1901-03,Gedo,36.45,21.2
1901-03,Hiraan,35.027275,16.40909
1901-03,Lower Juba,35.14118,3.388235
1901-03,Lower Shabelle,34.22,10.08
1901-03,Middle Juba,35.420002,3.7400002
1901-03,Middle Shabelle,33.92,20.8
1901-03,Mudug,33.82353,6.694118
1901-03,Nugaal,32.420002,5.85
1901-03,Sanaag,29.277779,8.588889
1901-03,Sool,30.933334,4.633333
1901-03,Togdheer,29.99,7.7700005
1901-03,Woqooyi Galbeed,30.23,15.4
1901-04,Awdal,31.825,38.35
1901-04,Bakool,34.0,117.625
1901-04,Banadir,33.935,79.060003
1901-04,Bari,32.9375,19.920834
1901-04,Bay,33.878574,115.049995
1901-04,Galgaduud,34.84118,49.376472
1901-04,Gedo,34.57143,104.528564
1901-04,Hiraan,34.727276,78.79092
1901-04,Lower Juba,33.805885,59.047054
1901-04,Lower Shabelle,33.81,87.420006
1901-04,Middle Juba,34.160004,69.94
1901-04,Middle Shabelle,34.06,70.7
1901-04,Mudug,34.64118,26.905882
1901-04,Nugaal,33.510002,25.2
1901-04,Sanaag,30.433336,31.761116
1901-04,Sool,31.841667,34.25833
1901-04,Togdheer,30.330002,54.379997
1901-04,Woqooyi Galbeed,30.710003,45.68
1901-05,Awdal,34.025,0.77500004
1901-05,Bakool,32.487503,85.450005
1901-05,Banadir,32.42,99.5300075
1901-05,Bari,34.195835,21.470835
1901-05,Bay,32.32143,110.69286
1901-05,Galgaduud,33.747063,60.217648
1901-05,Gedo,33.257145,68.87857
1901-05,Hiraan,33.227276,79.48182
1901-05,Lower Juba,32.19412,157.94118
1901-05,Lower Shabelle,32.260002,115.32001
1901-05,Middle Juba,32.640003,133.31999
1901-05,Middle Shabelle,32.579998,83.740005
1901-05,Mudug,34.11765,49.735294
1901-05,Nugaal,33.79,39.510002
1901-05,Sanaag,31.866665,35.03889
1901-05,Sool,32.61667,42.850002
1901-05,Togdheer,31.170002,49.579998
1901-05,Woqooyi Galbeed,32.239998,14.81
1901-06,Awdal,36.525,7.4500003
1901-06,Bakool,31.575,8.325001
1901-06,Banadir,31.170001,34.8200015
1901-06,Bari,33.56667,3.8291667
1901-06,Bay,31.3,23.278574
1901-06,Galgaduud,32.558823,8.111765
1901-06,Gedo,32.52143,5.457143
1901-06,Hiraan,32.090908,13.427273
1901-06,Lower Juba,31.276468,36.65882
1901-06,Lower Shabelle,31.080002,41.920002
1901-06,Middle Juba,31.560001,27.279999
1901-06,Middle Shabelle,31.26,27.720001
1901-06,Mudug,32.870586,5.882353
1901-06,Nugaal,32.71,5.33
1901-06,Sanaag,32.122223,11.544445
1901-06,Sool,32.325,9.150001
1901-06,Togdheer,31.430002,19.310001
1901-06,Woqooyi Galbeed,33.46,18.32
1901-07,Awdal,37.6,6.8
1901-07,Bakool,30.587502,6.4000006
1901-07,Banadir,30.155002,39.6900015
1901-07,Bari,32.49167,3.375
1901-07,Bay,30.235716,27.957142
1901-07,Galgaduud,31.552942,4.2705884
1901-07,Gedo,31.52857,7.8857145
1901-07,Hiraan,31.072725,8.409091
1901-07,Lower Juba,30.194117,55.02941
1901-07,Lower Shabelle,30.070002,51.74
1901-07,Middle Juba,30.52,48.7
1901-07,Middle Shabelle,30.240002,27.640003
1901-07,Mudug,31.87059,0.582353
1901-07,Nugaal,31.820002,0.39000002
1901-07,Sanaag,31.644444,9.538889
1901-07,Sool,31.725,2.466667
1901-07,Togdheer,31.01,9.05
1901-07,Woqooyi Galbeed,33.47,9.780001
1901-08,Awdal,37.175003,186.55
1901-08,Bakool,31.1875,4.1125
1901-08,Banadir,30.460001499999997,17.8299995
1901-08,Bari,32.558334,5.879167
1901-08,Bay,30.714285,9.635714
1901-08,Galgaduud,31.882353,2.8235295
1901-08,Gedo,32.057148,2.6571426
1901-08,Hiraan,31.509092,5.572727
1901-08,Lower Juba,30.458822,6.047059
1901-08,Lower Shabelle,30.38,17.62
1901-08,Middle Juba,30.920002,6.1
1901-08,Middle Shabelle,30.540003,18.039999
1901-08,Mudug,32.12353,0.6588235
1901-08,Nugaal,32.05,1.72
1901-08,Sanaag,31.711113,12.622223
1901-08,Sool,31.891668,4.2416663
1901-08,Togdheer,31.160004,30.86
1901-08,Woqooyi Galbeed,33.4,126.37001
1901-09,Awdal,35.125,50.675003
1901-09,Bakool,32.45,11.325001
1901-09,Banadir,31.375,9.0500005
1901-09,Bari,33.754166,7.2166667
1901-09,Bay,31.835714,7.7142863
1901-09,Galgaduud,33.02941,6.347059
1901-09,Gedo,33.335712,4.207143
1901-09,Hiraan,32.68182,8.845455
1901-09,Lower Juba,31.382353,7.6117644
1901-09,Lower Shabelle,31.25,8.360001
1901-09,Middle Juba,31.9,5.2200003
1901-09,Middle Shabelle,31.5,9.74
1901-09,Mudug,33.358826,3.3764706
1901-09,Nugaal,33.41,5.7300005
1901-09,Sanaag,32.366665,17.344444
1901-09,Sool,32.891666,11.524999
1901-09,Togdheer,31.61,31.02
1901-09,Woqooyi Galbeed,32.920002,57.04
1901-10,Awdal,32.575,0.275
1901-10,Bakool,32.237503,89.3
1901-10,Banadir,31.835002,63.814999
1901-10,Bari,32.25,18.074999
1901-10,Bay,32.028572,78.65
1901-10,Galgaduud,32.958824,55.423534
1901-10,Gedo,33.228573,56.807137
1901-10,Hiraan,32.70909,77.91818
1901-10,Lower Juba,32.311768,16.947062
1901-10,Lower Shabelle,31.790003,51.370003
1901-10,Middle Juba,32.480003,27.1
1901-10,Middle Shabelle,31.880001,76.259995
1901-10,Mudug,33.011765,40.311764
1901-10,Nugaal,32.5,34.030003
1901-10,Sanaag,30.194445,21.26111
1901-10,Sool,31.35,31.900002
1901-10,Togdheer,30.080002,32.28
1901-10,Woqooyi Galbeed,31.030003,6.5
1901-11,Awdal,30.625,0.175
1901-11,Bakool,32.225,64.387505
1901-11,Banadir,32.075002,64.175003
1901-11,Bari,30.295837,8.141666
1901-11,Bay,32.171425,63.264286
1901-11,Galgaduud,32.805885,33.105885
1901-11,Gedo,33.05,60.31429
1901-11,Hiraan,32.763638,55.02728
1901-11,Lower Juba,32.770588,5.488235
1901-11,Lower Shabelle,32.090004,58.75
1901-11,Middle Juba,32.74,14.040001
