time,region,pre,tmx
1901-01-16,Awdal,7.1749997,29.0
1901-01-16,Bakool,1.6125001,33.4375
1901-01-16,Bari,4.045833,28.533335
1901-01-16,Bay,2.664286,33.478573
1901-01-16,Galgaduud,4.352941,32.570587
1901-01-16,Gedo,3.5785716,35.028572
1901-01-16,Hiraan,2.8090909,33.20909
1901-01-16,Lower Juba,2.888235,34.135296
1901-01-16,Lower Shabelle,2.48,32.860004
1901-01-16,Middle Juba,2.44,34.239998
1901-01-16,Middle Shabelle,9.780001,32.239998
1901-01-16,Mudug,3.4117649,31.605885
1901-01-16,Nugaal,2.3600001,29.95
1901-01-16,Sanaag,1.4166666,26.766666
1901-01-16,Sool,0.5083333,28.591667
1901-01-16,Togdheer,1.54,27.939999
1901-01-16,Woqooyi Galbeed,2.8200002,28.26
1901-02-15,Awdal,29.55,29.625
1901-02-15,Bakool,3.8125,34.35
1901-02-15,Bari,3.5125,29.637503
1901-02-15,Bay,2.1714284,34.19286
1901-02-15,Galgaduud,1.4352942,33.441177
1901-02-15,Gedo,4.2642856,35.82857
1901-02-15,Hiraan,1.2090908,34.054546
1901-02-15,Lower Juba,1.3352941,34.21176
1901-02-15,Lower Shabelle,0.71,33.35
1901-02-15,Middle Juba,0.6,34.600002
1901-02-15,Middle Shabelle,3.4800003,32.94
1901-02-15,Mudug,0.9117647,32.55294
1901-02-15,Nugaal,1.4300001,30.970001
1901-02-15,Sanaag,3.661111,27.833334
1901-02-15,Sool,1.6916667,29.625
1901-02-15,Togdheer,6.3399997,28.84
1901-02-15,Woqooyi Galbeed,16.670002,29.05
1901-03-16,Awdal,19.0,30.850002
1901-03-16,Bakool,23.7,35.15
1901-03-16,Bari,6.991667,31.395834
1901-03-16,Bay,16.935713,34.985714
1901-03-16,Galgaduud,9.570589,34.576473
1901-03-16,Gedo,21.2,36.45
1901-03-16,Hiraan,16.40909,35.027275
1901-03-16,Lower Juba,3.388235,35.14118
1901-03-16,Lower Shabelle,10.08,34.22
1901-03-16,Middle Juba,3.7400002,35.420002
1901-03-16,Middle Shabelle,20.8,33.92
1901-03-16,Mudug,6.694118,33.82353
1901-03-16,Nugaal,5.85,32.420002
1901-03-16,Sanaag,8.588889,29.277779
1901-03-16,Sool,4.633333,30.933334
1901-03-16,Togdheer,7.7700005,29.99
1901-03-16,Woqooyi Galbeed,15.4,30.23
1901-04-16,Awdal,38.35,31.825
1901-04-16,Bakool,117.625,34.0
1901-04-16,Bari,19.920834,32.9375
1901-04-16,Bay,115.049995,33.878574
1901-04-16,Galgaduud,49.376472,34.84118
1901-04-16,Gedo,104.528564,34.57143
1901-04-16,Hiraan,78.79092,34.727276
1901-04-16,Lower Juba,59.047054,33.805885
1901-04-16,Lower Shabelle,87.420006,33.81
1901-04-16,Middle Juba,69.94,34.160004
1901-04-16,Middle Shabelle,70.7,34.06
1901-04-16,Mudug,26.905882,34.64118
1901-04-16,Nugaal,25.2,33.510002
1901-04-16,Sanaag,31.761116,30.433336
1901-04-16,Sool,34.25833,31.841667
1901-04-16,Togdheer,54.379997,30.330002
1901-04-16,Woqooyi Galbeed,45.68,30.710003
1901-05-16,Awdal,0.77500004,34.025
1901-05-16,Bakool,85.450005,32.487503
1901-05-16,Bari,21.470835,34.195835
1901-05-16,Bay,110.69286,32.32143
1901-05-16,Galgaduud,60.217648,33.747063
1901-05-16,Gedo,68.87857,33.257145
1901-05-16,Hiraan,79.48182,33.227276
1901-05-16,Lower Juba,157.94118,32.19412
1901-05-16,Lower Shabelle,115.32001,32.260002
1901-05-16,Middle Juba,133.31999,32.640003
1901-05-16,Middle Shabelle,83.740005,32.579998
1901-05-16,Mudug,49.735294,34.11765
1901-05-16,Nugaal,39.510002,33.79
1901-05-16,Sanaag,35.03889,31.866665
1901-05-16,Sool,42.850002,32.61667
1901-05-16,Togdheer,49.579998,31.170002
1901-05-16,Woqooyi Galbeed,14.81,32.239998
1901-06-16,Awdal,7.4500003,36.525
1901-06-16,Bakool,8.325001,31.575
1901-06-16,Bari,3.8291667,33.56667
1901-06-16,Bay,23.278574,31.3
1901-06-16,Galgaduud,8.111765,32.558823
1901-06-16,Gedo,5.457143,32.52143
1901-06-16,Hiraan,13.427273,32.090908
1901-06-16,Lower Juba,36.65882,31.276468
1901-06-16,Lower Shabelle,41.920002,31.080002
1901-06-16,Middle Juba,27.279999,31.560001
1901-06-16,Middle Shabelle,27.720001,31.26
1901-06-16,Mudug,5.882353,32.870586
1901-06-16,Nugaal,5.33,32.71
1901-06-16,Sanaag,11.544445,32.122223
1901-06-16,Sool,9.150001,32.325
1901-06-16,Togdheer,19.310001,31.430002
1901-06-16,Woqooyi Galbeed,18.32,33.46
1901-07-16,Awdal,6.8,37.6
1901-07-16,Bakool,6.4000006,30.587502
1901-07-16,Bari,3.375,32.49167
1901-07-16,Bay,27.957142,30.235716
1901-07-16,Galgaduud,4.2705884,31.552942
1901-07-16,Gedo,7.8857145,31.52857
1901-07-16,Hiraan,8.409091,31.072725
1901-07-16,Lower Juba,55.02941,30.194117
1901-07-16,Lower Shabelle,51.74,30.070002
1901-07-16,Middle Juba,48.7,30.52
1901-07-16,Middle Shabelle,27.640003,30.240002
1901-07-16,Mudug,0.582353,31.87059
1901-07-16,Nugaal,0.39000002,31.820002
1901-07-16,Sanaag,9.538889,31.644444
1901-07-16,Sool,2.466667,31.725
1901-07-16,Togdheer,9.05,31.01
1901-07-16,Woqooyi Galbeed,9.780001,33.47
1901-08-16,Awdal,186.55,37.175003
1901-08-16,Bakool,4.1125,31.1875
1901-08-16,Bari,5.879167,32.558334
1901-08-16,Bay,9.635714,30.714285
1901-08-16,Galgaduud,2.8235295,31.882353
1901-08-16,Gedo,2.6571426,32.057148
1901-08-16,Hiraan,5.572727,31.509092
1901-08-16,Lower Juba,6.047059,30.458822
1901-08-16,Lower Shabelle,17.62,30.38
1901-08-16,Middle Juba,6.1,30.920002
1901-08-16,Middle Shabelle,18.039999,30.540003
1901-08-16,Mudug,0.6588235,32.12353
1901-08-16,Nugaal,1.72,32.05
1901-08-16,Sanaag,12.622223,31.711113
1901-08-16,Sool,4.2416663,31.891668
1901-08-16,Togdheer,30.86,31.160004
1901-08-16,Woqooyi Galbeed,126.37001,33.4
1901-09-16,Awdal,50.675003,35.125
1901-09-16,Bakool,11.325001,32.45
1901-09-16,Bari,7.2166667,33.754166
1901-09-16,Bay,7.7142863,31.835714
1901-09-16,Galgaduud,6.347059,33.02941
1901-09-16,Gedo,4.207143,33.335712
1901-09-16,Hiraan,8.845455,32.68182
1901-09-16,Lower Juba,7.6117644,31.382353
1901-09-16,Lower Shabelle,8.360001,31.25
1901-09-16,Middle Juba,5.2200003,31.9
1901-09-16,Middle Shabelle,9.74,31.5
1901-09-16,Mudug,3.3764706,33.358826
1901-09-16,Nugaal,5.7300005,33.41
1901-09-16,Sanaag,17.344444,32.366665
1901-09-16,Sool,11.524999,32.891666
1901-09-16,Togdheer,31.02,31.61
1901-09-16,Woqooyi Galbeed,57.04,32.920002
1901-10-16,Awdal,0.275,32.575
1901-10-16,Bakool,89.3,32.237503
1901-10-16,Bari,18.074999,32.25
1901-10-16,Bay,78.65,32.028572
1901-10-16,Galgaduud,55.423534,32.958824
1901-10-16,Gedo,56.807137,33.228573
1901-10-16,Hiraan,77.91818,32.70909
1901-10-16,Lower Juba,16.947062,32.311768
1901-10-16,Lower Shabelle,51.370003,31.790003
1901-10-16,Middle Juba,27.1,32.480003
1901-10-16,Middle Shabelle,76.259995,31.880001
1901-10-16,Mudug,40.311764,33.011765
1901-10-16,Nugaal,34.030003,32.5
1901-10-16,Sanaag,21.26111,30.194445
1901-10-16,Sool,31.900002,31.35
1901-10-16,Togdheer,32.28,30.080002
1901-10-16,Woqooyi Galbeed,6.5,31.030003
1901-11-16,Awdal,0.175,30.625
1901-11-16,Bakool,64.387505,32.225
1901-11-16,Bari,8.141666,30.295837
1901-11-16,Bay,63.264286,32.171425
1901-11-16,Galgaduud,33.105885,32.805885
1901-11-16,Gedo,60.31429,33.05
1901-11-16,Hiraan,55.02728,32.763638
1901-11-16,Lower Juba,5.488235,32.770588
1901-11-16,Lower Shabelle,58.75,32.090004
1901-11-16,Middle Juba,14.040001,32.74
1901-11-16,Middle Shabelle,69.600006,32.06
1901-11-16,Mudug,26.670588,32.452946
1901-11-16,Nugaal,14.610001,31.16
1901-11-16,Sanaag,5.766667,28.127779
1901-11-16,Sool,7.6,29.716667
1901-11-16,Togdheer,8.97,28.670002
1901-11-16,Woqooyi Galbeed,2.2600002,29.36
1901-12-16,Awdal,19.025002,29.650002
1901-12-16,Bakool,11.4875,32.862503
1901-12-16,Bari,3.7791665,28.391668
1901-12-16,Bay,54.62143,32.814285
1901-12-16,Galgaduud,10.841178,32.429413
1901-12-16,Gedo,46.964287,34.007145
1901-12-16,Hiraan,12.654547,32.918182
1901-12-16,Lower Juba,131.43529,33.494118
1901-12-16,Lower Shabelle,62.430004,32.45
1901-12-16,Middle Juba,117.380005,33.5
1901-12-16,Middle Shabelle,21.539999,32.06
1901-12-16,Mudug,10.152942,31.482353
1901-12-16,Nugaal,3.78,29.62
1901-12-16,Sanaag,1.3,26.483334
1901-12-16,Sool,0.45000005,28.250002
1901-12-16,Togdheer,1.24,27.73
1901-12-16,Woqooyi Galbeed,4.56,28.36
1902-01-16,Awdal,3.95,29.2
1902-01-16,Bakool,1.6125001,33.2625
1902-01-16,Bari,4.045833,28.533335
1902-01-16,Bay,2.664286,33.37143
1902-01-16,Galgaduud,4.352941,32.52353
1902-01-16,Gedo,3.5785716,34.850002
1902-01-16,Hiraan,2.8090909,33.109093
1902-01-16,Lower Juba,2.611765,33.994118
1902-01-16,Lower Shabelle,2.48,32.829998
1902-01-16,Middle Juba,2.44,34.120003
1902-01-16,Middle Shabelle,9.780001,32.239998
1902-01-16,Mudug,3.4117649,31.6
1902-01-16,Nugaal,2.3600001,29.95
1902-01-16,Sanaag,1.4055556,26.716667
1902-01-16,Sool,0.5083333,28.500002
1902-01-16,Togdheer,1.3799999,27.759998
1902-01-16,Woqooyi Galbeed,1.9,28.159998
1902-02-15,Awdal,1.575,29.075
1902-02-15,Bakool,3.8125,34.075005
1902-02-15,Bari,3.5125,29.637503
1902-02-15,Bay,2.1714284,34.04286
1902-02-15,Galgaduud,1.4352942,33.35882
1902-02-15,Gedo,4.2642856,35.55714
1902-02-15,Hiraan,1.2090908,33.909092
1902-02-15,Lower Juba,0.2647059,34.435295
1902-02-15,Lower Shabelle,0.71,33.3
1902-02-15,Middle Juba,0.6,34.620003
1902-02-15,Middle Shabelle,3.4800003,32.92
1902-02-15,Mudug,0.9117647,32.535297
1902-02-15,Nugaal,1.4300001,30.960001
1902-02-15,Sanaag,3.5,27.744446
1902-02-15,Sool,1.6166667,29.525002
1902-02-15,Togdheer,3.4900002,28.550003
1902-02-15,Woqooyi Galbeed,2.5400002,28.630001
1902-03-16,Awdal,0.55,30.425001
1902-03-16,Bakool,23.7,34.850002
1902-03-16,Bari,6.991667,31.395834
1902-03-16,Bay,16.935713,34.79286
1902-03-16,Galgaduud,9.570589,34.48824
1902-03-16,Gedo,21.2,36.15
1902-03-16,Hiraan,16.40909,34.863636
1902-03-16,Lower Juba,1.5764705,35.152943
1902-03-16,Lower Shabelle,10.08,34.140003
1902-03-16,Middle Juba,3.7400002,35.379997
1902-03-16,Middle Shabelle,20.8,33.88
1902-03-16,Mudug,6.694118,33.8
1902-03-16,Nugaal,5.85,32.410004
1902-03-16,Sanaag,8.511111,29.17222
1902-03-16,Sool,4.5916667,30.800001
1902-03-16,Togdheer,5.93,29.66
1902-03-16,Woqooyi Galbeed,4.41,29.820002
1902-04-16,Awdal,1.1750001,30.7
1902-04-16,Bakool,117.625,33.425003
1902-04-16,Bari,19.920834,32.9375
1902-04-16,Bay,92.41428,33.521427
1902-04-16,Galgaduud,49.376472,34.664707
1902-04-16,Gedo,90.47857,33.99286
1902-04-16,Hiraan,78.79092,34.409092
1902-04-16,Lower Juba,9.764706,33.97059
1902-04-16,Lower Shabelle,65.14,33.670002
1902-04-16,Middle Juba,16.0,34.120003
1902-04-16,Middle Shabelle,70.7,33.98
1902-04-16,Mudug,26.905882,34.588234
1902-04-16,Nugaal,25.2,33.47
1902-04-16,Sanaag,31.199999,30.216667
1902-04-16,Sool,33.933334,31.583334
1902-04-16,Togdheer,45.9,29.7
1902-04-16,Woqooyi Galbeed,15.3,29.820002
1902-05-16,Awdal,0.77500004,32.8
1902-05-16,Bakool,85.450005,31.7375
1902-05-16,Bari,21.470835,34.195835
1902-05-16,Bay,134.02144,31.87857
1902-05-16,Galgaduud,60.217648,33.535294
1902-05-16,Gedo,80.26428,32.528572
1902-05-16,Hiraan,79.48182,32.836365
1902-05-16,Lower Juba,234.50589,32.36471
1902-05-16,Lower Shabelle,144.37,32.090004
1902-05-16,Middle Juba,202.68001,32.54
1902-05-16,Middle Shabelle,83.740005,32.46
1902-05-16,Mudug,49.735294,34.041176
1902-05-16,Nugaal,39.510002,33.74
1902-05-16,Sanaag,35.03889,31.616665
1902-05-16,Sool,42.850002,32.325
1902-05-16,Togdheer,49.579998,30.390003
1902-05-16,Woqooyi Galbeed,14.81,31.190002
1902-06-16,Awdal,0.32500002,37.375
1902-06-16,Bakool,8.325001,31.762499
1902-06-16,Bari,3.8291667,33.56667
1902-06-16,Bay,29.350002,31.414286
1902-06-16,Galgaduud,8.111765,32.617645
1902-06-16,Gedo,6.7,32.721428
1902-06-16,Hiraan,13.427273,32.200005
1902-06-16,Lower Juba,81.16471,31.264706
1902-06-16,Lower Shabelle,55.390003,31.110004
1902-06-16,Middle Juba,57.28,31.6
1902-06-16,Middle Shabelle,27.720001,31.26
1902-06-16,Mudug,5.882353,32.882355
1902-06-16,Nugaal,5.33,32.72
1902-06-16,Sanaag,11.338889,32.18889
1902-06-16,Sool,9.016667,32.416668
1902-06-16,Togdheer,15.56,31.630001
1902-06-16,Woqooyi Galbeed,6.18,33.920002
1902-07-16,Awdal,0.82500005,39.325
1902-07-16,Bakool,6.4000006,31.55
1902-07-16,Bari,3.375,32.49167
1902-07-16,Bay,18.09286,30.850002
1902-07-16,Galgaduud,4.2705884,31.852942
1902-07-16,Gedo,5.5,32.55714
1902-07-16,Hiraan,8.409091,31.609093
1902-07-16,Lower Juba,13.952942,30.67059
1902-07-16,Lower Shabelle,31.340002,30.35
1902-07-16,Middle Juba,6.5,30.939999
1902-07-16,Middle Shabelle,27.640003,30.4
1902-07-16,Mudug,0.582353,31.98235
1902-07-16,Nugaal,0.39000002,31.920002
1902-07-16,Sanaag,9.511111,32.0
1902-07-16,Sool,2.45,32.15
1902-07-16,Togdheer,8.339999,32.010002
1902-07-16,Woqooyi Galbeed,6.0,34.870003
1902-08-16,Awdal,1.25,38.975
1902-08-16,Bakool,4.1125,32.2
1902-08-16,Bari,5.879167,32.558334
1902-08-16,Bay,9.3,31.34286
1902-08-16,Galgaduud,2.8235295,32.19412
1902-08-16,Gedo,2.578571,33.107143
1902-08-16,Hiraan,5.572727,32.054543
1902-08-16,Lower Juba,4.6411767,30.952942
1902-08-16,Lower Shabelle,16.9,30.66
1902-08-16,Middle Juba,4.8,31.320002
1902-08-16,Middle Shabelle,18.039999,30.720001
1902-08-16,Mudug,0.6588235,32.24118
1902-08-16,Nugaal,1.72,32.15
1902-08-16,Sanaag,12.083335,32.083332
1902-08-16,Sool,3.8333333,32.34167
1902-08-16,Togdheer,10.68,32.260002
1902-08-16,Woqooyi Galbeed,8.82,34.85
1902-09-16,Awdal,0.925,36.199997
1902-09-16,Bakool,11.325001,33.0375
1902-09-16,Bari,7.2166667,33.754166
1902-09-16,Bay,8.728572,32.221428
1902-09-16,Galgaduud,6.347059,33.223534
1902-09-16,Gedo,4.65,33.971428
1902-09-16,Hiraan,8.845455,33.0
1902-09-16,Lower Juba,14.982353,31.870588
1902-09-16,Lower Shabelle,9.960001,31.429998
1902-09-16,Middle Juba,9.66,32.22
1902-09-16,Middle Shabelle,9.74,31.6
1902-09-16,Mudug,3.3764706,33.41765
1902-09-16,Nugaal,5.7300005,33.46
1902-09-16,Sanaag,16.744444,32.58889
1902-09-16,Sool,11.183333,33.158337
1902-09-16,Togdheer,20.36,32.25
1902-09-16,Woqooyi Galbeed,10.460001,33.780003
1902-10-16,Awdal,4.45,32.825
1902-10-16,Bakool,89.3,32.4
1902-10-16,Bari,18.074999,32.25
1902-10-16,Bay,94.221436,32.12143
1902-10-16,Galgaduud,55.423534,33.0
1902-10-16,Gedo,65.23571,33.385715
1902-10-16,Hiraan,77.91818,32.79091
1902-10-16,Lower Juba,39.094124,32.52941
1902-10-16,Lower Shabelle,62.659996,31.820002
1902-10-16,Middle Juba,56.820007,32.6
1902-10-16,Middle Shabelle,76.259995,31.880001
1902-10-16,Mudug,40.311764,33.011765
1902-10-16,Nugaal,34.030003,32.5
1902-10-16,Sanaag,21.38889,30.238888
1902-10-16,Sool,31.983335,31.400002
1902-10-16,Togdheer,34.12,30.25
1902-10-16,Woqooyi Galbeed,10.92,31.210001
1902-11-16,Awdal,39.025,30.825
1902-11-16,Bakool,64.387505,32.324997
