,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,inv_distance,log_disp,x
0,2020-01,Awdal,0,864,1428,Awdal,2020,1,0.1928211683185939,0.3657618513898316,139,0.4235243639391764,0.079284918114252,0.6288603891551939,0.5286516975860361,0.4202880486489185,0.6938633879255226,0.4831302826094016,0.4160505724678048,0.163824550560811,0.2015643526770895,0.1355581758731799,0.2145495055602838,138.0,137.0,136.0,135.0,134.0,133.0,1,0.0014060378073769858,-inf,1.5674170962270023e-07
1,2020-01,Bakool,0,865,1428,Bakool,2020,1,0.6476107394407322,1.146358566701533,17,0.3854183759890103,0.4247144956698664,0.7262822301760561,0.8991121447870731,0.6583436501455979,0.7039012815470169,1.3216027386295237,0.7789028208748817,1.2558620225086692,0.5088673277238215,0.5137269943360878,0.7147106357117776,16.0,15.0,14.0,13.0,12.0,11.0,2,0.004339161252142711,-inf,7.99666059114572e-06
3,2020-01,Bari,0,867,1428,Bari,2020,1,1.8940601460743705,0.1059776927120519,16,1.922863373929813,1.587124006932486,1.812432172246501,1.657962803357347,1.6824579655878955,2.0499351655808886,0.0397719283588131,0.2362076364799005,0.2261675852022191,0.2405121695049659,0.2277697479176822,0.0505982620253739,15.0,14.0,13.0,12.0,11.0,10.0,8,0.00124865886735538,-inf,2.4745627559497138e-06
4,2020-01,Bay,0,868,1428,Bay,2020,1,1.0957516522394135,1.2227129810919295,19,0.7667864053208924,0.8904232965535865,1.1485942317299205,1.3918451912052845,1.0746840272033853,1.0978462160439937,1.40670274409824,0.7663460015359146,1.4333757916959369,0.6556481470602794,0.6483940951156069,0.8642213802134048,18.0,17.0,16.0,15.0,14.0,13.0,12,0.0048678032659052834,-inf,2.109903291278766e-05
5,2020-01,Galgaduud,0,869,1428,Galgaduud,2020,1,0.2069027494377533,0.2345477880042063,2,0.1213393290141788,-0.1081000036699152,0.1985077013462469,0.2918909713193416,0.1613797838385779,0.4816459764027617,0.1107831436936235,0.1467965885013168,0.1471661595411663,0.1348486054746306,0.1442387700307299,0.1600157980422307,1.0,0.0,8.0,7.0,6.0,5.0,7,0.003565472503646411,-inf,-1.374231476891498e-06
6,2020-01,Gedo,0,870,1428,Gedo,2020,1,1.1191833120691883,1.627922130450815,19,0.8421812204224705,1.0371425563974104,1.287385466540961,1.4652825744066185,1.1341720853097452,1.0469543570764397,1.804372778553542,1.030005663392564,1.6268874324814022,0.5400493444439212,0.530221325134463,0.7904147269868349,18.0,17.0,16.0,15.0,14.0,13.0,3,0.002616749249414958,-inf,7.101705707128055e-06
7,2020-01,Hiraan,9,871,1428,Hiraan,2020,1,0.3867097017618971,0.3685799608196031,12,0.1605098414939922,0.0694985403120712,0.3497074423969906,0.5478042275056265,0.3775906935775322,0.5746255169091499,0.3024959276028192,0.243765937143734,0.2680976438516625,0.1592283104399535,0.1709966111065089,0.2248175055958142,11.0,10.0,9.0,8.0,7.0,6.0,11,0.006016509264782172,2.197224577336219,2.515734831114297e-06
8,2020-01,Lower Juba,0,872,1428,Lower Juba,2020,1,1.2753155107461849,1.326709231889707,139,1.1400981780592945,1.3485500612103274,1.633203912185093,1.8841429673111,1.488682801325066,1.5768442306813055,0.7314123219048595,0.6190057261484627,0.5990624787275507,0.0240984275054541,-0.0418756980121108,-0.0135804508314215,138.0,137.0,136.0,135.0,134.0,133.0,20,0.0023353638652866275,-inf,7.354890060917503e-06
9,2020-01,Lower Shabelle,299,873,1428,Lower Shabelle,2020,1,0.991222377932367,0.4360472747604675,17,0.6587868443993922,0.7391795156901699,1.008990756248986,1.314725889667552,1.0274331002584838,1.1532707124778587,0.4627965251536148,0.2943914913680741,0.510708213976921,0.2996621442376332,0.3023797276046925,0.3894119641328024,16.0,15.0,14.0,13.0,12.0,11.0,52,0.008508246593928818,5.700443573390686,5.3509397403695874e-05
10,2020-01,Middle Juba,0,874,1428,Middle Juba,2020,1,1.3081830976798208,0.8071185072767121,139,1.0846967739218951,1.2633128657704182,1.5046044224334545,1.748700100780456,1.3642592503538968,1.4130914241031665,0.8170631983999681,0.5288116150092136,0.8193473855088409,0.4027533457173234,0.3468176617459717,0.4467725123353661,138.0,137.0,136.0,135.0,134.0,133.0,7,0.0031030528715675202,-inf,1.2164360152119484e-05
