,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,yr_mth,sum_disp,population_density,inv_distance,log_disp_ban,x,x_dist,inv_distance_2,gdp_mean,accessibility_to_cities_mean,shapeName,gdp_pp_destination,Disp_log
1,2022-01,Bakool,3048,1297,1452,Bakool,2022,1,0.7605834802284172,0.5890143962916854,0.04597701149425287,0.6427639664964941,0.4838717625499126,0.4219698161775595,0.47966227498977837,0.4345744436012048,0.4578085462828806,0.5408123821052285,0.33997801667404504,0.23923505759802055,0.03405028510293731,0.07793706492554237,0.17611635417056137,0.04046242774566474,0.029239766081871343,0.029239766081871343,0.023529411764705882,0.01775147928994083,0.011904761904761904,0.09302325581395349,2022-01,0.017664869278266344,0.10923212783951888,0.28002343207492286,8.022240916806537,0.18479648892047884,0.3548415921922077,0.15299238224724954,0.034269207850357586,0.2396657303160108,Bakool,0.11337357728381947,0.7192088990976866
3,2022-01,Bay,34277,1300,1452,Bay,2022,1,0.8363810190448007,0.5646435314169908,0.2471264367816092,0.7853826433111777,0.6999408423180592,0.5997828256340357,0.6111040096319408,0.6297495956226856,0.6956021260466372,0.5138469686080063,0.31017862959733156,0.1729289921257827,0.0,0.048453079626130297,0.15559492831886618,0.24277456647398843,0.23391812865497075,0.23391812865497075,0.22941176470588234,0.22485207100591714,0.22023809523809523,0.10465116279069767,2022-01,0.0840803551684839,0.10053790455849915,0.34990182636372524,10.442229854296327,0.3382623264230557,0.5875955988511562,0.20657670899278555,0.1879583329237419,0.16147689760690798,Bay,0.690152857978403,0.9814891276913178
4,2022-01,Galgaduud,18,1301,1452,Galgaduud,2022,1,0.4232771845178056,0.41253411974868837,0.034482758620689655,0.21058048639636745,0.10445347709246855,0.06897403520848489,0.2722970673639913,0.18087164749511964,0.1217234136105452,0.33482300136925947,0.2258666591770156,0.21622047169562775,0.29939812313070346,0.307197305686488,0.31593354842793253,0.028901734104046242,0.017543859649122806,0.017543859649122806,0.011764705882352941,0.005917159763313609,0.0,0.18604651162790697,2022-01,1.0,0.0031949352673421444,0.17775360482559616,2.8903717578961645,0.024492125709803587,0.047070340113209666,0.08566252913034295,0.0,0.5045525450071277,Galgaduud,0.5454441950719514,0.16301304412498333
6,2022-01,Hiraan,290,1303,1452,Hiraan,2022,1,0.5334959870798097,0.4387411180402301,0.034482758620689655,0.37801515667323154,0.2426682392597235,0.20481998926344036,0.3187785661365611,0.2691674748227689,0.30409519329196183,0.36896328883686813,0.24146290595369285,0.20783783709209364,0.2496144070870264,0.26662464029743405,0.29440004003710907,0.028901734104046242,0.017543859649122806,0.017543859649122806,0.011764705882352941,0.005917159763313609,0.0,0.23255813953488372,2022-01,0.0056898399360424574,0.0,0.5017432022319003,5.66988092298052,0.18685578452873766,0.2494047341975553,0.34422458867737493,0.05714120766014577,0.5885775562002598,Hiraan,1.0,0.46425834649095454
7,2022-01,Lower Juba,132,1304,1452,Lower Juba,2022,1,0.9162802526121753,0.6025120949627818,0.9367816091954023,1.0,1.0,0.8452738709864311,0.8203428465670592,0.814988296882358,0.9567272837552925,0.5539486234651556,0.5508225424549968,0.3477616752591934,0.30708811787700396,0.235241431309946,0.27089968105639245,0.9364161849710982,0.935672514619883,0.935672514619883,0.9352941176470588,0.9349112426035503,0.9345238095238094,0.3255813953488372,2022-01,0.011779414516321082,0.16095237386298109,0.015152044201296566,4.882801922586371,0.10424860456459867,0.3876885757177607,0.00574966922777842,0.039153384255340457,0.38841259897393965,Lower Juba,0.0,0.37895413003500844
8,2022-01,Lower Shabelle,18721,1305,1452,Lower Shabelle,2022,1,0.7144502819182725,0.41824562247822544,0.23563218390804597,0.6526949613732295,0.6093337638021276,0.5115676664485245,0.5359613033430448,0.5524801645779374,0.6598074897254689,0.38180078352660207,0.23938067194743945,0.16894036981783733,0.1943516197945113,0.2108128876585403,0.25572357290799996,0.23121387283236994,0.2222222222222222,0.2222222222222222,0.21764705882352942,0.21301775147928995,0.20833333333333331,0.5116279069767442,2022-01,0.01108200513701543,1.0,0.8311127926489761,9.837401167408268,0.9186844418116076,0.9166377100871556,0.7426717462482046,0.9999999999999999,0.08296218788690846,Lower Shabelle,0.21968073428723167,0.9159373378465532
9,2022-01,Middle Juba,254,1306,1452,Middle Juba,2022,1,0.8828650081978626,0.479893659184964,0.9367816091954023,0.9127791619852993,0.9145218373407039,0.7779170685371539,0.7637429260445887,0.7776969339472227,0.8845676925572306,0.46300973632986697,0.3284052692191541,0.22695108929220822,0.17851675910817486,0.17004843540273012,0.24115400816617014,0.9364161849710982,0.935672514619883,0.935672514619883,0.9352941176470588,0.9349112426035503,0.9345238095238094,0.0,2022-01,0.006166119512153635,0.02482285325190081,0.11662879723169128,5.537334267018537,0.1740587947783502,0.4795788888536482,0.05171362926829642,0.08986204560408767,0.5960955040559042,Middle Juba,0.8777920354446896,0.4498928398200478
10,2022-01,Middle Shabelle,234,1307,1452,Middle Shabelle,2022,1,0.31969580279050624,0.38521436087935645,0.034482758620689655,0.19350381132591232,0.10573425768383032,0.1252173903199991,0.20667282651868113,0.19682209588194244,0.34009575809751086,0.3330495118667239,0.21343712602534534,0.17847294115854107,0.27219535980055864,0.29162225632463834,0.3042710521834903,0.028901734104046242,0.017543859649122806,0.017543859649122806,0.011764705882352941,0.005917159763313609,0.0,0.23255813953488372,2022-01,0.008649577301876201,0.2379307952048895,0.9999999999999998,5.455321115357701,0.24363046357155277,0.19082242539134475,1.0,0.44308614018854486,0.0,Middle Shabelle,0.7292471613009842,0.4410041925076347
11,2022-01,Mudug,41,1308,1452,Mudug,2022,1,0.36724074038906346,0.3632330503590764,0.017241379310344827,0.1323382002188958,0.062369857820559205,0.0,0.2566273626848057,0.1464214119662287,0.0,0.31248062514031416,0.24968888125424346,0.2573439309246881,0.35313364080734044,0.35063464515552,0.28484007693253643,0.011560693641618497,0.0,0.0,0.011764705882352941,0.005917159763313609,0.0,0.011627906976744186,2022-01,0.6785197911173859,0.050718681885182554,0.0,3.7135720667043075,0.0,0.0,0.0,0.06794018611938496,1.0,Mudug,0.5260861670737208,0.2522321152652448
18,2022-02,Bakool,1010,1315,1453,Bakool,2022,2,0.8437551877224593,0.18366523433713894,0.05172413793103448,0.7779272040328826,0.5499654356367439,0.5204490251844885,0.4219698161775595,0.47966227498977837,0.66952722433182,0.5610548408607221,0.3945140507048864,0.35711299328422097,0.3305526790551472,0.03434592957609153,0.07793706492554237,0.046242774566473986,0.03508771929824561,0.03508771929824561,0.029411764705882353,0.023668639053254437,0.017857142857142856,0.046511627906976744,2022-02,0.010129445984793074,0.10923212783951888,0.28002343207492286,6.917705609835305,0.20994187902309794,0.4053878077162659,0.15299238224724954,0.034269207850357586,0.2396657303160108,Bakool,0.11337357728381947,0.5994985283954762
