,time,Previous (Departure) Region,index,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,population_density_origin,conflicts,inv_distance,x,x_dist,Current (Arrival) Region,Displacements,Disp_log,inv_distance_2,population_density_destination,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin
416,2022-01,Lower Shabelle,1452,2022,1,0.5602856770187711,0.31447459497904307,0.23563218390804597,0.5261202782554327,0.6271684817751371,0.4923283400911533,0.4885503028119148,0.5390906301940189,0.5667438796452864,0.35929711278295207,0.3142503392168749,0.19228766986777068,0.1474463434043154,0.20730218597218147,0.25146496619461933,0.23121387283236994,0.22674418604651161,0.2222222222222222,0.21301775147928995,0.21301775147928995,0.20833333333333331,0.08516044411549209,0.5172413793103449,0.852607755026079,0.5172413793103448,0.5172413793103449,Banadir,0.004856935174783585,0.4243312372710979,0.75269893945435,0.9999999999999999,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
433,2022-02,Lower Shabelle,1453,2022,2,0.5624047535666797,0.24273779604651896,0.24137931034482757,0.5836218877941559,0.5825126450915977,0.6164121564656172,0.46303029508427834,0.5229721088711606,0.6452502950277614,0.3749106007246871,0.33171174398231074,0.26490133072430666,0.21207931961150728,0.19277442285721347,0.20730218597218147,0.23699421965317918,0.23255813953488372,0.22807017543859648,0.21893491124260353,0.21893491124260356,0.21428571428571427,0.08516044411549209,0.5977011494252873,0.852607755026079,0.5977011494252873,0.5977011494252874,Banadir,0.0008260093834665961,0.2422743806966638,0.75269893945435,0.9999999999999999,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
435,2022-02,Middle Shabelle,1453,2022,2,0.28358582815848593,0.28767373056229806,0.040229885057471264,0.2595799107113117,0.19533186714868503,0.1536052446530646,0.05884037969739844,0.20166404413278768,0.43055829335244333,0.34530175495757814,0.2746272132894152,0.2283926581175839,0.22266341748344162,0.2699864474782532,0.28676582293278163,0.03468208092485549,0.029069767441860465,0.023391812865497075,0.01183431952662722,0.011834319526627219,0.005952380952380952,0.02366321265883157,0.1724137931034483,1.0,0.22808359923773808,0.19830471121298454,Banadir,0.09376858521112799,0.7433670199703419,1.0,0.9999999999999999,0.9999999999999999,0.0,0.004581847212329029,0.24147300018554926
445,2022-03,Bay,1454,2022,3,0.5016379081583612,0.23955843044853634,0.25862068965517243,0.6759915402787666,0.7569949229158248,0.6855753447804187,0.6823482156833905,0.5852468960539291,0.6806384156647936,0.14665944348772117,0.5144243589074384,0.4493635362712636,0.380101833022822,0.2581641754740025,0.0,0.2543352601156069,0.25,0.24561403508771928,0.23668639053254437,0.23668639053254437,0.23214285714285712,0.012575922497497222,0.1724137931034483,0.43264246730931755,0.05643621831933528,0.09864270104194689,Banadir,0.2001255534262869,0.8255377273486033,0.23749367406440455,0.9999999999999999,0.9999999999999999,0.0,0.0020614012950123314,0.34916083247120594
450,2022-03,Lower Shabelle,1454,2022,3,0.42648912981657455,0.25928069197312875,0.2471264367816092,0.5858399991406694,0.6461775826615649,0.5704679826033331,0.5942750651298938,0.49916965960814097,0.6352787304941102,0.29403667044761816,0.3511391808580001,0.2836193208901313,0.28291370325675225,0.25397103038762864,0.19277442285721347,0.24277456647398843,0.23837209302325582,0.23391812865497075,0.22485207100591714,0.22485207100591714,0.22023809523809523,0.08516044411549209,0.3908045977011494,0.852607755026079,0.3908045977011494,0.39080459770114945,Banadir,0.010605960483711095,0.5078637149920912,0.75269893945435,0.9999999999999999,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
452,2022-03,Middle Shabelle,1454,2022,3,0.23274244976132463,0.267975810089544,0.04597701149425287,0.293990503339783,0.28740306475637273,0.17211689797343238,0.10475928062940831,0.12218270661432255,0.4365046594397358,0.34469610450436144,0.314297702243542,0.2224267823467603,0.2472996150631741,0.2639923990687787,0.2699864474782532,0.04046242774566474,0.03488372093023256,0.029239766081871343,0.01775147928994083,0.01775147928994083,0.011904761904761904,0.02366321265883157,0.11494252873563218,1.0,0.15205573282515875,0.13220314080865636,Banadir,0.00019824225203198304,0.11916481858233642,1.0,0.9999999999999999,0.9999999999999999,0.0,0.004581847212329029,0.24147300018554926
460,2022-04,Bakool,1455,2022,4,0.5621759191376415,0.6287436100487467,0.06321839080459771,0.6146275192467988,0.7636969717896572,0.6791077063631819,0.5365670384474107,0.5078357757602163,0.5664680870487533,0.2961260190539205,0.08949951180681781,0.508618801703699,0.4958735603798422,0.4517924961870803,0.3278701870153453,0.057803468208092484,0.05232558139534883,0.04678362573099415,0.03550295857988165,0.03550295857988166,0.02976190476190476,0.013277526312589721,0.09195402298850575,0.37165778071909916,0.023916750704651175,0.04689607066808322,Banadir,0.04718165598361197,0.6689812150483834,0.18599734344546942,0.9999999999999999,0.9999999999999999,0.0,0.0005430833508411896,0.4013044271783965
462,2022-04,Bay,1455,2022,4,0.5622946126512979,0.6033192775251486,0.26436781609195403,0.5222332222051931,0.7484479052832661,0.7499841377938281,0.6674297037541922,0.7037269518019861,0.6738044145053192,0.2904523483768994,0.06713249602423138,0.4794805918063425,0.4628559686877215,0.41306022003818965,0.2581641754740025,0.26011560693641617,0.2558139534883721,0.25146198830409355,0.24260355029585798,0.24260355029585798,0.23809523809523808,0.012575922497497222,0.25287356321839083,0.43264246730931755,0.08277312020169175,0.1446759615281888,Banadir,0.19807705015528976,0.8244222677715298,0.23749367406440455,0.9999999999999999,0.9999999999999999,0.0,0.0020614012950123314,0.34916083247120594
467,2022-04,Lower Shabelle,1455,2022,4,0.5357525072799239,0.3719575741087854,0.25287356321839083,0.44357237435566454,0.6486334429675955,0.635969676847128,0.5456794246211111,0.6215813380601191,0.6205535795865906,0.3126866385484791,0.25050995686847166,0.30444482589796146,0.3011730401478299,0.321039332514099,0.25397103038762864,0.24855491329479767,0.2441860465116279,0.23976608187134502,0.23076923076923075,0.23076923076923075,0.22619047619047616,0.08516044411549209,0.7471264367816092,0.852607755026079,0.7471264367816092,0.7471264367816092,Banadir,0.051080420273574303,0.6775758311062993,0.75269893945435,0.9999999999999999,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
470,2022-04,Mudug,1455,2022,4,0.20368681566375652,0.29905968959371354,0.034482758620689655,0.3076424430493333,0.4429483827306816,0.31130249574147983,0.06821550337366906,0.1256963974193664,0.3117471838681122,0.3479729969522478,0.31708181430203985,0.23867088305091605,0.2162945091411622,0.33443760840627995,0.34690762083258675,0.028901734104046242,0.023255813953488372,0.017543859649122806,0.005917159763313609,0.005917159763313609,0.0,0.008555625851924755,0.12643678160919541,0.12727407074963584,0.008613649259793934,0.03300124376926987,Banadir,0.001057292010837243,0.26647842527586035,0.03896654588041065,0.9999999999999999,0.9999999999999999,0.0,0.000875724001110037,0.9083661216264067
