index,time,admin1,year,month,TA,PA,DL,TA_lag1,PA_lag1,DL_lag1,conflicts,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,April,August,December,February,January,July,June,March,May,November,October,September,month_name
1152,1997-01,Awdal,1997,1,0.1801887924178823,-0.004552570432063511,5,0.11192978037475432,-0.4646835370101045,4.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Bakool,1997,1,-0.048030589220226794,-0.6154043680395929,0,-0.2564151981407479,-0.8964576017446899,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Banadir,1997,1,-0.03080054725861799,-0.29026352704200825,0,-0.3040152835635248,-0.39389540253944677,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Bari,1997,1,-0.2894067222318719,0.14750442810521097,0,-0.4548138115207885,0.018889085115520805,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Bay,1997,1,0.16400668171176144,-0.38219814850241485,1,-0.11221669234370428,-0.6046416580063009,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Galgaduud,1997,1,-0.2556299518678386,-0.44402960539052144,0,-0.48150239617385004,-0.7468254434743281,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Gedo,1997,1,0.22102083641777392,-0.4980933924607068,1,-0.015698885839874433,-0.7541627662128784,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Hiraan,1997,1,-0.17952908187479188,-0.6709055154786795,0,-0.3925477560501908,-0.8780945662140828,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Lower_Juba,1997,1,0.5409237441055902,-0.43374431225746807,2,0.14706164445927236,-0.4571752588049011,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Lower_Shabelle,1997,1,0.1098979291290058,-0.24091409354701443,1,-0.20088046017680153,-0.34096998204731,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Middle_Juba,1997,1,0.3319055134443433,-0.23738499466621174,2,0.008640416904183787,-0.32692177286072505,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Middle_Shabelle,1997,1,-0.186992071052295,-0.3252106595360845,0,-0.3994855159695338,-0.4338113570572521,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Mudug,1997,1,-0.2534081388490515,0.0943426365923361,0,-0.5141799155031698,-0.05245050983137203,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Nugaal,1997,1,-0.30920428023012253,0.1580843073375681,0,-0.6249024976840136,0.026328996006529038,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Sanaag,1997,1,-0.2529575487909379,0.0028573203978261067,0,-0.3967136752711155,-0.0018907531274607256,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Sool,1997,1,-0.27794948077632736,0.07955740291942488,0,-0.46104846677390604,0.010316127955173315,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Togdheer,1997,1,-0.1369116489953043,-0.18820180876956571,0,-0.292886572453475,-0.31963505132534425,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Woqooyi_Galbeed,1997,1,-0.0061141118553855915,-0.16001635266276537,0,-0.09171296629764127,-0.48638120055923023,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,January
1153,1997-02,Awdal,1997,2,0.13617712223795678,-0.16100598841477398,6,0.1801887924178823,-0.004552570432063511,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February
