index,time,admin1,year,month,TA,PA,DL,TA_lag1,PA_lag1,DL_lag1,conflicts,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,April,August,December,February,January,July,June,March,May,November,October,September,month_name
1152,1997-01,Awdal,1997,1,0.18018955277369839,-0.0045525741241649875,5,0.11193054879797747,-0.4646835342854643,4.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Bakool,1997,1,-0.04803037829876452,-0.615404400853876,0,-0.2564175265271826,-0.896457593862953,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Banadir,1997,1,-0.030803249327078636,-0.2902634951251861,0,-0.3040126643950524,-0.3938954044026493,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Bari,1997,1,-0.2894240125819682,0.14750391358465878,0,-0.4548246692907057,0.018888543283667795,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Bay,1997,1,0.16400258514158453,-0.38219808115914744,1,-0.11222078784246142,-0.6046416038367166,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Galgaduud,1997,1,-0.25562995421665563,-0.44402955007885164,0,-0.4815024663806428,-0.7468254415603083,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Gedo,1997,1,0.221022448767774,-0.49809337718030977,1,-0.01569712037988383,-0.754162790603418,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Hiraan,1997,1,-0.1795239740795417,-0.6709055806985172,0,-0.39254812797032373,-0.8780945897829117,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Lower_Juba,1997,1,0.5409256418546934,-0.43374432742410757,2,0.1470614468473878,-0.4571752833789016,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
1152,1997-01,Lower_Shabelle,1997,1,0.10989569692323019,-0.24091405097787377,1,-0.20088148779027537,-0.34096992242325425,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January
