index,time,admin1,year,month,TA,PA,DL,TA_lag1,PA_lag1,DL_lag1,conflicts,Awdal_x,Bakool_x,Banadir_x,Bari_x,Bay_x,Galgaduud_x,Gedo_x,Hiraan_x,Lower_Juba_x,Lower_Shabelle_x,Middle_Juba_x,Middle_Shabelle_x,Mudug_x,Nugaal_x,Sanaag_x,Sool_x,Togdheer_x,Woqooyi_Galbeed_x,April,August,December,February,January,July,June,March,May,November,October,September,month_name,yr_mth,Awdal_y,Bakool_y,Banadir_y,Bari_y,Bay_y,Galgaduud_y,Gedo_y,Hiraan_y,Lower_Juba_y,Lower_Shabelle_y,Middle_Juba_y,Middle_Shabelle_y,Mudug_y,Nugaal_y,Sanaag_y,Sool_y,Togdheer_y,Woqooyi_Galbeed_y,sum_disp
1380,2016-01,Awdal,2016,1,1.446801818683575,-0.3465941880992888,193,2.215482094869129,-0.3923284592373253,192.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,7,26,0,13,14,0,14,0,0,9,0,0,6,0,0,0,0,89
1380,2016-01,Bakool,2016,1,1.5607104980638846,0.0080778464700272,68,1.676488209077483,0.5229277829083284,67.0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,2016-01,Banadir,2016,1,0.8997627353193757,0.1497772179054758,13,0.7707570332190143,0.1562676781540815,12.0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,6441,0,0,0,0,8,0,569,0,0,0,0,0,0,0,0,7018
1380,2016-01,Bari,2016,1,2.320338155280973,0.1475039135846587,23,2.91436031405789,0.0188885432836677,22.0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,23,8,0,5,0,16,0,7,0,0,0,16,0,0,0,0,75
1380,2016-01,Bay,2016,1,1.120355318962473,-0.0804164740191786,84,1.046874404845758,0.464762302833613,83.0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,14,0,6,164,0,0,0,0,0,0,0,0,0,0,0,0,0,184
1380,2016-01,Galgaduud,2016,1,1.2844423210541132,0.2596649873224191,14,1.3297271319954262,0.0958622043658553,13.0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,138
1380,2016-01,Gedo,2016,1,1.2791288319235068,-0.2497334088300096,92,1.3228769626140346,0.4479397007822186,91.0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,3,0,0,0,0,8493,0,0,0,0,0,0,0,0,0,0,0,8496
1380,2016-01,Hiraan,2016,1,1.3810405001551382,0.1911532724916238,25,1.3837427594722558,0.1770486985290429,24.0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,2016-01,Lower_Juba,2016,1,1.4360671607620077,-0.1111730047945777,91,1.4037718606227312,-0.0679345489722789,90.0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10
1380,2016-01,Lower_Shabelle,2016,1,0.9781220795340136,0.0669890169983376,66,0.7860519094767562,0.2080244189110426,65.0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,99
1380,2016-01,Middle_Juba,2016,1,1.3004268710999758,-0.0887500881478977,92,1.1925836050032508,0.1843702103578111,91.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,138,0,326,0,0,124,0,0,0,0,0,0,0,0,588
1380,2016-01,Middle_Shabelle,2016,1,0.7640350399374825,0.1891400976090211,12,0.717484781802995,0.1180647407594698,11.0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,2016-01,Mudug,2016,1,1.3010960377393597,0.1730388134504607,13,1.3683112140945954,0.0438754203814989,12.0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,57,13,19,287,0,14,13,0,0,0,2752,5,0,0,0,6,3166
1380,2016-01,Nugaal,2016,1,1.9114631752896791,0.1580843032105408,15,2.086197157148149,0.0263289688429471,14.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,2016-01,Sanaag,2016,1,2.459264188729089,0.032010657555662,41,3.017025550152689,0.0537696397625305,40.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,2016-01,Sool,2016,1,2.293791741998589,0.0953814094061146,41,2.6281061498048577,0.0261070158374338,40.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,2016-01,Togdheer,2016,1,2.0216378300255977,-0.0558162293332244,41,2.6046825977170878,-0.0479555145150625,40.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,807
1380,2016-01,Woqooyi_Galbeed,2016,1,1.7939064259450046,-0.2841701509432466,45,2.5613230742462334,-0.3101742225882337,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,January,2016-01,5,0,69,32,0,28,5,28,0,7,0,17,40,25,16,8,6,57,343
1381,2016-02,Awdal,2016,2,1.1834265261253083,0.1809298240877938,194,1.446801818683575,-0.3465941880992888,193.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,41,0,0,5,0,0,0,7,0,0,12,18,0,0,0,0,83
1381,2016-02,Bakool,2016,2,1.606869481455832,-0.0524998649286066,69,1.5607104980638846,0.0080778464700272,68.0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
1381,2016-02,Banadir,2016,2,1.0173642582196565,0.1235099301267225,14,0.8997627353193757,0.1497772179054758,13.0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,344,0,0,0,0,0,0,3868,0,0,0,0,0,0,0,0,4212
1381,2016-02,Bari,2016,2,1.6287252857810912,0.2601020250856735,24,2.320338155280973,0.1475039135846587,23.0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,11,58,16,8,0,0,0,0,15,0,0,0,12,0,5,0,3,128
1381,2016-02,Bay,2016,2,1.2667592533211438,-0.0795480203918782,85,1.120355318962473,-0.0804164740191786,84.0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,75,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,145
1381,2016-02,Galgaduud,2016,2,1.2052180484763335,0.2370252233160928,15,1.2844423210541132,0.2596649873224191,14.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,406
1381,2016-02,Gedo,2016,2,1.359505066845977,-0.3284651261387881,93,1.2791288319235068,-0.2497334088300096,92.0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,30,0,0,77,0,27,0,0,0,0,0,0,0,0,0,0,0,134
1381,2016-02,Hiraan,2016,2,1.356223537301582,0.1474881205927309,26,1.3810405001551382,0.1911532724916238,25.0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,2016-02,Lower_Juba,2016,2,1.6659331014266436,0.0840549506498552,92,1.4360671607620077,-0.1111730047945777,91.0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
1381,2016-02,Lower_Shabelle,2016,2,1.1675321161087966,0.0859344189653099,67,0.9781220795340136,0.0669890169983376,66.0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,723
1381,2016-02,Middle_Juba,2016,2,1.5209629022511315,-0.0021247520869532,93,1.3004268710999758,-0.0887500881478977,92.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,44,0,100,0,24,0,300,0,0,0,0,0,0,0,468
1381,2016-02,Middle_Shabelle,2016,2,0.8026142253945608,0.1547117155649058,13,0.7640350399374825,0.1891400976090211,12.0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,2016-02,Mudug,2016,2,1.1944278287240884,0.2331190152561062,14,1.3010960377393597,0.1730388134504607,13.0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,94,0,11,67,0,26,0,12,0,28,497,0,0,0,0,17,752
1381,2016-02,Nugaal,2016,2,1.638943099918474,0.2729161972589859,16,1.9114631752896791,0.1580843032105408,15.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,2016-02,Sanaag,2016,2,2.006266654183509,0.0737169079375019,42,2.459264188729089,0.032010657555662,41.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,2016-02,Sool,2016,2,1.986292031185793,0.1753755131849725,42,2.293791741998589,0.0953814094061146,41.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,February,2016-02,0,0,0,23,0,0,0,0,0,0,0,0,0,0,120,39,0,0,182
