,time,Previous (Departure) Region,admin1_dep,tmx_dep,pre_dep,conflicts_dep,year,TA_dep,PA_dep,DL_dep,TA_lag1_dep,TA_lag2_dep,TA_lag3_dep,TA_lag4_dep,TA_lag5_dep,TA_lag6_dep,PA_lag1_dep,PA_lag2_dep,PA_lag3_dep,PA_lag4_dep,PA_lag5_dep,PA_lag6_dep,DL_lag1_dep,DL_lag2_dep,DL_lag3_dep,DL_lag4_dep,DL_lag5_dep,DL_lag6_dep,conflicts_lag1_dep,conflicts_lag2_dep,conflicts_lag3_dep,conflicts_lag4_dep,conflicts_lag5_dep,conflicts_lag6_dep,sum_disp_dep,population_density_dep,admin1_arr,tmx_arr,pre_arr,conflicts_arr,TA_arr,PA_arr,DL_arr,TA_lag1_arr,TA_lag2_arr,TA_lag3_arr,TA_lag4_arr,TA_lag5_arr,TA_lag6_arr,PA_lag1_arr,PA_lag2_arr,PA_lag3_arr,PA_lag4_arr,PA_lag5_arr,PA_lag6_arr,DL_lag1_arr,DL_lag2_arr,DL_lag3_arr,DL_lag4_arr,DL_lag5_arr,DL_lag6_arr,conflicts_lag1_arr,conflicts_lag2_arr,conflicts_lag3_arr,conflicts_lag4_arr,conflicts_lag5_arr,conflicts_lag6_arr,sum_disp_arr,population_density_arr,inv_distance,Current (Arrival) Region,Displacements,Disp_log,inv_distance_2,gdp_mean_arr,accessibility_to_cities_mean_arr,gdp_mean_dep,accessibility_to_cities_mean_dep
140,2016-09,Galgaduud,Galgaduud,0.6543233135296602,0.019483918111925687,0.09375,2016,0.43628757569473564,0.34366435402757356,0.11494252873563218,0.32035375402982,0.2897660315920949,0.42265635085632647,0.44220037132814505,0.5525073126868212,0.6537346756709604,0.3719590803976437,0.3779276462664628,0.36687327212447235,0.44969040917962505,0.49116880367713284,0.44379532290908097,0.10982658959537572,0.10465116279069767,0.09941520467836257,0.09411764705882353,0.08875739644970414,0.08333333333333333,0.09375,0.08333333333333333,0.125,0.08333333333333333,0.125,0.07291666666666666,0.0,0.004010096349500607,Awdal,0.9481061752404356,0.11526697923240119,0.0,0.6356837253736977,0.38848395472021696,0.5689655172413793,0.43020027916946907,0.4011271095223825,0.5402313080553685,0.5359773951441682,0.6146111622975021,0.628653592151284,0.4827185584684137,0.6764875191524662,0.5576780157350512,0.7079131765958712,0.5626989945074652,0.3018025812136277,0.5664739884393063,0.563953488372093,0.5614035087719298,0.5588235294117647,0.5562130177514792,0.5535714285714285,0.041666666666666664,0.0,0.010416666666666666,0.03125,0.03125,0.020833333333333332,0.0010045055026220548,0.016367994768340152,0.1017820177164995,Awdal,7,1.9459101490553132,0.024583341930800518,0.004080930828553878,262.064797,0.00020453270070973622,266.761255947
1536,2016-07,Hiraan,Hiraan,0.477215541263063,0.031117541158453815,0.16666666666666666,2016,0.3969521339574724,0.35104875077404696,0.27011494252873564,0.46265978044738704,0.44591015476202195,0.5800978478487078,0.6221895343059032,0.5219363262451356,0.6213114504666111,0.3454866889152684,0.3443854078956122,0.3848855948806623,0.44783066726995036,0.46551491469281175,0.47052673833209285,0.2658959537572254,0.2616279069767442,0.2573099415204678,0.2529411764705882,0.2485207100591716,0.24404761904761904,0.19791666666666666,0.19791666666666666,0.125,0.10416666666666666,0.0625,0.10416666666666666,0.0,0.003791023347595467,Bakool,0.4164502435271529,0.07710916175104028,0.125,0.40393250294693916,0.42956480230733546,0.5574712643678161,0.4968354645561399,0.49597046827691604,0.6155519709740739,0.6451558789906137,0.5498679274276093,0.6133743411925258,0.26140208626280037,0.3173919942692787,0.3360776671097469,0.36659626830165887,0.36073776296197857,0.4663819705294905,0.5549132947976878,0.5523255813953488,0.5497076023391813,0.5470588235294117,0.5443786982248521,0.5416666666666666,0.125,0.13541666666666666,0.09375,0.0625,0.0625,0.0625,0.0018022010488219218,0.011199083960929931,0.5653475337421344,Bakool,27,3.295836866004329,0.3578491589254157,0.0005430833508411896,190.209429943,0.0007690392713638598,291.044337173
2009,2018-11,Bay,Bay,0.5977216994654788,0.48557677335944627,0.16666666666666666,2018,0.4019895052653325,0.3862854916549716,0.028735632183908046,0.32198428150562736,0.28848780676387514,0.23342236476079364,0.23809144239025948,0.20410613140532016,0.27295776903855473,0.18724608945947147,0.09010170625973354,0.11811760629948484,0.2937733330770023,0.3828040361705288,0.389541244323935,0.023121387283236993,0.01744186046511628,0.011695906432748537,0.0058823529411764705,0.0,0.7083333333333333,0.3020833333333333,0.16666666666666666,0.125,0.10416666666666666,0.21875,0.13541666666666666,0.024817204301075268,0.011474008854598981,Bakool,0.5499657671502254,0.5563762400871308,0.03125,0.22602659590139285,0.4348281659414593,0.017241379310344827,0.22572292594866303,0.21064308324755612,0.1619559130939803,0.13780981154765967,0.10978009057293507,0.16212530363985792,0.2707090207007549,0.20850655508469054,0.16110111622007653,0.32068384278008083,0.3576341512783756,0.3143342760889919,0.011560693641618497,0.005813953488372093,0.0,0.0,0.0,0.0,0.0625,0.020833333333333332,0.08333333333333333,0.07291666666666666,0.05208333333333333,0.03125,0.0919417977694069,0.012025097335589383,0.747026943914157,Bakool,18,2.8903717578961645,0.5874509408238623,0.0005430833508411896,190.209429943,0.0020614012950123314,167.612994088
2012,2018-11,Hiraan,Hiraan,0.5961295088298999,0.19865766254129413,0.11458333333333333,2018,0.21700039113719524,0.3516520882859818,0.0,0.1890013559578092,0.1928379195392101,0.15677189630999777,0.15913354926807377,0.1425520461737305,0.20465941222406886,0.3402247829569108,0.33227742504564767,0.3416895444395781,0.45037018723956934,0.45166254455654553,0.4162868066013025,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.17708333333333331,0.1875,0.14583333333333331,0.15625,0.17708333333333331,0.01889605734767025,0.004176184491570981,Bakool,0.5499657671502254,0.5563762400871308,0.03125,0.22602659590139285,0.4348281659414593,0.017241379310344827,0.22572292594866303,0.21064308324755612,0.1619559130939803,0.13780981154765967,0.10978009057293507,0.16212530363985792,0.2707090207007549,0.20850655508469054,0.16110111622007653,0.32068384278008083,0.3576341512783756,0.3143342760889919,0.011560693641618497,0.005813953488372093,0.0,0.0,0.0,0.0,0.0625,0.020833333333333332,0.08333333333333333,0.07291666666666666,0.05208333333333333,0.03125,0.0919417977694069,0.012025097335589383,0.5653475337421344,Bakool,100,4.605170185988091,0.3578491589254157,0.0005430833508411896,190.209429943,0.0007690392713638598,291.044337173
2043,2019-01,Bay,Bay,0.656116889756241,0.010950595550617758,0.29166666666666663,2019,0.5039970426930112,0.437316892595881,0.040229885057471264,0.45729708921277856,0.3294515900649807,0.2923604310482912,0.3139762709761705,0.25417965542171694,0.25382032279980543,0.438335702380989,0.41409638854656144,0.18724608945947147,0.1885102807538881,0.21540565577671275,0.2759333844627662,0.03468208092485549,0.029069767441860465,0.023391812865497075,0.01764705882352941,0.011834319526627219,0.005952380952380952,0.20833333333333331,0.16666666666666666,0.3020833333333333,0.16666666666666666,0.125,0.10416666666666666,0.01096774193548387,0.011869442120846578,Bakool,0.6064990932985892,0.00912544716647221,0.03125,0.2743727069307303,0.5039722272472797,0.028735632183908046,0.3058183033550127,0.2212334892754829,0.19616233309902648,0.21064308324755612,0.16225733529154493,0.13811991845657112,0.45552150462952523,0.4348281659414593,0.1986714110154501,0.2220834433292359,0.23651620958615283,0.23204137416685622,0.023121387283236993,0.01744186046511628,0.011695906432748537,0.0058823529411764705,0.0,0.0,0.08333333333333333,0.03125,0.0625,0.020833333333333332,0.08333333333333333,0.07291666666666666,0.005052071792599158,0.01243810402291911,0.747026943914157,Bakool,14,2.6390573296152584,0.5874509408238623,0.0005430833508411896,190.209429943,0.0020614012950123314,167.612994088
2045,2019-01,Gedo,Gedo,0.799509879975278,0.015418810304565033,0.08333333333333333,2019,0.5400033406251683,0.417629216563104,0.040229885057471264,0.5014894946852017,0.36939798987159145,0.33509769419372604,0.34014076256071335,0.2825278164360648,0.285447158608708,0.4209092357571646,0.43308436430567676,0.22462060277108756,0.19133944069422168,0.23851524547749586,0.275869905246208,0.03468208092485549,0.029069767441860465,0.023391812865497075,0.01764705882352941,0.011834319526627219,0.005952380952380952,0.13541666666666666,0.14583333333333331,0.16666666666666666,0.14583333333333331,0.14583333333333331,0.13541666666666666,0.0044444444444444444,0.008673691089084909,Bakool,0.6064990932985892,0.00912544716647221,0.03125,0.2743727069307303,0.5039722272472797,0.028735632183908046,0.3058183033550127,0.2212334892754829,0.19616233309902648,0.21064308324755612,0.16225733529154493,0.13811991845657112,0.45552150462952523,0.4348281659414593,0.1986714110154501,0.2220834433292359,0.23651620958615283,0.23204137416685622,0.023121387283236993,0.01744186046511628,0.011695906432748537,0.0058823529411764705,0.0,0.0,0.08333333333333333,0.03125,0.0625,0.020833333333333332,0.08333333333333333,0.07291666666666666,0.005052071792599158,0.01243810402291911,0.36350794739447256,Bakool,19,2.9444389791664403,0.168135217415702,0.0005430833508411896,190.209429943,0.00027788660004488225,225.183784591
2147,2019-07,Gedo,Gedo,0.5659284829533502,0.08387741127683424,0.11458333333333333,2019,0.5390814602148264,0.575013686337029,0.07471264367816091,0.4544387813227759,0.45163766131220495,0.5053597117639541,0.5207162106354977,0.5260830929802254,0.5092733005089705,0.2047655877023122,0.36690786891725596,0.3974133723067277,0.4172876678485697,0.5678415627855282,0.5004815323931495,0.06936416184971098,0.06395348837209303,0.05847953216374269,0.052941176470588235,0.047337278106508875,0.041666666666666664,0.07291666666666666,0.11458333333333333,0.09375,0.10416666666666666,0.09375,0.08333333333333333,0.007412186379928315,0.008673691089084909,Bakool,0.4200587659911674,0.10367473424636402,0.10416666666666666,0.38508684202999155,0.5888286896288464,0.06321839080459771,0.34523170431176686,0.3402613021301323,0.3580556362534034,0.3372795991075649,0.325940412616124,0.26176634217812045,0.2780570890572913,0.3376598746532488,0.32375678404342007,0.3628633011124733,0.5013725472271728,0.45497579632890195,0.057803468208092484,0.05232558139534883,0.04678362573099415,0.041176470588235294,0.03550295857988166,0.02976190476190476,0.05208333333333333,0.020833333333333332,0.0625,0.07291666666666666,0.041666666666666664,0.03125,0.03404978211093877,0.01243810402291911,0.36350794739447256,Bakool,100,4.605170185988091,0.168135217415702,0.0005430833508411896,190.209429943,0.00027788660004488225,225.183784591
2162,2019-08,Bay,Bay,0.48547325886396386,0.014284393717006757,0.11458333333333333,2019,0.5463905107433289,0.5248945949450191,0.08045977011494253,0.5020603747163921,0.43832550226636835,0.4782810586181039,0.5332311442349502,0.5168478095359248,0.5537122170174869,0.6443338033268972,0.1963228424843991,0.313789227860061,0.4358777745908934,0.3807878446508466,0.5379967721655776,0.07514450867052022,0.06976744186046512,0.06432748538011696,0.058823529411764705,0.05325443786982249,0.047619047619047616,0.11458333333333333,0.23958333333333331,0.19791666666666666,0.22916666666666666,0.16666666666666666,0.11458333333333333,0.03126881720430107,0.011869442120846578,Bakool,0.4681723988446955,0.006106632110185421,0.08333333333333333,0.3716940634870501,0.5242657988235796,0.06896551724137931,0.3855975067783861,0.31393467680167597,0.3402613021301323,0.3580556362534034,0.3375179620322952,0.325940412616124,0.5888286896288464,0.2780570890572913,0.2722355093683641,0.40958941573051044,0.3406799523071897,0.4521193261661621,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.10416666666666666,0.05208333333333333,0.020833333333333332,0.0625,0.07291666666666666,0.041666666666666664,0.029455646650417312,0.01243810402291911,0.747026943914157,Bakool,17,2.833213344056216,0.5874509408238623,0.0005430833508411896,190.209429943,0.0020614012950123314,167.612994088
2454,2021-01,Hiraan,Hiraan,0.6233801495031397,0.00754523998603574,0.1875,2021,0.42648027492111606,0.34760011408299296,0.13793103448275862,0.3622128498018355,0.286901795358362,0.30534200289981983,0.30485274799665507,0.31215167685652134,0.29181685435944693,0.33319679962308224,0.3395081180604904,0.32346158136688136,0.4078080791664023,0.4264075399323152,0.4190789948943522,0.1329479768786127,0.12790697674418605,0.12280701754385964,0.11764705882352941,0.11242603550295857,0.10714285714285714,0.3020833333333333,0.26041666666666663,0.13541666666666666,0.19791666666666666,0.125,0.20833333333333331,0.008200716845878135,0.004753926207534252,Bakool,0.6449899995814112,0.0010350220911080035,0.15625,0.4817076715731449,0.2583709596995981,0.16666666666666666,0.4447132185000904,0.3798743636134365,0.3778889361140477,0.35053643646873245,0.3452413490426451,0.2827638936868386,0.2445260285358425,0.2391908708912765,0.10791009307874116,0.14737690580987514,0.21322115201331346,0.20644528680938773,0.16184971098265896,0.1569767441860465,0.15204678362573099,0.14705882352941177,0.14201183431952663,0.1369047619047619,0.1875,0.125,0.05208333333333333,0.020833333333333332,0.010416666666666666,0.03125,0.0035157692591771916,0.013264117397578564,0.5653475337421344,Bakool,120,4.787491742782046,0.3578491589254157,0.0005430833508411896,190.209429943,0.0007690392713638598,291.044337173
2862,2016-01,Hiraan,Hiraan,0.6877917456797022,0.008016685503858279,0.10416666666666666,2016,0.6582296671123373,0.38673342261894084,0.23563218390804597,0.5911891938101548,0.5461257354759146,0.48818970978589155,0.44861150604753164,0.3693801747376452,0.3409826361417835,0.38274690290396207,0.3965802765962956,0.3856393170856911,0.4507611422862108,0.45487656653695435,0.43794116650974324,0.23121387283236994,0.22674418604651161,0.2222222222222222,0.21764705882352942,0.21301775147928995,0.20833333333333331,0.14583333333333331,0.125,0.15625,0.13541666666666666,0.28125,0.1875,0.0,0.003791023347595467,Banadir,0.5886970491427834,0.027987003155141653,0.375,0.4561317770390458,0.4234184677417791,0.06896551724137931,0.42520306351190884,0.3872039322329727,0.3581589104731303,0.32588155813385333,0.2639092956077326,0.2237915920185628,0.4049358020190777,0.41522073620093436,0.34362540245917866,0.41983833541141014,0.3995299788111938,0.3495500468441496,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.34375,0.4375,0.35416666666666663,0.3125,0.34375,0.5104166666666666,0.0,0.8494825111810799,0.5758629080195323,Banadir,8,2.0794415416798357,0.36961839189900614,0.9999999999999999,16.3040864778,0.0007690392713638598,291.044337173
