,time,Previous (Departure) Region,index,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,population_density_origin,conflicts,inv_distance,x,x_dist,Current (Arrival) Region,Displacements,Disp_log,inv_distance_2,population_density_destination,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin,gdp_pp_origin,gdp_pp_destination
0,2016-01,Bakool,1380,2016,1,0.7174077108997305,0.5143530124422098,0.5229885057471264,0.6580983821527571,0.6406633813358348,0.5806360759237539,0.52123814703942,0.43996434432639153,0.3953163097098686,0.5042046489781149,0.5475929054164448,0.5381378812001296,0.4105226082342427,0.41208370108085535,0.4202735052656627,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.011279165372572583,0.0625,0.12253487687626252,0.1371432478722282,0.2584710676590778,Awdal,0.00010243277848911653,0.17725413638918308,0.031743075777432496,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.0005430833508411896,0.4013044271783965,0.036181206386598705,0.1739547798025508
1,2016-01,Banadir,1380,2016,1,0.5048798302887015,0.4234184677417791,0.06896551724137931,0.43962077349874407,0.42355410513933517,0.3962319918943704,0.36586928522631584,0.30732399016251616,0.2695724322632327,0.4049358020190777,0.41522073620093436,0.4026319794301974,0.3941718648487832,0.3995299788111938,0.4080240118185471,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.8494947013528182,0.375,0.0639819709456384,0.12305415382717948,0.19928002969890102,Awdal,0.0004268032437046522,0.2967819908848057,0.013411281141224418,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.9999999999999999,0.0,1.0,0.1739547798025508
3,2016-01,Bay,1380,2016,1,0.5750552369011899,0.48402896338729473,0.5229885057471264,0.5099355844515123,0.49399298884478626,0.46620382595303783,0.4267813485997317,0.36300091729825035,0.3375171903057306,0.48987317599457125,0.5397900935203696,0.5306063034452928,0.4132664933668464,0.410584016921628,0.41832351056859435,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.01068314232210379,0.16666666666666666,0.08110330530683063,0.12623292561010258,0.21513166593741695,Awdal,0.00020486555697823305,0.23364279355835313,0.018172644415591015,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.0020614012950123314,0.34916083247120594,0.14565020743780765,0.1739547798025508
4,2016-01,Galgaduud,1380,2016,1,0.6237590806132962,0.4345837904266191,0.06896551724137931,0.5734572147099415,0.5563105072562342,0.4859439170970997,0.43780966738525573,0.35828450971057846,0.2890114652709104,0.3948263098601268,0.40639507281379594,0.4065137918027011,0.40255696779084443,0.40557341313300876,0.41064153972165046,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.004010096349500607,0.05208333333333333,0.1017820177164995,0.13054452805335848,0.23305419871797342,Awdal,0.00022193768672641912,0.24039333371563568,0.024583341930800518,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.00020453270070973622,0.5779556218562814,0.11818473830204686,0.1739547798025508
6,2016-01,Hiraan,1380,2016,1,0.6486214055163613,0.4417614740393617,0.23563218390804597,0.5828862303142764,0.5608938487212648,0.49384217401280617,0.44527187670325896,0.3693801747376452,0.3166906997812137,0.41473374599679547,0.42648016725805626,0.4171898001883672,0.39750434346839036,0.40128472830816003,0.41116799429008377,0.23121387283236994,0.22674418604651161,0.2222222222222222,0.21764705882352942,0.21301775147928995,0.20833333333333331,0.003791023347595467,0.10416666666666666,0.10697904695279195,0.1313857796033153,0.2357192289085535,Awdal,0.00022193768672641912,0.24039333371563568,0.026308050227727784,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.0007690392713638598,0.6339913238499721,0.20445840200537574,0.1739547798025508
9,2016-01,Middle Juba,1380,2016,1,0.6206983677492315,0.40482271800621256,0.5229885057471264,0.5549137000704727,0.5068192382861585,0.4824033755527048,0.41285633619939693,0.31487883582719634,0.3014506797482512,0.43632861294899583,0.4722850788912928,0.4787053256699698,0.4343578876942387,0.40193517663217093,0.40900974430031445,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.005492726373804558,0.020833333333333332,0.05246137830230205,0.12411512157278896,0.209299664873543,Awdal,0.0001365770379854887,0.20014652017612175,0.010486092026790104,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.0010922933426905147,0.6390049915622525,0.1812624244736411,0.1739547798025508
12,2016-01,Nugaal,1380,2016,1,0.8040158101567471,0.395840393246107,0.06896551724137931,0.7657917316796314,0.7529713933955476,0.6427086217770054,0.5594359095483732,0.4444441169396467,0.3229332118603969,0.37387755081088525,0.4353480423212437,0.4434035527277368,0.4477253604820507,0.4435406782814766,0.3866288566904104,0.06358381502890173,0.05813953488372093,0.05263157894736842,0.047058823529411764,0.04142011834319526,0.03571428571428571,0.0,0.0625,0.08022096401884674,0.1337812879991412,0.2604894366238608,Awdal,8.536064874093044e-05,0.16321245741451348,0.017915170325324498,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.0005812685422721627,0.7941708801593557,0.537630576936714,0.1739547798025508
18,2016-02,Banadir,1381,2016,2,0.4869955590174868,0.40911725423973944,0.07471264367816091,0.4590485134437111,0.42876561074558717,0.42355410513933517,0.3962319918943704,0.36586928522631584,0.30732399016251616,0.4234184677417791,0.4049358020190777,0.41522073620093436,0.4026319794301974,0.3941718648487832,0.3995299788111938,0.06936416184971098,0.06395348837209303,0.05847953216374269,0.052941176470588235,0.047337278106508875,0.041666666666666664,0.8494947013528182,0.3645833333333333,0.0639819709456384,0.1231800939903329,0.20011111469219556,Awdal,0.0006828851899274435,0.338271533206313,0.013411281141224418,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.9999999999999999,0.0,1.0,0.1739547798025508
21,2016-02,Galgaduud,1381,2016,2,0.5569960353297134,0.4259322142371347,0.07471264367816091,0.5671362996196867,0.5592973483594352,0.5563105072562342,0.4859439170970997,0.43780966738525573,0.35828450971057846,0.4345837904266191,0.3948263098601268,0.40639507281379594,0.4065137918027011,0.40255696779084443,0.40557341313300876,0.06936416184971098,0.06395348837209303,0.05847953216374269,0.052941176470588235,0.047337278106508875,0.041666666666666664,0.004010096349500607,0.020833333333333332,0.1017820177164995,0.13065589499071484,0.2336458501334322,Awdal,6.828851899274435e-05,0.14660467616092737,0.024583341930800518,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.00020453270070973622,0.5779556218562814,0.11818473830204686,0.1739547798025508
25,2016-02,Lower Shabelle,1381,2016,2,0.5174944512545101,0.3997868411781433,0.5229885057471264,0.4744356337301865,0.44284898543337764,0.4340598721775286,0.41010324398700854,0.3759018444142105,0.30583974261193814,0.42419111359648276,0.4191306040649981,0.43726176485357987,0.4254236940398601,0.39737641682813246,0.398249398514506,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.07234325948810322,0.4583333333333333,0.06540971750170779,0.12361498159573141,0.20266756254104656,Awdal,0.00010243277848911653,0.17725413638918308,0.01378941039869988,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.01008368285818618,0.29679991262701255,0.05635763251412,0.1739547798025508
