,time,Previous (Departure) Region,index,admin1_origin,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,conflicts_lag1,conflicts_lag2,conflicts_lag3,conflicts_lag4,conflicts_lag5,conflicts_lag6,sum_disp,population_density_origin,inv_distance,x_t,x_p,x_p_dist,Current (Arrival) Region,Displacements,Disp_log,inv_distance_2,admin1_destination,population_density_destination,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin
140,2016-09,Galgaduud,1388,Galgaduud,2016,9,0.43628757569473564,0.34366435402757356,0.11494252873563218,0.32035375402982,0.2897660315920949,0.42265635085632647,0.44220037132814505,0.5525073126868212,0.6537346756709604,0.3719590803976437,0.3779276462664628,0.36687327212447235,0.44969040917962505,0.49116880367713284,0.44379532290908097,0.10982658959537572,0.10465116279069767,0.09941520467836257,0.09411764705882353,0.08875739644970414,0.08333333333333333,0.09375,0.09375,0.08333333333333333,0.125,0.08333333333333333,0.125,0.07291666666666666,0,0.004010096349500607,0.1017820177164995,0.21770307910739203,0.31511361850007635,0.2461881992991151,Awdal,0.0001605265270085882,0.18481718757540272,0.024583341930800518,Awdal,0.016367994768340152,0.004080930828553878,0.5671180608593713,0.00020453270070973622,0.5779556218562814
1536,2016-07,Hiraan,1386,Hiraan,2016,7,0.3969521339574724,0.35104875077404696,0.27011494252873564,0.46265978044738704,0.44591015476202195,0.5800978478487078,0.6221895343059032,0.5219363262451356,0.6213114504666111,0.3454866889152684,0.3443854078956122,0.3848855948806623,0.44783066726995036,0.46551491469281175,0.47052673833209285,0.2658959537572254,0.2616279069767442,0.2573099415204678,0.2529411764705882,0.2485207100591716,0.24404761904761904,0.16666666666666666,0.19791666666666666,0.19791666666666666,0.125,0.10416666666666666,0.0625,0.10416666666666666,0,0.003791023347595467,0.5653475337421344,0.4236183331467576,0.33214910035272255,0.502133522207955,Bakool,0.0006956149503705487,0.3130295099072094,0.3578491589254157,Bakool,0.011199083960929931,0.0005430833508411896,0.4013044271783965,0.0007690392713638598,0.6339913238499721
2009,2018-11,Bay,1414,Bay,2018,11,0.4019895052653325,0.3862854916549716,0.028735632183908046,0.32198428150562736,0.28848780676387514,0.23342236476079364,0.23809144239025948,0.20410613140532016,0.27295776903855473,0.18724608945947147,0.09010170625973354,0.11811760629948484,0.2937733330770023,0.3828040361705288,0.389541244323935,0.023121387283236993,0.01744186046511628,0.011695906432748537,0.0058823529411764705,0.0,0.7083333333333333,0.16666666666666666,0.3020833333333333,0.16666666666666666,0.125,0.10416666666666666,0.21875,0.13541666666666666,1731,0.011474008854598981,0.747026943914157,0.3320094703992117,0.02068066506707561,0.34369325894525293,Bakool,0.00045482515985766645,0.2745195504535895,0.5874509408238623,Bakool,0.012025097335589383,0.0005430833508411896,0.4013044271783965,0.0020614012950123314,0.34916083247120594
2012,2018-11,Hiraan,1414,Hiraan,2018,11,0.21700039113719524,0.3516520882859818,0.0,0.1890013559578092,0.1928379195392101,0.15677189630999777,0.15913354926807377,0.1425520461737305,0.20465941222406886,0.3402247829569108,0.33227742504564767,0.3416895444395781,0.45037018723956934,0.45166254455654553,0.4162868066013025,0.0,0.0,0.0,0.0,0.0,0.0,0.11458333333333333,0.1875,0.17708333333333331,0.1875,0.14583333333333331,0.15625,0.17708333333333331,1318,0.004176184491570981,0.5653475337421344,0.20132590505249057,0.3226557908732053,0.2030879167981229,Bakool,0.0026486876956417047,0.4373863831758143,0.3578491589254157,Bakool,0.012025097335589383,0.0005430833508411896,0.4013044271783965,0.0007690392713638598,0.6339913238499721
2043,2019-01,Bay,1416,Bay,2019,1,0.5039970426930112,0.437316892595881,0.040229885057471264,0.45729708921277856,0.3294515900649807,0.2923604310482912,0.3139762709761705,0.25417965542171694,0.25382032279980543,0.438335702380989,0.41409638854656144,0.18724608945947147,0.1885102807538881,0.21540565577671275,0.2759333844627662,0.03468208092485549,0.029069767441860465,0.023391812865497075,0.01764705882352941,0.011834319526627219,0.005952380952380952,0.29166666666666663,0.20833333333333331,0.16666666666666666,0.3020833333333333,0.16666666666666666,0.125,0.10416666666666666,765,0.011869442120846578,0.747026943914157,0.3906241481991223,0.43449914142437907,0.40547441924190586,Bakool,0.0003478074751852744,0.2506503980908526,0.5874509408238623,Bakool,0.01243810402291911,0.0005430833508411896,0.4013044271783965,0.0020614012950123314,0.34916083247120594
2045,2019-01,Gedo,1416,Gedo,2019,1,0.5400033406251683,0.417629216563104,0.040229885057471264,0.5014894946852017,0.36939798987159145,0.33509769419372604,0.34014076256071335,0.2825278164360648,0.285447158608708,0.4209092357571646,0.43308436430567676,0.22462060277108756,0.19133944069422168,0.23851524547749586,0.275869905246208,0.03468208092485549,0.029069767441860465,0.023391812865497075,0.01764705882352941,0.011834319526627219,0.005952380952380952,0.08333333333333333,0.13541666666666666,0.14583333333333331,0.16666666666666666,0.14583333333333331,0.14583333333333331,0.13541666666666666,310,0.008673691089084909,0.36350794739447256,0.2809143540000576,0.3545487617579338,0.35173093530289057,Bakool,0.0004815795810257645,0.2796547062469032,0.168135217415702,Bakool,0.01243810402291911,0.0005430833508411896,0.4013044271783965,0.00027788660004488225,0.4820113397912244
2147,2019-07,Gedo,1422,Gedo,2019,7,0.5390814602148264,0.575013686337029,0.07471264367816091,0.4544387813227759,0.45163766131220495,0.5053597117639541,0.5207162106354977,0.5260830929802254,0.5092733005089705,0.2047655877023122,0.36690786891725596,0.3974133723067277,0.4172876678485697,0.5678415627855282,0.5004815323931495,0.06936416184971098,0.06395348837209303,0.05847953216374269,0.052941176470588235,0.047337278106508875,0.041666666666666664,0.11458333333333333,0.07291666666666666,0.11458333333333333,0.09375,0.10416666666666666,0.09375,0.08333333333333333,517,0.008673691089084909,0.36350794739447256,0.31560690173367534,0.32963012583096724,0.41907690644628215,Bakool,0.0026486876956417047,0.4373863831758143,0.168135217415702,Bakool,0.01243810402291911,0.0005430833508411896,0.4013044271783965,0.00027788660004488225,0.4820113397912244
2162,2019-08,Bay,1423,Bay,2019,8,0.5463905107433289,0.5248945949450191,0.08045977011494253,0.5020603747163921,0.43832550226636835,0.4782810586181039,0.5332311442349502,0.5168478095359248,0.5537122170174869,0.6443338033268972,0.1963228424843991,0.313789227860061,0.4358777745908934,0.3807878446508466,0.5379967721655776,0.07514450867052022,0.06976744186046512,0.06432748538011696,0.058823529411764705,0.05325443786982249,0.047619047619047616,0.11458333333333333,0.11458333333333333,0.23958333333333331,0.19791666666666666,0.22916666666666666,0.16666666666666666,0.11458333333333333,2181,0.011869442120846578,0.747026943914157,0.546410766773678,0.1563503879130784,0.5696769435154906,Bakool,0.00042807073868956846,0.2690908017021126,0.5874509408238623,Bakool,0.01243810402291911,0.0005430833508411896,0.4013044271783965,0.0020614012950123314,0.34916083247120594
2454,2021-01,Hiraan,1440,Hiraan,2021,1,0.42648027492111606,0.34760011408299296,0.13793103448275862,0.3622128498018355,0.286901795358362,0.30534200289981983,0.30485274799665507,0.31215167685652134,0.29181685435944693,0.33319679962308224,0.3395081180604904,0.32346158136688136,0.4078080791664023,0.4264075399323152,0.4190789948943522,0.1329479768786127,0.12790697674418605,0.12280701754385964,0.11764705882352941,0.11242603550295857,0.10714285714285714,0.1875,0.3020833333333333,0.26041666666666663,0.13541666666666666,0.19791666666666666,0.125,0.20833333333333331,572,0.004753926207534252,0.5653475337421344,0.2839493004375569,0.32832504291889075,0.3142395358873037,Bakool,0.003183776119003665,0.4547027825878768,0.3578491589254157,Bakool,0.013264117397578564,0.0005430833508411896,0.4013044271783965,0.0007690392713638598,0.6339913238499721
2862,2016-01,Hiraan,1380,Hiraan,2016,1,0.6582296671123373,0.38673342261894084,0.23563218390804597,0.5911891938101548,0.5461257354759146,0.48818970978589155,0.44861150604753164,0.3693801747376452,0.3409826361417835,0.38274690290396207,0.3965802765962956,0.3856393170856911,0.4507611422862108,0.45487656653695435,0.43794116650974324,0.23121387283236994,0.22674418604651161,0.2222222222222222,0.21764705882352942,0.21301775147928995,0.20833333333333331,0.10416666666666666,0.14583333333333331,0.125,0.15625,0.13541666666666666,0.28125,0.1875,0,0.003791023347595467,0.5758629080195323,0.521334059391062,0.375074575740713,0.627019760826972,Banadir,0.0001872809481766862,0.1974996315463497,0.36961839189900614,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.0007690392713638598,0.6339913238499721
2864,2016-01,Lower Shabelle,1380,Lower Shabelle,2016,1,0.5295328557410661,0.367431073692712,0.5172413793103449,0.46052859965687937,0.4150260511448899,0.3991731000826665,0.37872118445307956,0.30583974261193814,0.2977552154292496,0.3879249379306975,0.40927740921413547,0.39533610286046605,0.45061607630280964,0.4514358664618088,0.4339681024114245,0.5144508670520231,0.5116279069767442,0.5087719298245614,0.5058823529411764,0.5029585798816568,0.5,0.3020833333333333,0.4895833333333333,0.34375,0.3020833333333333,0.25,0.32291666666666663,0.41666666666666663,0,0.07234325948810322,0.852509851996805,0.5937461613289277,0.4597030241958369,0.5745390501465908,Banadir,0.015035984696471093,0.6015174593593725,0.7463355370761058,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
2881,2016-02,Lower Shabelle,1381,Lower Shabelle,2016,2,0.5251602822305339,0.3406211637286596,0.5229885057471264,0.4811937651512731,0.42411076176258555,0.42463960438101167,0.4131791014562489,0.3759018444142105,0.3292148801459367,0.39388453344201413,0.3879249379306975,0.40927740921413547,0.48242106893173087,0.45044629749958726,0.4241813773671261,0.5202312138728323,0.5174418604651163,0.5146198830409356,0.5117647058823529,0.5088757396449703,0.5059523809523809,0.4583333333333333,0.3020833333333333,0.4895833333333333,0.34375,0.3020833333333333,0.25,0.32291666666666663,0,0.07234325948810322,0.852509851996805,0.6102188393306591,0.42514356555400934,0.5899628184612602,Banadir,0.1003825882227038,0.7816922561948988,0.7463355370761058,Banadir,0.8494825111810799,0.9999999999999999,0.0,0.01008368285818618,0.29679991262701255
