,time,Previous (Departure) Region,index,admin1_origin,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,population_density_origin,conflicts,inv_distance,x,x_dist,Current (Arrival) Region,Displacements,Disp_log,inv_distance_2,admin1_destination,population_density_destination,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin
84,2022-05,Woqooyi Galbeed,1456,Woqooyi Galbeed,2022,5,1.0,0.1931064831872672,0.05747126436781609,0.9773922849225921,1.0,0.9467605973789989,0.5971432049419284,0.4836660427711811,0.6446867897961246,0.23963389014432948,0.08701765074657113,0.03753008897935281,0.11580752804573524,0.10376218469406245,0.11569229841609462,0.05202312138728323,0.046511627906976744,0.04093567251461988,0.03529411764705882,0.029585798816568046,0.023809523809523808,0.012616484104836836,0.04597701149425287,0.6875133572000438,0.10393725284215241,0.9999999999999999,Awdal,0.00014757243346942792,0.11546822266657208,0.5060998381640142,Awdal,0.01936174038844795,0.004080930828553878,0.5671180608593713,0.012601198631727283,0.45776970719937354
134,2022-08,Togdheer,1459,Togdheer,2022,8,0.513713276095478,0.2507920641597406,0.07471264367816091,0.6748682476525015,0.7496941257535656,0.9606387970431416,0.8660423418267222,0.9994200058799939,0.9412414637013993,0.2843245269099009,0.21938907948835884,0.16503775708966223,0.2269989003928601,0.18379662907010444,0.1789532128772034,0.06936416184971098,0.06395348837209303,0.05847953216374269,0.052941176470588235,0.047337278106508875,0.041666666666666664,0.006146305372822935,0.04597701149425287,0.29629193897080275,0.17256653583372064,0.39323059293686585,Awdal,0.005829111122042403,0.4605672377803077,0.12022840639004717,Awdal,0.01936174038844795,0.004080930828553878,0.5671180608593713,0.003468867097691794,0.3605059599513998
151,2022-09,Togdheer,1460,Togdheer,2022,9,0.1482547011701062,0.2563432244042294,0.08045977011494253,0.533315416312053,0.6619707396043439,0.7790095726357734,0.9030565266368872,0.9207301210508436,0.9700255053814526,0.2507920641597406,0.22143852117177867,0.1925089092458352,0.21408562423608588,0.2269989003928601,0.18379662907010444,0.07514450867052022,0.06976744186046512,0.06432748538011696,0.058823529411764705,0.05325443786982249,0.047619047619047616,0.006146305372822935,0.0,0.29629193897080275,0.1729501332789661,0.34902906021794516,Awdal,0.0008116483840818534,0.2611728972112811,0.12022840639004717,Awdal,0.01936174038844795,0.004080930828553878,0.5671180608593713,0.003468867097691794,0.3605059599513998
167,2022-10,Sool,1461,Sool,2022,10,0.10825712523338898,0.3109873252679965,0.08620689655172414,0.07317920673097289,0.530019463651622,0.5829311845031977,0.5777680838974196,0.6873983942925407,0.6978510700935461,0.30704403817638787,0.24053572152447783,0.16881070676735482,0.21428826447941518,0.24078764247832163,0.25981319288783267,0.08092485549132948,0.0755813953488372,0.07017543859649122,0.06470588235294117,0.05917159763313609,0.05357142857142857,0.0003099956643542114,0.022988505747126436,0.13810884333611245,0.16727731849230296,0.18464326388523988,Awdal,7.378621673471394e-05,0.07285233727235452,0.03759382362335483,Awdal,0.01936174038844795,0.004080930828553878,0.5671180608593713,0.000223248005432368,0.6728089072769653
168,2022-10,Togdheer,1461,Togdheer,2022,10,0.33921431640018884,0.23213590394730366,0.08620689655172414,0.15391176625939293,0.5231231456014105,0.6860183576989165,0.732314456845484,0.9600816321894067,0.9168068246746495,0.2563432244042294,0.18495957957162362,0.19462892301568746,0.23994304902583485,0.21408562423608588,0.2269989003928601,0.08092485549132948,0.0755813953488372,0.07017543859649122,0.06470588235294117,0.05917159763313609,0.05357142857142857,0.006146305372822935,0.022988505747126436,0.29629193897080275,0.16612230845414458,0.27906736883015165,Awdal,0.004869890304491121,0.4419287756274136,0.12022840639004717,Awdal,0.01936174038844795,0.004080930828553878,0.5671180608593713,0.003468867097691794,0.3605059599513998
409,2022-01,Bakool,1452,Bakool,2022,1,0.5612313059349372,0.4600174946513127,0.04597701149425287,0.48658660325137093,0.4284777078452071,0.35553037528916337,0.3799143526354284,0.3659380302865327,0.3909042691055308,0.44342039133071887,0.33997801667404504,0.21862532118398087,0.044214774261236905,0.0763255449725653,0.14864787886625477,0.04046242774566474,0.03488372093023256,0.029239766081871343,0.023529411764705882,0.01775147928994083,0.011904761904761904,0.013277526312589721,0.10344827586206896,0.3896341285028818,0.21283339657861516,0.27685163230624804,Banadir,0.07489300998573466,0.7276990257079285,0.18881536820202224,Banadir,0.9999999999999999,0.9999999999999999,0.0,0.0005430833508411896,0.4013044271783965
411,2022-01,Bay,1452,Bay,2022,1,0.6171619865274178,0.4409839629197879,0.2471264367816092,0.5879451807334785,0.5880430509559427,0.5053466028004583,0.4840221887726753,0.530287341994234,0.5601548361623689,0.42131103399909187,0.31017862959733156,0.1631489989024605,0.018914348827394623,0.054606599503127656,0.13353107140274803,0.24277456647398843,0.23837209302325582,0.23391812865497075,0.22941176470588234,0.22485207100591714,0.22023809523809523,0.012575922497497222,0.11494252873563218,0.4483269914522412,0.2151060736161462,0.41731666378144583,Banadir,0.8429829307885287,0.9820488307911016,0.23947738000022875,Banadir,0.9999999999999999,0.9999999999999999,0.0,0.0020614012950123314,0.34916083247120594
412,2022-01,Galgaduud,1452,Galgaduud,2022,1,0.31233442904656417,0.32218722228140406,0.034482758620689655,0.17943536799530585,0.14828024059783965,0.05811402541778462,0.21567167039417665,0.1523048936577196,0.1516942814318634,0.27452652935892813,0.2258666591770156,0.19936969840492375,0.24137650638058514,0.24520673985962185,0.25164216498218783,0.028901734104046242,0.023255813953488372,0.017543859649122806,0.011764705882352941,0.005917159763313609,0.0,0.0047205688425934565,0.1954022988505747,0.3037347741217342,0.17422431275704145,0.09111434154595,Banadir,0.0003689310836735698,0.1883205599389266,0.12515746634615166,Banadir,0.9999999999999999,0.9999999999999999,0.0,0.00020453270070973622,0.5779556218562814
414,2022-01,Hiraan,1452,Hiraan,2022,1,0.3936644133395196,0.342654765642494,0.034482758620689655,0.298430582223106,0.25035077272512113,0.17257093957381953,0.252487132932025,0.2266553337504425,0.2814981523223636,0.3025186762289765,0.24146290595369285,0.1923561961631327,0.20438565030478753,0.21531948078707802,0.23577982175563303,0.028901734104046242,0.023255813953488372,0.017543859649122806,0.011764705882352941,0.005917159763313609,0.0,0.004462744917432207,0.24137931034482757,0.5758629080195323,0.20494598840349446,0.2132213997295604,Banadir,0.007058881400954301,0.4804572732163943,0.36961839189900614,Banadir,0.9999999999999999,0.9999999999999999,0.0,0.0007690392713638598,0.6339913238499721
415,2022-01,Lower Juba,1452,Lower Juba,2022,1,0.6761192901816484,0.47055913432145974,0.9367816091954023,0.740472959442399,0.8096344165526023,0.7121849124096462,0.6497488707013083,0.6862695597014605,0.7460117506295454,0.4541909976947208,0.5508225424549968,0.30942632972844647,0.24709041268349097,0.19220150003469955,0.21846862688047577,0.9364161849710982,0.936046511627907,0.935672514619883,0.9352941176470588,0.9349112426035503,0.9345238095238094,0.017451231168640724,0.3333333333333333,0.16716107047263248,0.19450122344486798,0.2966745029885248,Banadir,0.0031728073195926997,0.39773235359632064,0.04960279398014261,Banadir,0.9999999999999999,0.9999999999999999,0.0,0.0005913348629416188,0.5005026907222359
