,time,Previous (Departure) Region,index,admin1_x,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,spei,conflicts,conflicts_pro_capite,inv_distance,x,x_dist,Current (Arrival) Region,Displacements,Disp_log,inv_distance_2,admin1_y,population_density_destination,admin1,population_density_origin,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin
84,2022-05,Woqooyi Galbeed,1456,Woqooyi Galbeed,2022,5,1.0,0.19310648318726722,0.057471264367816,0.977392284922592,0.9999999999999998,0.9467605973789985,0.5971432049419281,0.48366604277118097,0.6446867897961245,0.23963389014432954,0.08701765074657114,0.03753008897935273,0.11580752804573524,0.10376218469406251,0.11569229841609463,0.0520231213872832,0.0465116279069767,0.0409356725146198,0.0352941176470588,0.029585798816568,0.0238095238095238,,0.045977011494252804,0.018424540656756465,0.6875133572000438,0.7058567088854002,0.9766526902502894,Awdal,0.00014757243346942792,0.11546822266657208,0.5060998381640142,Awdal,0.01936174038844795,Woqooyi Galbeed,0.012616484104836836,0.004080930828553878,0.5671180608593713,0.012601198631727283,0.45776970719937354
134,2022-08,Togdheer,1459,Togdheer,2022,8,0.5137132760954781,0.25079206415974065,0.0747126436781609,0.6748682476525016,0.7496941257535654,0.9606387970431411,0.8660423418267222,0.999420005879994,0.9412414637013992,0.28432452690990095,0.2193890794883589,0.16503775708966212,0.22699890039286014,0.1837966290701044,0.17895321287720334,0.0693641618497109,0.063953488372093,0.0584795321637426,0.0529411764705882,0.0473372781065088,0.0416666666666666,,0.045977011494252804,0.03639824186421834,0.29629193897080275,0.1404147312797895,0.3624716564036302,Awdal,0.005829111122042403,0.4605672377803077,0.12022840639004717,Awdal,0.01936174038844795,Togdheer,0.006146305372822935,0.004080930828553878,0.5671180608593713,0.003468867097691794,0.3605059599513998
151,2022-09,Togdheer,1460,Togdheer,2022,9,0.14825470117010608,0.2563432244042294,0.0804597701149425,0.5333154163120529,0.6619707396043437,0.7790095726357731,0.9030565266368868,0.9207301210508438,0.9700255053814527,0.25079206415974065,0.2214385211717787,0.19250890924583514,0.21408562423608585,0.22699890039286014,0.1837966290701044,0.0751445086705202,0.0697674418604651,0.0643274853801169,0.0588235294117647,0.0532544378698224,0.0476190476190476,,0.0,0.0,0.29629193897080275,0.129645550660689,0.3307545500388763,Awdal,0.0008116483840818534,0.2611728972112811,0.12022840639004717,Awdal,0.01936174038844795,Togdheer,0.006146305372822935,0.004080930828553878,0.5671180608593713,0.003468867097691794,0.3605059599513998
167,2022-10,Sool,1461,Sool,2022,10,0.10825712523338904,0.31098732526799655,0.0862068965517241,0.07317920673097278,0.5300194636516218,0.5829311845031975,0.5777680838974193,0.6873983942925406,0.697851070093546,0.3070440381763879,0.24053572152447783,0.16881070676735482,0.21428826447941524,0.24078764247832152,0.25981319288783267,0.0809248554913294,0.0755813953488372,0.0701754385964912,0.0647058823529411,0.059171597633136,0.0535714285714285,,0.022988505747126402,0.15160872733444217,0.13810884333611245,0.03636217052569481,0.14050818358526407,Awdal,7.378621673471394e-05,0.07285233727235452,0.03759382362335483,Awdal,0.01936174038844795,Sool,0.0003099956643542114,0.004080930828553878,0.5671180608593713,0.000223248005432368,0.6728089072769653
168,2022-10,Togdheer,1461,Togdheer,2022,10,0.33921431640018884,0.23213590394730368,0.0862068965517241,0.15391176625939285,0.5231231456014103,0.6860183576989161,0.7323144568454838,0.9600816321894066,0.9168068246746495,0.2563432244042294,0.18495957957162373,0.1946289230156874,0.23994304902583485,0.21408562423608585,0.22699890039286014,0.0809248554913294,0.0755813953488372,0.0701754385964912,0.0647058823529411,0.059171597633136,0.0535714285714285,,0.022988505747126402,0.01819912093210917,0.29629193897080275,0.11260021208014688,0.28055306898808735,Awdal,0.004869890304491121,0.4419287756274136,0.12022840639004717,Awdal,0.01936174038844795,Togdheer,0.006146305372822935,0.004080930828553878,0.5671180608593713,0.003468867097691794,0.3605059599513998
409,2022-01,Bakool,1452,Bakool,2022,1,0.5612313059349372,0.4600174946513128,0.0459770114942528,0.4865866032513707,0.42847770784520706,0.35553037528916326,0.37991435263542844,0.3659380302865326,0.39090426910553067,0.443420391330719,0.3399780166740451,0.21862532118398087,0.04421477426123693,0.07632554497256527,0.1486478788662548,0.0404624277456647,0.0348837209302325,0.0292397660818713,0.0235294117647058,0.0177514792899408,0.0119047619047619,,0.10344827586206896,0.039464206665124624,0.3896341285028818,0.15825054336186542,0.321620863842628,Banadir,0.07489300998573466,0.7276990257079285,0.18881536820202224,Banadir,0.9999999999999999,Bakool,0.013277526312589721,0.9999999999999999,0.0,0.0005430833508411896,0.4013044271783965
411,2022-01,Bay,1452,Bay,2022,1,0.6171619865274179,0.4409839629197879,0.2471264367816092,0.5879451807334783,0.5880430509559424,0.5053466028004581,0.48402218877267517,0.530287341994234,0.5601548361623689,0.42131103399909176,0.3101786295973316,0.16314899890246054,0.018914348827394623,0.054606599503127684,0.13353107140274806,0.2427745664739884,0.2383720930232558,0.2339181286549707,0.2294117647058823,0.2248520710059171,0.2202380952380952,,0.11494252873563211,0.04620438561081965,0.4483269914522412,0.2384775840511296,0.4492353360047795,Banadir,0.8429829307885287,0.9820488307911016,0.23947738000022875,Banadir,0.9999999999999999,Bay,0.012575922497497222,0.9999999999999999,0.0,0.0020614012950123314,0.34916083247120594
412,2022-01,Galgaduud,1452,Galgaduud,2022,1,0.31233442904656405,0.3221872222814042,0.0344827586206896,0.17943536799530568,0.14828024059783979,0.0581140254177846,0.21567167039417662,0.1523048936577197,0.15169428143186342,0.2745265293589282,0.2258666591770156,0.19936969840492375,0.24137650638058517,0.24520673985962183,0.25164216498218783,0.0289017341040462,0.0232558139534883,0.0175438596491228,0.0117647058823529,0.0059171597633136,0.0,,0.19540229885057467,0.19705127395078162,0.3037347741217342,0.06936820690564814,0.14908751526779834,Banadir,0.0003689310836735698,0.1883205599389266,0.12515746634615166,Banadir,0.9999999999999999,Galgaduud,0.0047205688425934565,0.9999999999999999,0.0,0.00020453270070973622,0.5779556218562814
414,2022-01,Hiraan,1452,Hiraan,2022,1,0.3936644133395196,0.34265476564249386,0.0344827586206896,0.2984305822231058,0.250350772725121,0.17257093957381936,0.2524871329320248,0.22665533375044267,0.28149815232236364,0.30251867622897655,0.24146290595369296,0.19235619616313265,0.20438565030478745,0.21531948078707802,0.23577982175563306,0.0289017341040462,0.0232558139534883,0.0175438596491228,0.0117647058823529,0.0059171597633136,0.0,,0.24137931034482757,0.2560975609756098,0.5758629080195323,0.24454360129024122,0.3610697758601901,Banadir,0.007058881400954301,0.4804572732163943,0.36961839189900614,Banadir,0.9999999999999999,Hiraan,0.004462744917432207,0.9999999999999999,0.0,0.0007690392713638598,0.6339913238499721
415,2022-01,Lower Juba,1452,Lower Juba,2022,1,0.6761192901816485,0.4705591343214597,0.9367816091954024,0.7404729594423989,0.8096344165526019,0.712184912409646,0.6497488707013079,0.6862695597014608,0.7460117506295455,0.4541909976947208,0.5508225424549968,0.30942632972844647,0.24709041268349108,0.1922015000346995,0.2184686268804758,0.9364161849710982,0.936046511627907,0.935672514619883,0.9352941176470588,0.9349112426035504,0.9345238095238094,,0.3333333333333333,0.09757406566377734,0.16716107047263248,0.0628609841132449,0.23417392163312672,Banadir,0.0031728073195926997,0.39773235359632064,0.04960279398014261,Banadir,0.9999999999999999,Lower Juba,0.017451231168640724,0.9999999999999999,0.0,0.0005913348629416188,0.5005026907222359
