ADM2_EN,Borama,Baki,Lughaye,Zeylac,Hargeysa,Berbera,Gebiley,Burco,Buuhoodle,Owdweyne,Sheikh,Laas Caanood,Caynabo,Taleex,Xudun,Ceerigaabo,Ceel Afweyn,Laasqoray,Bossaso,Bandarbeyla,Caluula,Iskushuban,Qandala,Qardho,Garoowe,Burtinle,Eyl,Gaalkacyo,Galdogob,Hobyo,Jariiban,Xarardheere,Dhuusamarreeb,Cabudwaaq,Cadaado,Ceel Buur,Ceel Dheer,Belet Weyne,Bulo Burto,Jalalaqsi,Jowhar,Adan Yabaal,Balcad,Cadale,Banadir,Marka,Afgooye,Baraawe,Kurtunwaarey,Qoryooley,Sablaale,Wanla Weyn,Baidoa,Buur Hakaba,Diinsoor,Qansax Dheere,Xudur,Ceel Barde,Tayeeglow,Waajid,Rab Dhuure,Garbahaarey,Baardheere,Belet Xaawo,Ceel Waaq,Doolow,Luuq,Bu'aale,Jilib,Saakow,Kismayo,Afmadow,Badhaadhe,Jamaame
Borama,0.0,63.02805499140811,58.71005928865832,57.29081946307159,134.57449390798203,235.58954904174198,62.658914008694126,299.52334353211825,411.2386409829987,217.7347141816942,251.65180605391924,515.014258979291,375.9694865401071,602.28933133378,489.14323903176324,515.711593291948,391.22761582854787,614.9904392849396,694.98776232893,799.3439783092753,855.006991321366,816.032440440118,772.1980206659586,706.6392187271141,638.3804256287582,610.0853192824522,728.9888743634006,562.5117010673479,513.3041708280651,648.3396515693588,688.9042361320961,667.4336806963336,540.3930931675767,475.72470927160225,534.5566434614562,590.246110220178,646.1572661794239,499.7913125203368,564.4976599209268,603.344405576032,630.6538755752758,643.619358262927,670.848690379661,657.4718979282703,689.2703632313157,697.524051707608,668.2127442786261,735.8027512110868,692.1932770419768,677.0393763579464,712.6949805441661,621.659449314205,561.405022507503,627.0404632192715,657.5705801977113,600.4343679682911,490.3078274973508,453.4674242688089,531.1206501815522,516.2805188096241,481.82578301953765,576.8413727714149,682.878398303809,576.4013001617026,646.3018613661017,518.4727376886941,523.0924617657427,732.8013757904316,774.313713740354,710.7846448104999,873.8237924647302,801.4636963274436,927.8287866924993,819.1411116423221
Baki,63.02805499140811,0.0,33.750771096187755,79.61826881082493,86.3199309785258,172.76350622728995,34.75028123083261,242.71667398506477,355.60619313336457,163.97292596198312,190.07154911489047,457.16433847271827,316.55449318986985,541.4331611366562,429.06496757477294,453.1232594155612,328.866511317772,552.2090622570468,632.0428649512821,737.8301468608828,791.9793117692208,753.3057968305349,709.2390044929554,644.9324318504898,578.9849313922638,553.0966186062426,669.7809854356525,510.7139449786908,462.9465778325408,598.518458250937,632.8088377636614,623.8927274233475,501.5435577462219,440.0630100669622,489.7844927589333,553.2701442040102,610.4757939840318,477.53857615483844,543.2998978801586,582.7798844046088,611.653890940892,613.7686774247221,652.1736412845646,631.5635666446809,674.1956962601992,689.3821098163369,655.8420588873772,736.5733305643565,690.6473281178947,671.4249755533211,716.6112150200851,610.0915900926208,564.370076049148,625.8258413347852,668.2093326763395,612.5780174138987,489.4399809841178,450.7962650710198,522.1991906438611,522.0374648574713,490.9183191938447,595.0330707204629,705.1245945917997,601.85217928318,672.350439427769,541.1110671031566,538.4391920460965,744.0310144570007,782.1713773688662,728.8511894309073,889.1451412471755,820.0178230134555,946.5797038667472,828.7492949196296
Lughaye,58.71005928865832,33.750771096187755,0.0,49.750583466980935,119.25393921023597,191.1329502196327,64.4382214401634,270.0341154786778,383.21945268401095,193.89834744842244,212.19569582038955,482.75139260617,341.0018029348347,563.2662418927337,452.2861476531204,471.03289281438293,347.9954339630596,569.0278764031341,647.6094023152625,758.222668367882,805.8908397341161,770.1655828947935,724.5803192569939,665.0241737445972,602.7533303234889,579.2399176241081,693.6442892535242,540.1302631539722,493.07443810383955,628.6773096437684,659.5313715632768,655.9670396075974,534.5748221716784,473.5001472585138,521.6845739317215,586.5088700970722,643.8283512806593,511.1249668874273,576.8478682193005,616.3002941316282,645.0714634224979,647.4844231199311,685.5786408908959,665.3056310361859,707.2697301037966,721.5223361629052,688.5842797718178,767.0063288321489,721.5567627306694,703.1199283269066,746.2798927061035,642.7007068437614,594.1343623017405,656.6147880829446,695.988279056839,639.8395065690595,520.0024647819054,481.6886529780479,554.3440765541408,551.0308161436914,518.9317760732041,620.2460916240756,728.9277121308342,624.2465363447764,694.5648904679902,564.5738370781643,564.5654383100166,771.6946484049894,810.8437820109556,754.2426199857933,915.5940340800728,845.299659469426,971.8604491278892,856.9521070298551
Zeylac,57.29081946307159,79.61826881082493,49.750583466980935,0.0,165.66846962821367,239.17189085487095,101.10183869002564,319.76005688785034,432.9391849306174,242.96886293652736,261.3651030205717,532.4123670068334,390.52792312563065,611.9137007942462,501.46112263591846,517.9450720653122,395.7519417636772,615.1730761600843,692.8653080705419,806.1527082979139,849.8247802224628,816.1356822861252,769.6013877375891,712.8598006617806,652.0202510347887,628.9503646660428,742.9146120461642,589.5115927045254,542.1551738407927,677.7559168159166,709.2751877998207,703.4258627371062,580.280477186851,517.8659056983357,569.3716320142842,631.5771731307144,688.4553536713555,549.5147551047102,614.7920216133971,653.962810716619,681.9524151134223,689.6385834867865,722.3198784849575,705.6534949174796,742.096551650749,752.4232088445303,721.9037937226739,792.4348841401298,748.4593425194287,732.5162995522918,769.6717887770192,675.5478532778968,618.2158923674913,683.3197350228355,714.8608861355889,657.7187837628916,546.5221108970356,509.3101608872403,585.6468534569917,573.3329096523665,539.0607735692346,633.7943788759452,739.2078075168725,632.2064181700648,701.8868455486619,574.8895373537675,580.2874319608871,790.0895262873004,831.5569776684033,767.6840452227932,930.9258076542335,858.2712211644359,984.5691305403402,876.4282056614833
Hargeysa,134.57449390798203,86.3199309785258,119.25393921023597,165.66846962821367,0.0,129.81073070814364,71.9671071727758,167.01309296339346,277.28040312685624,83.84363082716584,132.9775801758841,382.40830983435694,246.3706610805965,474.47045908510324,360.0018550353031,396.62617372290663,272.1464920482486,497.023511237067,579.0711110217862,672.9101544421227,741.7881246993787,696.396654199607,656.1882921933768,581.2104617520623,507.406152386681,476.5866700015003,597.5543092802003,428.1005175224362,379.26687063769793,514.5849667282223,554.8425415025006,537.7844790551753,415.3344075860674,354.49142225054453,403.8336782385781,467.27821459406704,524.6761049416003,397.9831580111912,463.972049186499,503.6326801323809,533.3675436754031,529.712038170527,573.9060655122327,549.2065239976937,598.3008767256931,618.8390259037593,582.0753661608566,673.8649370269476,626.0370258439638,603.2009776743303,657.2341714976915,537.2652879695452,505.6095300494397,562.1012344322019,616.6456443301771,563.4457033994418,427.83577849251947,388.06585791224995,452.42363062537004,466.95787615556327,440.24078967578913,553.6047998151662,667.5303935554242,570.0257329645927,640.346889561609,506.49659593696657,494.38034863559096,692.4063027000343,726.4712762413033,685.5913246880865,841.2310809639524,776.5598934851259,902.5097820253516,774.6449530060486
Berbera,235.58954904174198,172.76350622728995,191.1329502196327,239.17189085487095,129.81073070814364,0.0,182.76210500998675,108.48198886846114,211.92798848992692,91.64123723998168,32.82041570041287,299.9679342159688,157.75714567607312,372.945125882456,264.12987557996826,280.50769286237966,156.87757766650645,379.44555876647274,459.4662959208201,567.1185731251791,620.1076621415357,580.5499600986018,536.7034608016615,473.89705923013446,414.7422136000739,397.0874167791651,505.50482246374975,374.0737417660577,333.7137803798319,465.87010378044596,478.603116178201,511.2491429582858,410.4868257274982,364.71527623265615,379.1664623501982,465.20836805442605,523.6661167841384,441.12130784311597,504.8590776936319,543.6780428173172,575.4915616296078,545.0002997903364,614.8944201554964,573.9087619862153,646.261061602213,680.289460728273,636.4374655405791,749.9378386178523,699.573640884627,670.1040803193744,739.1386118293498,595.2994733130892,591.681121588642,638.6501331728324,710.2634417619109,660.9358065220795,511.92094250163694,471.9132544713307,520.4320645964846,559.2664815561249,538.7457903794012,659.3494678368905,775.2879908552991,683.5777405552761,752.993836459698,618.8180592496644,598.6541748578759,784.8050754929986,812.8673416798412,787.7124821734064,936.5625712627561,877.509672189946,1001.7366766498949,862.6899577300734
Gebiley,62.658914008694126,34.75028123083261,64.4382214401634,101.10183869002564,71.9671071727758,182.76210500998675,0.0,237.8760843664398,349.01190465756446,155.44802995268927,194.6753868095302,453.46857743693454,315.623360910435,542.971874350501,429.14020181007743,460.08069388860997,335.19391339311125,560.0431530582835,641.0711487235477,740.778151405887,802.4962906343471,760.5801590397633,718.3388767500898,648.4771765431257,577.6427063022069,548.1231317695448,668.0605604210923,499.8590562978232,450.72459353832687,585.8443702408384,626.6468795511582,606.3397871125762,480.88271616674695,417.50363408153896,473.0204906467744,531.5790315142599,588.1268162156739,449.08283711559227,514.5708311281837,553.882332679941,582.2712391079052,588.5509921197668,622.7260033049932,604.6878361330232,643.6876443255959,657.167152941012,624.5940099886066,702.8285935078375,657.2154892419858,638.6845319219676,682.4794350998861,578.6020115211514,530.2684656629718,592.3050991476543,633.5598647671109,577.8664153367666,455.75879423811614,417.33881262177135,490.00106646585056,487.6443446823907,456.2930876006184,560.3354943012633,670.6049109890046,567.6561911150948,638.183335195221,506.683217402391,503.69191616334695,709.3687913345839,747.7066930537994,694.1329587761786,854.3968359084333,785.3046507398446,911.86349850577,794.1793904871278
Burco,299.52334353211825,242.71667398506477,270.0341154786778,319.76005688785034,167.01309296339346,108.48198886846114,237.8760843664398,0.0,113.18996067825655,83.61394585230553,75.66178783326458,215.59266565717127,82.06473311064288,309.4400356357664,194.48132483787072,244.0522729884392,129.1721728073783,343.16134642757544,426.3178896890642,508.2774522682824,590.1449801053388,538.0127100828777,502.24254154778555,417.7624126329517,340.47077485811144,310.6647580279534,430.5429424975328,272.4232398352381,228.6447987503937,363.02180248701285,390.0986786645293,403.5808819377752,302.66755300612647,260.3563985507356,270.8814988116628,357.40278824171384,415.7425247665732,347.0031977331877,408.17134230950285,445.94841913895885,478.1339852437604,439.5228746665082,516.5651984614005,470.52998272765575,550.4694091272736,590.7368510501922,543.7761330825132,668.4617051034281,617.0689653798972,583.833335433002,662.0013784119421,505.1813125309134,520.5522617143904,559.2106459090745,643.3893329816174,598.7071577259669,441.4134689776346,402.6849976516007,437.89182706989726,494.466309942568,480.6385737515938,606.2041476049692,722.6156882952218,640.348810837059,707.2488343306591,575.1617175316472,545.1613798788047,715.7095718718803,738.2992451721657,728.2447022649187,868.5109122937863,815.6783115723056,936.9490066100404,788.9223973892725
Buuhoodle,411.2386409829987,355.60619313336457,383.21945268401095,432.9391849306174,277.28040312685624,211.92798848992692,349.01190465756446,113.18996067825655,0.0,193.5642080572915,180.91679294371286,108.48791309102891,65.61616364954344,215.91448156656082,107.33360578182591,187.96477380798868,128.73139371630052,274.4789602391203,355.25476123486555,411.8122188169506,516.0882842930013,454.2001673960989,426.7072579360315,325.8524297365559,236.34853891163579,199.53996716729546,324.1353210450943,162.14679265960817,124.48158079693107,254.01835005731857,277.66561551356585,306.1237053861628,230.41604321370934,212.30506490263673,181.9125920982668,282.60588349017354,337.9740253812434,322.3817258686746,373.3478018058854,406.65830500171137,438.5047605208136,375.4296865245006,473.1454813891404,413.59693637874915,512.2728761211552,564.7378455616777,512.7777143319123,655.112589817939,603.2582706917077,564.271572911474,655.8355396399166,480.79848574501403,527.8322585714446,552.2662833324597,652.7487301146497,615.5399801089924,453.2183151458905,418.576550628614,430.7871134329494,511.6584957550677,507.0535887396268,634.0796470894895,748.1907299450619,678.4674198554067,741.070575646015,614.6433962976342,574.5776868011013,720.2681542266322,734.4209626505038,745.3893147676214,871.8330972639831,828.1681689498226,943.780033451347,785.3079044069736
Owdweyne,217.7347141816942,163.97292596198312,193.89834744842244,242.96886293652736,83.84363082716584,91.64123723998168,155.44802995268927,83.61394585230553,193.5642080572915,0.0,73.99833637285757,298.6352664400684,164.47615054206727,392.5937578068416,277.7458783988316,320.88637273730615,198.87003455995279,421.0995048214123,503.9238373915856,591.3599478641164,667.5066449018066,618.4738815864806,580.5764417174048,500.35124574048024,424.04183037266927,392.7623618685969,513.9967749355225,346.74150217375944,299.2037227096664,434.80879141344565,471.20995785448497,464.39621205412936,349.17651542645103,294.57114030339994,329.88069183002875,402.9160428526063,461.28806853848096,358.09250044531706,423.15197230683367,462.5436165095937,493.8061387270883,474.3429708435367,533.8245963404629,499.1221395159806,562.9334307570292,593.149646641193,551.0860130740933,659.8755087729123,609.8578937257588,581.6417521440766,648.2428873024305,508.7532031546764,500.2486200309713,548.3222094837687,618.6222995312069,569.4006103323962,420.5274112758017,380.47504254939327,431.24528805973836,467.62614446851376,447.38785101570386,568.7375775429641,684.8962410834812,594.97738207722,663.9277266387049,529.9661402541151,507.89858368265664,693.1855887767512,721.5810676453318,696.4510374994912,844.9213498638468,786.0938077844768,910.1778909421307,771.3020019548834
