,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower Juba,Lower Shabelle,Middle Juba,Middle Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi Galbeed
0,0.0,267514.8703811327,505831.6532663972,550962.6436377793,410783.0838371201,327840.7144891863,419618.56406547234,310949.3804907791,770221.5229586908,496704.40199420735,589652.4471622974,443204.1282494754,388162.20371680317,414999.95023240976,229515.3919562174,232547.2393295337,81705.68296378879,20279.699451099154
1,267514.8703811327,0.0,53111.48207792268,667319.0582463151,17505.182874801507,103243.33315088174,59376.98564057538,28516.275735669496,170342.43726404003,35743.18614201337,83291.98064206773,61170.65625709929,246074.8318484343,393696.4214671946,395855.1391320399,297776.56304238585,188815.9676663787,209313.2869239094
2,505831.6532663972,53111.48207792268,0.0,641375.5331589328,42202.09050500701,78662.1508004144,146041.3313602139,27625.54282451467,183354.21060557623,13814.01308098295,103853.62238311418,10442.339568617474,202771.12549955322,363136.9039406277,462670.8264059872,337855.8305982477,301805.54751889344,385436.8183713919
3,550962.6436377793,667319.0582463151,641375.5331589328,0.0,850757.8788660963,275799.7112996775,1123092.2472770787,461435.8640494721,1452439.086214265,800809.7549859608,1173503.0590650318,488182.8300116169,123135.23518020235,39332.672234383615,69292.11866809013,84822.70364694226,237961.2213350223,373748.34529684426
4,410783.0838371201,17505.182874801507,42202.09050500701,850757.8788660963,0.0,164029.76527710658,31411.128098295372,60055.17480583175,82665.11745687974,10671.460939605555,26574.326715503023,74798.5712206862,343135.84170322446,529496.4307888745,564211.5374401929,439423.64935646,319433.2028421491,346720.01535182557
5,327840.7144891863,103243.33315088174,78662.1508004144,275799.7112996775,164029.76527710658,0.0,314403.6436585592,25729.989437131033,465034.9170013185,136695.32536199733,315857.4079541476,32626.892303525317,32716.038885449532,107150.98865470749,165254.80023399662,93325.49962390272,108932.1121036006,199099.99331193522
6,419618.56406547234,59376.98564057538,146041.3313602139,1123092.2472770787,31411.128098295372,314403.6436585592,0.0,161521.0889790953,54707.08965039009,74118.39800676834,22789.27876589318,200825.47676348107,545122.8412266462,758843.5934687231,743090.1830236362,614667.3671079368,422028.52693042584,402495.2657514481
7,310949.3804907791,28516.275735669496,27625.54282451467,461435.8640494721,60055.17480583175,25729.989437131033,161521.0889790953,0.0,276631.18612922775,49490.88747248515,163338.7209671447,12072.365332858097,116184.783678555,233616.12187237217,278506.07400267245,187140.239633443,146921.4723409707,209974.36779046815
8,770221.5229586908,170342.43726404003,183354.21060557623,1452439.086214265,82665.11745687974,465034.9170013185,54707.08965039009,276631.18612922775,0.0,100212.13608394944,15551.516777498415,274676.81961815193,743037.9688815147,1017203.2925384319,1078551.9347885419,903003.5053682746,716322.3620456962,725781.019374646
9,496704.40199420735,35743.18614201337,13814.01308098295,800809.7549859608,10671.460939605555,136695.32536199733,74118.39800676834,49490.88747248515,100212.13608394944,0.0,42252.657090795896,43176.472177529016,300191.1214139261,485824.53251964826,562138.7389928377,429106.95729335694,346593.16476630815,403407.37327700586
10,589652.4471622974,83291.98064206773,103853.62238311418,1173503.0590650318,26574.326715503023,315857.4079541476,22789.27876589318,163338.7209671447,15551.516777498415,42252.657090795896,0.0,169770.45824244717,551614.0581356765,787575.363916425,835125.74777622,682119.9054899281,522512.81672255514,538190.0169260884
11,443204.1282494754,61170.65625709929,10442.339568617474,488182.8300116169,74798.5712206862,32626.892303525317,200825.47676348107,12072.365332858097,274676.81961815193,43176.472177529016,169770.45824244717,0.0,121183.54926227398,250476.93277976752,342116.11877596343,234956.8675023654,223854.14021684168,314843.24343519914
12,388162.20371680317,246074.8318484343,202771.12549955322,123135.23518020235,343135.84170322446,32716.038885449532,545122.8412266462,116184.783678555,743037.9688815147,300191.1214139261,551614.0581356765,121183.54926227398,0.0,23508.05695935192,88879.15955757706,41716.26960675886,116035.39851965413,232403.37891932885
13,414999.95023240976,393696.4214671946,363136.9039406277,39332.672234383615,529496.4307888745,107150.98865470749,758843.5934687231,233616.12187237217,1017203.2925384319,485824.53251964826,787575.363916425,250476.93277976752,23508.05695935192,0.0,45272.23167814502,26522.355454422406,131331.80694506003,253003.15777626415
14,229515.3919562174,395855.1391320399,462670.8264059872,69292.11866809013,564211.5374401929,165254.80023399662,743090.1830236362,278506.07400267245,1078551.9347885419,562138.7389928377,835125.74777622,342116.11877596343,88879.15955757706,45272.23167814502,0.0,10334.822448796007,55683.782619031364,121945.47467914977
15,232547.2393295337,297776.56304238585,337855.8305982477,84822.70364694226,439423.64935646,93325.49962390272,614667.3671079368,187140.239633443,903003.5053682746,429106.95729335694,682119.9054899281,234956.8675023654,41716.26960675886,26522.355454422406,10334.822448796007,0.0,41924.60993582772,116921.29280829866
16,81705.68296378879,188815.9676663787,301805.54751889344,237961.2213350223,319433.2028421491,108932.1121036006,422028.52693042584,146921.4723409707,716322.3620456962,346593.16476630815,522512.81672255514,223854.14021684168,116035.39851965413,131331.80694506003,55683.782619031364,41924.60993582772,0.0,20578.847439085133
17,20279.699451099154,209313.2869239094,385436.8183713919,373748.34529684426,346720.01535182557,199099.99331193522,402495.2657514481,209974.36779046815,725781.019374646,403407.37327700586,538190.0169260884,314843.24343519914,232403.37891932885,253003.15777626415,121945.47467914977,116921.29280829866,20578.847439085133,0.0
