admin1,year,population_density
Awdal,2000,94.13787274226705
Bakool,2000,68.79564823776383
Banadir,2000,4178.696624842306
Bari,2000,41.423233500697265
Bay,2000,65.87301831443588
Galgaduud,2000,33.15412998524355
Gedo,2000,51.475342317302335
Hiraan,2000,32.080225436766646
Middle_Juba,2000,40.42370173152958
Lower_Juba,2000,86.18013811007796
Mudug,2000,49.12782587981528
Nugaal,2000,13.492143053704186
Sanaag,2000,15.408944876756154
Middle_Shabelle,2000,112.05417993732154
Lower_Shabelle,2000,368.20281876456824
Sool,2000,14.783078214209656
Togdheer,2000,39.09271023321351
Woqooyi_Galbeed,2000,66.04237398052743
Awdal,2001,96.89486721798102
Bakool,2001,70.81045133653447
Banadir,2001,4301.082225229046
Bari,2001,42.63646099086419
Bay,2001,67.80233286320336
Galgaduud,2001,34.12515209756288
Gedo,2001,52.982920255648956
Hiraan,2001,33.01976196489319
Middle_Juba,2001,41.60765080072575
Lower_Juba,2001,88.70416787101173
Mudug,2001,50.566738417787946
Nugaal,2001,13.887290278019469
Sanaag,2001,15.860253233608368
Middle_Shabelle,2001,115.33592796412998
Lower_Shabelle,2001,378.9868238982754
Sool,2001,15.216055360638705
Togdheer,2001,40.23764890984784
Woqooyi_Galbeed,2001,67.976593880739
Awdal,2002,99.65186169369498
Bakool,2002,72.82525443530511
Banadir,2002,4423.467825615787
Bari,2002,43.84968848103111
Bay,2002,69.73164741197084
Galgaduud,2002,35.096174209882214
Gedo,2002,54.49049819399558
Hiraan,2002,33.95929849301974
Middle_Juba,2002,42.79159986992192
Lower_Juba,2002,91.2281976319455
Mudug,2002,52.00565095576061
Nugaal,2002,14.282437502334751
Sanaag,2002,16.311561590460585
Middle_Shabelle,2002,118.61767599093842
Lower_Shabelle,2002,389.7708290319826
Sool,2002,15.649032507067755
Togdheer,2002,41.382587586482174
Woqooyi_Galbeed,2002,69.91081378095058
Awdal,2003,102.40885616940895
Bakool,2003,74.84005753407575
Banadir,2003,4545.853426002527
Bari,2003,45.06291597119803
Bay,2003,71.66096196073832
Galgaduud,2003,36.067196322201546
Gedo,2003,55.9980761323422
