Region,Region p-code,Zone,Zone p-code,Woreda,Woreda p-code,IDP estimates
,,,,,#adm3+code,#affected+idps+ind
Afar,ET02,Awsi /Zone 1,ET0201,Elidar,ET020102,306
Afar,ET02,Kilbati /Zone2,ET0202,Berahile,ET020205,372
Afar,ET02,Hari /Zone 5,ET0205,Dalefage,ET020504,180
Afar,ET02,Awsi /Zone 1,ET0201,Elidar,ET020102,690
Afar,ET02,Kilbati /Zone2,ET0202,Erebti,ET020201,210
Afar,ET02,Awsi /Zone 1,ET0201,Kori,ET020108,336
Afar,ET02,Kilbati /Zone2,ET0202,Abaala,ET020203,557
Afar,ET02,Hari /Zone 5,ET0205,Hadelela,ET020505,1806
Oromia,ET04,East Hararge,ET0410,Aweday town,ET041099,533
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,2667
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,455
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,1782
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,4820
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,240
Oromia,ET04,West Guji,ET0415,Bule Hora,ET041501,500
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,1250
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,200
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,1135
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,1840
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,371
Oromia,ET04,West Guji,ET0415,Bule Hora,ET041501,365
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,735
Oromia,ET04,Guji,ET0414,Gora Dola,ET041413,15770
Oromia,ET04,Guji,ET0414,Liben,ET041407,19307
Oromia,ET04,East Bale,ET0421,,,3100
Oromia,ET04,Borena,ET0412,Dubluk,ET041291,41868
Oromia,ET04,Borena,ET0412,Dhas,ET041220,16531
Oromia,ET04,Borena,ET0412,Dilo,ET041219,575
Oromia,ET04,Borena,ET0412,Dhas,ET041220,12592
Oromia,ET04,Borena,ET0412,Dhas,ET041220,11505
Oromia,ET04,Borena,ET0412,Dilo,ET041219,955
Oromia,ET04,East Bale,ET0421,Ginir,ET042103,357
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,7998
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,8004
Oromia,ET04,Jimma,ET0404,Botor Tolay,ET040495,436
Oromia,ET04,Jimma,ET0404,Botor Tolay,ET040495,427
Oromia,ET04,Jimma,ET0404,Botor Tolay,ET040495,804
Oromia,ET04,Jimma,ET0404,Botor Tolay,ET040495,1145
Oromia,ET04,Jimma,ET0404,Botor Tolay,ET040495,1346
Oromia,ET04,Jimma,ET0404,Botor Tolay,ET040495,1457
Oromia,ET04,West Guji,ET0415,Dugda Dawa,ET041515,8016
Somali,ET05,Liban,ET0509,Filtu,ET050901,20040
Somali,ET05,Liban,ET0509,Bokolmayo,ET050999,900
Somali,ET05,Nogob,ET0510,Sagag,ET051005,960
Somali,ET05,Nogob,ET0510,Sagag,ET051005,1458
Somali,ET05,Nogob,ET0510,Sagag,ET051005,570
Somali,ET05,Shabelle,ET0506,Kelafo,ET050605,480
Somali,ET05,Korahe,ET0505,Shilabo,ET050503,750
Somali,ET05,Siti,ET0501,Erer (SM),ET050104,9600
Somali,ET05,Siti,ET0501,Afdem,ET050105,1800
Somali,ET05,Siti,ET0501,Gablalu,ET050199,4614
Somali,ET05,Siti,ET0501,Miesso,ET050107,1800
Somali,ET05,Siti,ET0501,Miesso,ET050107,750
Somali,ET05,Siti,ET0501,Miesso,ET050107,1920
Somali,ET05,Siti,ET0501,Miesso,ET050107,1716
Somali,ET05,Siti,ET0501,Miesso,ET050107,1830
Somali,ET05,Siti,ET0501,Miesso,ET050107,1050
Somali,ET05,Siti,ET0501,Afdem,ET050105,1230
Somali,ET05,Siti,ET0501,Gota-Biki,ET050198,300
Somali,ET05,Siti,ET0501,Shinile,ET050103,3024
Somali,ET05,Siti,ET0501,Gota-Biki,ET050198,540
Somali,ET05,Korahe,ET0505,Kebridehar,ET050502,4572
Somali,ET05,Siti,ET0501,Hadhagala,ET050106,1200
