Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2001,ERI,EGY,Eritrea,Egypt,ASY,Cairo,U,U,0,0,0,0,0,112,112,0,0,0,0,0,220,220,332
2001,ERI,EGY,Eritrea,Egypt,REF,Cairo,U,U,5,0,0,12,0,0,17,0,0,0,24,0,0,24,41
2001,ERI,AUS,Eritrea,Australia,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2001,ERI,AUS,Eritrea,Australia,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708
2001,ERI,BFA,Eritrea,Burkina Faso,REF,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,ERI,BWA,Eritrea,Botswana,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,ERI,BGR,Eritrea,Bulgaria,ASY,Dispersed in the country / territory,U,U,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2001,ERI,BGR,Eritrea,Bulgaria,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,ERI,CAN,Eritrea,Canada,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
2001,ERI,CAN,Eritrea,Canada,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316
2001,ERI,CUB,Eritrea,Cuba,REF,Havana,U,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,ERI,DNK,Eritrea,Denmark,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2001,ERI,DNK,Eritrea,Denmark,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2001,ERI,ERI,Eritrea,Eritrea,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32749
2001,ERI,ETH,Eritrea,Ethiopia,REF,Shimelba (Shire/Shiraro),C,U,346,377,323,740,342,0,2128,363,426,366,596,333,0,2084,4212
2001,ERI,FRA,Eritrea,France,REF,Dispersed in the country / territory,R,U,0,0,0,0,0,11,11,0,0,0,0,0,6,6,17
2001,ERI,DEU,Eritrea,Germany,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
2001,ERI,GRC,Eritrea,Greece,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2001,ERI,IRL,Eritrea,Ireland,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2001,ERI,IRQ,Eritrea,Iraq,REF,Baghdad,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573
2001,ERI,ISR,Eritrea,Israel,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
2001,ERI,ITA,Eritrea,Italy,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2001,ERI,JOR,Eritrea,Jordan,ASY,Amman,U,U,0,0,0,5,0,0,5,0,0,0,8,0,0,8,13
2001,ERI,KEN,Eritrea,Kenya,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899
2001,ERI,KEN,Eritrea,Kenya,REF,Dagahaley (Dadaab),C,U,0,6,0,17,0,0,23,0,7,0,62,0,0,69,92
2001,ERI,KEN,Eritrea,Kenya,REF,Ifo (Dadaab),C,U,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2001,ERI,KEN,Eritrea,Kenya,REF,Kakuma,C,U,0,0,0,0,6,0,6,5,0,0,19,0,0,24,30
2001,ERI,KEN,Eritrea,Kenya,REF,Nairobi,U,U,9,10,9,93,105,0,226,5,38,33,111,5,0,192,418
