time,admin1,spei
1901-01-16,Awdal,0.42047942
1901-01-16,Bakool,0.37353635
1901-01-16,Bari,0.12261379
1901-01-16,Bay,0.14734674
1901-01-16,Galgaduud,0.6102475
1901-01-16,Gedo,0.29801098
1901-01-16,Hiraan,0.56961113
1901-01-16,Lower Juba,-0.20185961
1901-01-16,Lower Shabelle,0.25748652
1901-01-16,Middle Juba,0.04283617
1901-01-16,Middle Shabelle,0.69627386
1901-01-16,Mudug,0.3319722
1901-01-16,Nugaal,0.09937841
1901-01-16,Sanaag,0.07067376
1901-01-16,Sool,0.16165872
1901-01-16,Togdheer,0.1732293
1901-01-16,Woqooyi Galbeed,0.3247899
1901-02-15,Awdal,1.5231683
1901-02-15,Bakool,0.44230843
1901-02-15,Bari,0.15815936
1901-02-15,Bay,0.2795902
1901-02-15,Galgaduud,0.2596433
1901-02-15,Gedo,0.21557091
1901-02-15,Hiraan,0.41582525
1901-02-15,Lower Juba,0.53364134
1901-02-15,Lower Shabelle,0.08345846
1901-02-15,Middle Juba,0.074968494
1901-02-15,Middle Shabelle,0.4969565
1901-02-15,Mudug,0.29920506
1901-02-15,Nugaal,0.39510423
1901-02-15,Sanaag,0.165441
1901-02-15,Sool,0.2521267
1901-02-15,Togdheer,0.63837504
1901-02-15,Woqooyi Galbeed,1.1046604
1901-03-16,Awdal,0.2886965
1901-03-16,Bakool,0.34792563
1901-03-16,Bari,0.14733875
1901-03-16,Bay,0.13009425
1901-03-16,Galgaduud,0.3846651
1901-03-16,Gedo,0.040910907
1901-03-16,Hiraan,0.39541742
1901-03-16,Lower Juba,-0.67353845
1901-03-16,Lower Shabelle,0.13740431
1901-03-16,Middle Juba,-0.61566174
1901-03-16,Middle Shabelle,0.44388437
1901-03-16,Mudug,0.41878396
1901-03-16,Nugaal,0.34917527
1901-03-16,Sanaag,0.315838
1901-03-16,Sool,0.29968616
1901-03-16,Togdheer,0.26183295
1901-03-16,Woqooyi Galbeed,0.2658576
1901-04-16,Awdal,0.630996
1901-04-16,Bakool,0.31440988
1901-04-16,Bari,0.27030858
1901-04-16,Bay,0.22522946
1901-04-16,Galgaduud,0.35621083
1901-04-16,Gedo,0.27405804
1901-04-16,Hiraan,0.31047764
1901-04-16,Lower Juba,0.26123396
1901-04-16,Lower Shabelle,0.15707791
1901-04-16,Middle Juba,0.06333174
1901-04-16,Middle Shabelle,0.25558618
1901-04-16,Mudug,0.35253355
1901-04-16,Nugaal,0.4212471
1901-04-16,Sanaag,0.24930657
1901-04-16,Sool,0.3962957
1901-04-16,Togdheer,0.44982195
1901-04-16,Woqooyi Galbeed,0.5707255
1901-05-16,Awdal,-0.6504835
1901-05-16,Bakool,0.45443168
1901-05-16,Bari,0.23053987
1901-05-16,Bay,0.80148554
1901-05-16,Galgaduud,0.369892
1901-05-16,Gedo,0.6547161
1901-05-16,Hiraan,0.38711444
1901-05-16,Lower Juba,1.3327245
1901-05-16,Lower Shabelle,0.80796623
1901-05-16,Middle Juba,1.3846505
1901-05-16,Middle Shabelle,0.37086105
1901-05-16,Mudug,0.29002866
1901-05-16,Nugaal,0.25049716
1901-05-16,Sanaag,0.32032552
1901-05-16,Sool,0.2689106
1901-05-16,Togdheer,0.005418204
1901-05-16,Woqooyi Galbeed,-0.60125077
1901-06-16,Awdal,0.3034141
1901-06-16,Bakool,0.5449991
1901-06-16,Bari,0.22087683
1901-06-16,Bay,0.25600973
1901-06-16,Galgaduud,0.5140476
1901-06-16,Gedo,0.18106842
1901-06-16,Hiraan,0.5662927
1901-06-16,Lower Juba,-0.5671152
1901-06-16,Lower Shabelle,0.05142958
1901-06-16,Middle Juba,-0.5555792
1901-06-16,Middle Shabelle,0.49423298
1901-06-16,Mudug,0.4451048
1901-06-16,Nugaal,0.51325434
1901-06-16,Sanaag,0.19497782
1901-06-16,Sool,0.4220957
1901-06-16,Togdheer,0.35975295
1901-06-16,Woqooyi Galbeed,0.3994965
1901-07-16,Awdal,-0.6380651
1901-07-16,Bakool,0.3020327
1901-07-16,Bari,-0.08979028
1901-07-16,Bay,0.49720794
1901-07-16,Galgaduud,0.1831881
1901-07-16,Gedo,0.1282719
1901-07-16,Hiraan,0.34070596
1901-07-16,Lower Juba,1.0500811
1901-07-16,Lower Shabelle,0.5752238
1901-07-16,Middle Juba,0.9269165
1901-07-16,Middle Shabelle,0.3954378
1901-07-16,Mudug,0.13459834
1901-07-16,Nugaal,-0.02563124
1901-07-16,Sanaag,0.3333545
1901-07-16,Sool,0.327912
1901-07-16,Togdheer,0.14133103
1901-07-16,Woqooyi Galbeed,-0.4047371
1901-08-16,Awdal,2.4779236
1901-08-16,Bakool,0.18537171
1901-08-16,Bari,0.05661899
1901-08-16,Bay,-0.028545592
1901-08-16,Galgaduud,0.15751165
1901-08-16,Gedo,0.022846546
1901-08-16,Hiraan,0.19607402
1901-08-16,Lower Juba,-0.34176055
1901-08-16,Lower Shabelle,-0.19077526
1901-08-16,Middle Juba,-0.7325575
1901-08-16,Middle Shabelle,0.27986115
1901-08-16,Mudug,-0.036472924
1901-08-16,Nugaal,0.35910207
1901-08-16,Sanaag,0.30365083
1901-08-16,Sool,0.52070814
1901-08-16,Togdheer,1.2679135
1901-08-16,Woqooyi Galbeed,2.154411
1901-09-16,Awdal,0.96094954
1901-09-16,Bakool,0.56496495
1901-09-16,Bari,0.17491166
1901-09-16,Bay,0.3765731
1901-09-16,Galgaduud,0.49430263
1901-09-16,Gedo,0.18672954
1901-09-16,Hiraan,0.56759155
1901-09-16,Lower Juba,-0.07897029
1901-09-16,Lower Shabelle,0.05725789
1901-09-16,Middle Juba,-0.26202542
1901-09-16,Middle Shabelle,0.40476808
1901-09-16,Mudug,0.4761278
1901-09-16,Nugaal,0.3313268
1901-09-16,Sanaag,0.40320814
1901-09-16,Sool,0.5982608
1901-09-16,Togdheer,0.76340544
1901-09-16,Woqooyi Galbeed,0.947974
1901-10-16,Awdal,-0.61730826
1901-10-16,Bakool,0.3151667
1901-10-16,Bari,0.23152064
1901-10-16,Bay,0.123808436
1901-10-16,Galgaduud,0.30170923
1901-10-16,Gedo,0.13615355
1901-10-16,Hiraan,0.3979813
1901-10-16,Lower Juba,-0.03921008
1901-10-16,Lower Shabelle,0.1697478
1901-10-16,Middle Juba,-0.25590792
1901-10-16,Middle Shabelle,0.45909834
1901-10-16,Mudug,0.12527992
1901-10-16,Nugaal,0.17171486
1901-10-16,Sanaag,0.08434137
1901-10-16,Sool,0.2255773
1901-10-16,Togdheer,0.10550574
1901-10-16,Woqooyi Galbeed,-0.41144267
1901-11-16,Awdal,-0.4837082
1901-11-16,Bakool,0.5447955
1901-11-16,Bari,0.39812127
1901-11-16,Bay,-0.005989875
1901-11-16,Galgaduud,0.47922873
1901-11-16,Gedo,0.064737424
1901-11-16,Hiraan,0.5393358
1901-11-16,Lower Juba,-1.5534139
1901-11-16,Lower Shabelle,-0.18269706
1901-11-16,Middle Juba,-1.3735175
1901-11-16,Middle Shabelle,0.53981173
1901-11-16,Mudug,0.38841793
1901-11-16,Nugaal,0.4004302
1901-11-16,Sanaag,0.3722065
1901-11-16,Sool,0.4180733
1901-11-16,Togdheer,0.32654634
1901-11-16,Woqooyi Galbeed,-0.05847013
1901-12-16,Awdal,1.2137562
1901-12-16,Bakool,0.27243048
1901-12-16,Bari,0.20611423
1901-12-16,Bay,1.3440759
1901-12-16,Galgaduud,0.4140827
1901-12-16,Gedo,1.0549047
1901-12-16,Hiraan,0.36747712
1901-12-16,Lower Juba,2.6248965
1901-12-16,Lower Shabelle,1.4213476
1901-12-16,Middle Juba,2.6146648
1901-12-16,Middle Shabelle,0.4025661
1901-12-16,Mudug,0.38332295
1901-12-16,Nugaal,0.31412652
1901-12-16,Sanaag,-0.0042838696
1901-12-16,Sool,0.1626537
