"","lm_20.coefficients","lm1_20.coefficients","lm2_20.coefficients","lm3_20.coefficients","lm4_20.coefficients","lm5_20.coefficients","lm6_20.coefficients"
"(Intercept)",0.192569245161726,0.195369458736954,0.211607583291774,0.213242190164159,0.22202789465645,0.203173702873651,0.160394688117262
"TA",0.327214023905178,0.345915274976115,0.362509700955036,0.370048226329418,0.343372593477004,0.26466860212339,0.235891352018467
"PA",-0.0764328346695277,-0.0741442865346828,-0.112496154771494,-0.118844176063599,-0.129025467994984,-0.0331703231899427,0.0839064793697442
"DL",-0.23157484847395,-0.226373977298932,-0.228252417670811,-0.228733080763396,-0.218824719702866,-0.20669316357211,-0.203904172855615
"conflicts",0.0652721003556507,0.112295741184843,0.114795351813298,0.0254068098323179,0.0455014699266288,0.0794297439717069,0.0885128987330928
"inv_distance_2",0.241872348118854,0.2546523864522,0.260998442853659,0.266284247330337,0.267131776666298,0.271182226363929,0.264634563952968
"gdp_mean_origin",1.42279506291064,1.62892956625906,1.68905838963304,1.0587685685308,1.10082492976637,1.22026562480266,1.26370100715737
"gdp_mean_destination",-0.722479667007,-0.558006398534927,-0.611458433693398,-0.694249941336333,-0.821569728279013,-0.647834165880857,-0.342676518716454
"population_density_origin",-1.54031307761079,-1.77076041104595,-1.84290217566659,-1.13811527416601,-1.19014390112351,-1.32976783744107,-1.37699942689661
"population_density_destination",0.714384627533285,0.531773444460238,0.585325613514082,0.675998061517891,0.804510320887099,0.619866864730432,0.300543062133943
