"","lm_22.coefficients","lm1_22.coefficients","lm2_22.coefficients","lm3_22.coefficients","lm4_22.coefficients","lm5_22.coefficients","lm6_22.coefficients"
"(Intercept)",0.113062164328807,0.106735558583968,0.0734445997770939,0.100446790058896,0.0359722102104221,0.126353613769269,0.192098547304805
"TA",0.133455416506519,0.0733533434989392,0.175224776010235,0.0731063829037293,0.143540456822459,0.408449528718485,0.270007878209304
"PA",0.122780167328403,0.213343911683119,0.207596211416888,0.269601841208542,0.292539173467815,-0.135213858136338,-0.166455572874393
"DL",-0.0602930793420721,-0.0716776522181402,-0.0763177036855292,-0.0894532473956424,-0.105805114887982,-0.104267976140358,-0.098758746003112
"conflicts",0.290694386851391,0.178797920713396,0.129349130838712,0.017059074263108,-0.0248166449181008,0.186472405847112,0.218525769431354
"inv_distance_2",0.231800371623936,0.241933858619978,0.235197940507324,0.233868538481416,0.246739318313475,0.238695849764313,0.237129294367094
"gdp_mean_origin",0.218721288800855,-0.291348019982258,-0.457474589388478,-1.37877387694492,-1.63597785947677,0.0761409739664493,0.293769297353029
"gdp_mean_destination",-1.55753940052799,-1.89855197559827,-2.14358405296068,-1.95053567468869,-1.89053522723714,-2.33764529674485,-2.19942772615742
"population_density_origin",-0.351963065768207,0.242933498564583,0.439180493680369,1.42048440175252,1.70438912664036,-0.110433668395027,-0.372300082938712
"population_density_destination",1.68823324576093,2.04055899539827,2.30712568750067,2.09988422736955,2.03549971751822,2.50673611941243,2.35726241468639
