"","lm.coefficients","lm_lag1.coefficients","lm_lag2.coefficients","lm_lag3.coefficients","lm_lag4.coefficients","lm_lag5.coefficients","lm_lag6.coefficients"
"(Intercept)",0.223370158010805,0.223856277726749,0.221421793270549,0.225291575562358,0.23426452994284,0.246666642747823,0.250563357910967
"TA",0.0435011370879255,0.035647687923784,0.0438240758019847,0.0548677776935443,0.0723110343670424,0.0666028002950361,0.0641751583070748
"PA",0.0481475437290112,0.0565975595724321,0.0583029688523704,0.0380516551763691,0.00531983088957521,-0.0239436316714258,-0.0298686391274625
"DL",0.000921111099348981,-0.00250018829380902,-0.00678666799902576,-0.0109177695107562,-0.0155831189901852,-0.01648967292655,-0.0167464394828419
"conflicts",0.0410163068191023,0.0575094904763706,0.0507497372072109,0.060914009996101,0.0401702341837168,0.0686335170760792,0.0631202972953301
"inv_distance_2",0.223989380172395,0.22563478307241,0.225788185030332,0.225788294138097,0.224662177951986,0.225334528498015,0.2257038772153
"gdp_mean_origin",0.175654992935181,0.221552587324701,0.193220947042233,0.231774556582655,0.141367927306991,0.243761088398252,0.224398293729415
"gdp_mean_destination",-0.327793273285711,-0.311800993133564,-0.310325575776301,-0.317002744389393,-0.339762561315973,-0.332118742186789,-0.333339427781409
"population_density_origin",-0.205293481196191,-0.265651478110864,-0.230092272039886,-0.27853496849091,-0.166982169709763,-0.2964735936003,-0.271487701776107
"population_density_destination",0.418680572628655,0.399497071335906,0.39871937994985,0.40652703989434,0.433003511221424,0.423030413683498,0.424823246335019
