"","summary.lm_21..coefficients...4.","summary.lm1_21..coefficients...4.","summary.lm2_21..coefficients...4.","summary.lm3_21..coefficients...4.","summary.lm4_21..coefficients...4.","summary.lm5_21..coefficients...4.","summary.lm6_21..coefficients...4."
"(Intercept)",9.18305910926344e-10,3.19641611180213e-13,1.77309810075388e-17,6.60598565938586e-24,1.83359388733283e-23,1.60430368250478e-21,4.46707258956548e-22
"TA",2.29538358271613e-06,0.00133470281405147,0.0168194947963047,0.39208248342286,0.441969477520478,0.580607903890637,0.871346906435316
"PA",0.259540876153056,0.00815980718192435,2.45946565628124e-06,9.92940746932861e-11,1.72627511563512e-09,5.81692051800827e-08,4.54675372381017e-08
"DL",0.976944017757387,0.689784221395871,0.715044900536544,0.470075965859793,0.429485355690801,0.272482710327577,0.311404814274449
"conflicts",0.488676945866286,0.183894550548097,0.904391613501613,0.595756144582636,0.571239747125505,0.473955785476899,0.423270403682235
"inv_distance_2",5.64928921340314e-09,4.71030153294899e-09,3.12632156025075e-08,3.19063760180141e-08,7.76256634541495e-08,3.38238534996946e-08,1.31573239007211e-08
"gdp_mean_origin",0.0627850980568085,0.0156831258825751,0.249861505499887,0.114632855671729,0.482684874853309,0.0900985996861749,0.0877484410244534
"gdp_mean_destination",0.0263826709028368,0.0147366554863098,0.0150404920047948,0.0670315556754184,0.0497660170741584,0.0383438620200037,0.0379013086734669
"population_density_origin",0.0710830948060179,0.0181470209498398,0.283505735627992,0.134001829185093,0.540373500793834,0.103180410145316,0.100694819230829
"population_density_destination",0.0163317991522064,0.00878442432516014,0.00845222541869637,0.0421130069574658,0.0299405800439836,0.0223609860255848,0.022372296079126
