"","summary.lm..coefficients...4.","summary.lm_lag1..coefficients...4.","summary.lm_lag2..coefficients...4.","summary.lm_lag3..coefficients...4.","summary.lm_lag4..coefficients...4.","summary.lm_lag5..coefficients...4.","summary.lm_lag6..coefficients...4."
"(Intercept)",1.80905954159573e-78,3.38652471728157e-79,5.70983696026505e-78,4.72875387842947e-80,9.29669418942862e-86,4.44647481705584e-93,1.03932676351708e-94
"TA",0.0116199985643351,0.0515652958280015,0.0168791240503716,0.0022684865463741,5.36558157102752e-05,0.000175958455475543,0.000339143989800609
"PA",0.041839629169812,0.0159555831220076,0.0127089705376065,0.105742089616153,0.821069383273064,0.311900746936336,0.208618188464699
"DL",0.925944689219802,0.799250678086202,0.48805314218942,0.261701899613323,0.106628034894105,0.0857693009193616,0.0790623622074281
"conflicts",0.0464223427351572,0.00536092538145827,0.0133189160548492,0.00360160714105277,0.0597417463908855,0.00161467104061954,0.00370105880514793
"inv_distance_2",1.88105085312668e-101,3.87087998438162e-103,2.78215413037372e-103,1.69877616958749e-103,1.57396077198925e-102,3.6625124211363e-103,2.21381727192813e-103
"gdp_mean_origin",0.182267381712386,0.0892364200110994,0.140186439978537,0.0810478757239049,0.286454588604434,0.0668269308171294,0.0920930050648245
"gdp_mean_destination",0.004271234356692,0.00665006523554419,0.00697510012240465,0.00579306071398885,0.00307082309529334,0.00377029907699568,0.0036537346639571
"population_density_origin",0.182801444820483,0.0814843303186267,0.132840256930535,0.0730168644133679,0.282116868427121,0.057061014009361,0.0816535577660618
"population_density_destination",0.000758756655842505,0.00133653235545414,0.00138399166785443,0.00109524306495957,0.000499906410719378,0.000664321489842478,0.000631912458100302
