"","summary.lm..coefficients...4.","summary.lm_lag1..coefficients...4.","summary.lm_lag2..coefficients...4.","summary.lm_lag3..coefficients...4.","summary.lm_lag4..coefficients...4.","summary.lm_lag5..coefficients...4.","summary.lm_lag6..coefficients...4."
"(Intercept)",1.45341773339781e-56,2.5179726590449e-59,5.87285121212025e-61,3.03639568166609e-64,7.33944147909033e-68,1.85405269960474e-72,1.96743637771334e-70
"TA_dep",0.0020811748548324,0.00338179188168664,0.000104134881629202,1.68184406322204e-06,3.95191468925206e-08,9.11512364139604e-08,5.95187163953453e-07
"PA_dep",0.156259800918889,0.0686839594035405,0.0300154538957508,0.163879529155263,0.913720650553578,0.211405798575911,0.108793175023696
"DL_dep",0.000216475935135898,8.9253979050698e-05,7.86423732158785e-06,7.35024449888122e-07,8.88996343756915e-08,9.20489652761696e-08,1.91685759855239e-07
"conflicts_dep",0.314760486859981,0.268847689637875,0.328284476932764,0.332800075146871,0.308778843301602,0.212987065599858,0.175120662018167
"TA_arr",0.00426538423324581,0.000625660041381834,1.49627543498108e-05,8.33956751086882e-07,1.32757852693236e-06,2.09313634774552e-06,7.48513532169132e-06
"PA_arr",0.134774651112837,0.25226734835852,0.700641840704413,0.87069590924337,0.697574899852798,0.279443563388472,0.0670228807455456
"DL_arr",1.95972563994325e-30,5.00666239921554e-30,3.18789942829819e-31,1.15314147898873e-31,4.48254894263524e-30,4.73230102408443e-28,3.87797751072343e-26
"conflicts_arr",0.443612744540763,0.507574706605387,0.508229444396213,0.473383023125374,0.348313999731957,0.36439244775276,0.392474824381687
"inv_distance_2",4.70563416261646e-77,5.31480780364168e-78,1.2063129240286e-76,5.66914810795027e-76,2.64472288944503e-75,1.63146085394761e-75,4.77630583203711e-76
"gdp_mean_dep",0.986889958532791,0.998815867154038,0.905882925090322,0.897756448288895,0.899222701846069,0.981839214992354,0.920860578885263
"gdp_mean_arr",0.25764008299054,0.270014711585288,0.285978918546763,0.24502464686063,0.207588094725444,0.17954430898582,0.173895744901621
"population_density_dep",0.995326058164455,0.979430900519637,0.922473912079498,0.913046149263299,0.918353639641839,0.951080051026557,0.883645675239366
"population_density_arr",0.1031422941592,0.109361743706124,0.116832036902683,0.096202235437412,0.0809434567825146,0.0681423852716769,0.0654729216953749
