"","summary.lm..coefficients...4.","summary.lm_lag1..coefficients...4.","summary.lm_lag2..coefficients...4.","summary.lm_lag3..coefficients...4.","summary.lm_lag4..coefficients...4.","summary.lm_lag5..coefficients...4.","summary.lm_lag6..coefficients...4."
"(Intercept)",1.76015447851071e-29,1.1530136178623e-25,7.15375616287727e-23,1.78350833997976e-25,2.89698682662991e-19,1.3435625993144e-24,1.10906713832314e-21
"TA_dep",0.0331913852216698,0.0155414775227685,0.0554777405021811,0.0418523439159668,0.00584774792091944,0.0089674198176861,0.000451337687136681
"PA_dep",0.808790024964287,0.771185779443396,0.857349968104523,0.189288408911516,0.00890257287944314,0.126708933909746,0.149347172235996
"DL_dep",0.305476300750497,0.298187866947267,0.427687014871335,0.678703494312761,0.658426623143234,0.765217282500397,0.669065306817928
"conflicts_dep",3.9223753063523e-05,1.92090409282091e-05,2.14629297855153e-05,1.60036718364878e-05,1.18897927919381e-05,1.49687541428895e-05,1.06054957771755e-05
"TA_arr",5.66618805248888e-06,4.97672010563221e-06,7.31045321003141e-05,5.69776310093678e-05,3.18714841553816e-07,2.71839136301877e-06,2.97371880570961e-06
"PA_arr",0.440047590138238,0.45143104468439,0.318252093362974,0.492269515480798,0.400442672824369,0.201350340471452,0.341622002301853
"DL_arr",0.115725315093256,0.163351999302058,0.324568709688641,0.353263712982045,0.157945797302707,0.295581537464349,0.454163609652022
"conflicts_arr",0.014250930152786,0.0126006152547464,0.0134304197561515,0.0237410784350778,0.0280973018240744,0.0280416722892373,0.0180802238952709
"inv_distance_2",1.25371988179593e-40,7.96269302081131e-41,6.3821884099004e-42,5.22333479495482e-42,2.53364165312017e-41,6.99727083465901e-41,1.42751188867061e-41
"gdp_mean_dep",0.00271954752605032,0.00426516214708392,0.00393308229575338,0.00407844317579739,0.00330538051867037,0.00355211277061489,0.00556968326296019
"gdp_mean_arr",0.0838643792532786,0.080866043979657,0.0886777659870218,0.103903016574759,0.109886666861542,0.187448167519828,0.178348511333828
"population_density_dep",0.00481200952001651,0.00736628300313805,0.00673627940391004,0.006794687660114,0.00542008900974206,0.00567377612666031,0.00875377610416345
"population_density_arr",0.133494565288592,0.129696696346541,0.143362794125589,0.17145648164558,0.17881784637496,0.291512662163706,0.271794122120502
