"","summary.lm..coefficients...4.","summary.lm_lag1..coefficients...4.","summary.lm_lag2..coefficients...4.","summary.lm_lag3..coefficients...4.","summary.lm_lag4..coefficients...4.","summary.lm_lag5..coefficients...4.","summary.lm_lag6..coefficients...4."
"(Intercept)",6.56361592410861e-169,1.76885471177726e-176,6.43329751773053e-180,1.72096604309565e-182,1.60677967078092e-182,1.36701395210652e-181,2.22637720046276e-194
"TA_dep",0.772636914687976,0.98890371527781,0.536763061459077,0.47448715709464,0.860603358153328,0.881597500310784,0.486651316712005
"PA_dep",0.507526780646576,0.874579544581539,0.458530166314173,0.12055375974207,0.0280938095411232,0.0323253078141935,0.177474371227375
"DL_dep",0.0136372698012218,0.00815294148387183,0.00282184396533508,0.00106181235918393,0.00211709500989496,0.00039859666206083,0.0065499340840432
"conflicts_dep",1.84957787990556e-10,0.00011125200082398,0.0431302190133605,0.0460468797406481,0.0168354155760406,0.0347009172317203,0.0456512103761649
"TA_arr",0.00778785747266428,0.00448859651103908,0.0198848065751805,0.0181091687990816,0.000941340142976013,0.00329050717844242,0.00437847048429169
"PA_arr",0.334122309855357,0.767031386330748,0.807562732583005,0.781602221700115,0.567511691056894,0.334159870725375,0.562943077742426
"DL_arr",0.000260602376431735,0.00109464490607152,0.000582872908503487,0.000726124629525376,0.00265848479336942,0.0033971810269546,0.00352784027815225
"conflicts_arr",3.69997461285268e-10,1.19723162569902e-06,6.16091512566305e-07,5.06158980271925e-06,4.79263934552904e-06,0.000558846374957243,0.000103697679097883
"distance",2.65360911485698e-102,1.54851871217875e-103,3.07550825007335e-108,2.23594905587142e-107,3.95384579107046e-105,3.0180372328493e-107,5.18009822235265e-106
"gdp_mean_dep",1.46576334377775e-08,2.39938460612026e-06,2.13133543641199e-05,2.06334563490987e-05,1.87723229117434e-05,4.34657979219109e-05,7.15672373640096e-05
"gdp_mean_arr",0.711462737679797,0.563250867145688,0.45710052561947,0.518047079698428,0.520914372881142,0.262414667515762,0.331522437225787
"pop_count_dep",9.54588795705182e-06,3.91099300216081e-10,1.0519244317704e-14,2.64551415687964e-14,5.43242654870406e-13,4.12958616856712e-13,9.92155511513084e-13
"pop_count_arr",9.04917573003272e-13,5.06438271943366e-10,2.98383846919284e-10,1.51508734932583e-09,2.1314201153068e-09,7.33738069657911e-08,2.76850206883899e-08
