"","summary.lm_log..coefficients...4.","summary.lm_lag1_log..coefficients...4.","summary.lm_lag2_log..coefficients...4.","summary.lm_lag3_log..coefficients...4.","summary.lm_lag4_log..coefficients...4.","summary.lm_lag5_log..coefficients...4.","summary.lm_lag6_log..coefficients...4."
"(Intercept)",6.78323380803551e-249,3.20052144731977e-238,1.73764000451976e-221,3.68563093994397e-224,5.73338756846324e-243,6.28882294255689e-243,2.40008845739834e-225
"TA_dep_log",0.000677319797139863,0.000385073231855111,0.0532230709558486,0.306252281575913,0.0105994693652104,0.452916067945987,0.241204418598039
"PA_dep_log",0.837616259277114,0.44665732358771,0.36962050864779,0.0685596731863297,0.0969942868706433,0.739321376188756,0.112283238136645
"DL_dep_log",0.0842682014657232,0.112634161860758,0.431003881796518,0.450964341506312,0.756559782394298,0.0255126392322155,0.162992878321668
"conflicts_dep_log",2.17768952474014e-06,0.0112787023884232,0.132073055746454,0.0455190309218383,0.0336525250993759,0.0204017238606578,0.0324471053646923
"TA_arr_log",2.06375355558571e-10,9.38226691917568e-11,2.9885939323906e-06,7.53312072540437e-06,5.89619254961296e-09,8.73409673445275e-09,7.97451041994586e-07
"PA_arr_log",0.168931741127776,0.28437965806211,0.850140708352044,0.426400985504871,0.473562166892738,0.682550270060748,0.135182619732934
"DL_arr_log",0.007742843391511,0.00347777395491219,0.0859943505613895,0.276572864395055,0.0456053998571528,0.0367593476686533,0.0523821220714587
"conflicts_arr_log",6.98425453225703e-12,1.06423170389876e-10,1.47287349729531e-08,8.8859357292062e-09,1.2914129764238e-07,4.16263516564251e-07,6.72856005406725e-07
"distance_log",6.87515761463102e-86,7.18721226712838e-88,5.96734905071277e-98,1.01829042537339e-96,1.03621909738655e-94,1.57737203024907e-99,3.47477701918794e-98
"gdp_mean_dep_log",0.0166381509622092,0.0401422775674381,0.0264559493920641,0.0123692406732186,0.012515770572743,0.0106647079598259,0.019266811268848
"gdp_mean_arr_log",0.00304685029642527,0.000652189189139212,7.07621264884145e-06,7.34717392351062e-06,7.68994559447365e-06,5.32434454932368e-06,2.95947833445592e-06
"pop_count_dep_log",0.00509725289722182,0.000121976688016129,1.13322142829043e-06,3.18612529024331e-06,4.53928264287674e-06,1.265394573291e-05,1.07237922799045e-05
"pop_count_arr_log",0.00608043135270574,0.00190861096725937,0.00060439369854514,0.000375766614842207,0.0032552887501565,0.00535718037785358,0.00789167833701796
