"","summary.lm..coefficients...4.","summary.lm_lag1..coefficients...4.","summary.lm_lag2..coefficients...4.","summary.lm_lag3..coefficients...4.","summary.lm_lag4..coefficients...4.","summary.lm_lag5..coefficients...4.","summary.lm_lag6..coefficients...4."
"(Intercept)",0,0,0,0,0,0,0
"TA_dep",0.000368964587270426,2.72719261040353e-05,6.77323367559637e-05,4.7298717898418e-05,0.000107050791644646,0.00141717707568004,0.0181431236563451
"PA_dep",1.80269246942822e-11,9.30594275245934e-12,6.15575889052309e-11,1.48348224319168e-06,0.00770632652624404,0.12883719449089,0.89801247787448
"DL_dep",2.70069974626248e-08,2.08243014694005e-07,1.45283046130443e-08,3.11843351198229e-09,1.02235896583527e-08,7.23503617404334e-09,2.77317061885907e-09
"conflicts_dep",0.00496828667293394,0.0106835536045253,0.0197485859519155,5.09069298291785e-05,0.000440011619015454,6.24349849392765e-05,2.40002975912601e-05
"TA_arr",4.22799150663404e-09,9.68210000220203e-11,1.12292189039835e-10,1.93160891637151e-10,8.10071361977475e-09,1.64253321953755e-07,1.55121590152921e-06
"PA_arr",0.00115858645749024,0.000278311900244823,0.00088731520545731,0.0292224720390005,0.449754504721927,0.925422529030359,0.705546071790863
"DL_arr",2.31612141331188e-07,8.7395603761426e-08,7.81261126504998e-07,4.1494794374903e-06,4.76430882439641e-06,1.08088673518795e-05,7.47046859297989e-06
"conflicts_arr",0.00859326140457384,0.000476841844482336,0.0187107285291582,0.823258116773198,0.855152682763857,0.527668091289838,0.424841247124282
"dist_centroids",5.99314482433989e-280,4.39690558535979e-275,7.54556062509139e-271,1.66442154758903e-270,1.42421434061816e-269,5.72519301316752e-271,2.88026661646792e-271
"population_dep",0.0400617450460195,0.0463696813030355,0.0413062423178391,0.0995572609234315,0.085317929267495,0.107156374038107,0.14433188431287
"population_arr",1.17591102237671e-38,5.67150054480913e-39,1.48458925812156e-39,8.07075114350539e-40,8.7185952693098e-40,6.44856197440599e-40,2.4326890762055e-40
"gdp_mean_dep",0.540734039000437,0.745397775500899,0.879419924974423,0.288181827455697,0.444482814237635,0.319815603592459,0.28952371207834
"gdp_mean_arr",1.69082634843529e-13,8.90483386389835e-13,6.07765655947315e-18,4.92612394913261e-27,3.51348974474539e-28,6.22233096823547e-30,1.35184557091868e-25
