"","lm_c.coefficients","lm_lag1_c.coefficients","lm_lag2_c.coefficients","lm_lag3_c.coefficients","lm_lag4_c.coefficients","lm_lag5_c.coefficients","lm_lag6_c.coefficients"
"(Intercept)",-10.285609103505,-10.2919884338856,-10.2937960160426,-10.293645360279,-10.2652600740434,-10.2964308196498,-10.2924365184481
"TA_dep",0.027155089869533,0.0649025697148472,0.0434404984091461,0.0490862589835754,0.0997138191739575,0.0764008052059596,0.139509782538497
"PA_dep",0.00419346562958903,-0.0157104808839115,0.0302098429981565,0.0689559301158149,0.107233113725645,0.0782878291422983,0.0429977611185657
"DL_dep",0.140827327767827,0.1280012809304,0.132258795901202,0.155551525950537,0.151701939600331,0.182760514342484,0.137796053038518
"conflicts_dep",0.40249222454719,0.32651399740367,0.189204610736254,0.183479331358179,0.210503640998813,0.248105328118588,0.238793633561993
"TA_arr",-0.146796367258018,-0.173721776482315,-0.148116855001796,-0.152852934609993,-0.228525949454764,-0.180340225201476,-0.161060846989398
"PA_arr",-0.0355465795042458,0.0417702537323341,0.0479295553256163,0.045168962396339,-0.00990762690130001,-0.0452584075718001,-0.0124051849678741
"DL_arr",-0.107053306550175,-0.0951873132974566,-0.11160387663422,-0.105887382498698,-0.081353883276315,-0.0906502780924037,-0.112534084527064
"conflicts_arr",0.249132986961567,0.239483592551162,0.253305591081456,0.218528328626431,0.229373647212629,0.190801126910722,0.207197367335931
"distance",-0.761947999091217,-0.766790324232878,-0.773467205949177,-0.770733197809838,-0.75183706389185,-0.770438704259278,-0.771962444955912
"population_dep",-0.205491404791578,-0.153978153625872,-0.0397673354793398,-0.0313583547675901,-0.0516444332610995,-0.0806559724208765,-0.0871480117419782
"population_arr",-0.332956153434721,-0.311580394123409,-0.31807877462051,-0.291724318721822,-0.290688915398988,-0.266601340256203,-0.272948710277721
"gdp_mean_dep",-0.0867520763870089,-0.0595714883808812,-0.0366177067327432,-0.0335751774042283,-0.0426654159225693,-0.0358885274238602,-0.0296591218864983
"gdp_mean_arr",0.158069087861883,0.156332344275506,0.158786893811187,0.166921407753853,0.156218164448513,0.165413711194007,0.163982715991727
