"","lm.coefficients","lm_lag1.coefficients","lm_lag2.coefficients","lm_lag3.coefficients","lm_lag4.coefficients","lm_lag5.coefficients","lm_lag6.coefficients"
"(Intercept)",-9.99086277133964,-9.98052630477518,-9.98626066152994,-9.99048183186325,-9.98989180675781,-9.99498783594393,-9.98520355073787
"TA_dep",0.0538541426855898,0.0627236493879575,0.0878375091671014,0.114455728026436,0.130162084191237,0.113075244244679,0.103942109075178
"PA_dep",0.0624569466139102,0.0676314022892202,0.0717919484038647,0.0614274894415187,0.0319456610883362,-0.00168085088698191,-0.0160600356782567
"DL_dep",-0.00874127715234115,-0.0294503143791209,-0.0382126688817135,-0.0499587170983523,-0.061284274313935,-0.0629674238154103,-0.0633720246982597
"conflicts_dep",0.0779686776276884,0.0993910995503067,0.0875869657545765,0.102156526964206,0.0752819831087969,0.120704405278812,0.0996024795994692
"TA_arr",0.000884345041551947,-0.0223825773179602,-0.0486026617612009,-0.0664621932303481,-0.0574648681646329,-0.0418999889549069,-0.0318493281385558
"PA_arr",0.000922615461421054,-0.00651459546828445,-0.0193167960743188,-0.031213639714936,-0.0269142477934855,-0.0051938768026175,0.0191258735562432
"DL_arr",0.247558740500057,0.249652142794737,0.258446134637891,0.265789924748228,0.258009837559613,0.243098236255066,0.230156415365799
"conflicts_arr",0.10800463808425,0.151409180313297,0.0906971547608513,0.0439376060578544,0.0312251311334187,0.0389921704408137,0.0868953123977935
"distance",-0.600365861689422,-0.595123792732114,-0.59677438014317,-0.599701600600572,-0.600409315146955,-0.603567186679986,-0.599409450563715
"population_dep",-0.310868037665407,-0.32361384240777,-0.315608622337687,-0.325138642165622,-0.306645842831592,-0.332872922406037,-0.321601356834842
"population_arr",-0.277981547655902,-0.285661883812347,-0.278661831133688,-0.273935540978895,-0.271442937353162,-0.273732736138904,-0.279985861731682
"gdp_mean_dep",0.003263041396961,-0.00627405260318413,-7.03513900873573e-05,-0.00103927346498748,0.00411494643756953,-0.0117985282940811,-0.00692282051513985
"gdp_mean_arr",0.204655807949226,0.180565743908946,0.217326704124281,0.24654542838442,0.255795328397875,0.250078821455854,0.225756294675403
