"","summary.lm_c..coefficients...4.","summary.lm_lag1_c..coefficients...4.","summary.lm_lag2_c..coefficients...4.","summary.lm_lag3_c..coefficients...4.","summary.lm_lag4_c..coefficients...4.","summary.lm_lag5_c..coefficients...4.","summary.lm_lag6_c..coefficients...4."
"(Intercept)",0,0,0,0,0,0,0
"TA_dep",0.726730130540613,0.402838605615291,0.586074761797513,0.545950777333041,0.216721791182717,0.335616875116984,0.0701661741801501
"PA_dep",0.936815907997009,0.774093924835771,0.580989416992166,0.199960238932158,0.0465456741206376,0.132962869705694,0.416442616693421
"DL_dep",0.0106985419653489,0.01923172076608,0.015653724005741,0.00424881235408151,0.00467371039663693,0.000708586227232421,0.0101913557988281
"conflicts_dep",2.68230789579014e-09,6.64729450916428e-07,0.00388631182884428,0.00785734304527702,0.00289807429779135,0.000748637351134396,0.000864009392586174
"TA_arr",0.0315663428979033,0.0115551656658596,0.0301051621443402,0.0344533357876276,0.00185268569776,0.010621787859045,0.0177570627195558
"PA_arr",0.508554827092853,0.445657379481417,0.384652594001933,0.425201776908829,0.856669353262142,0.399255255626893,0.818335780166314
"DL_arr",0.0820486547774505,0.117181053234436,0.0670037562116412,0.0844401353328832,0.18506795625186,0.141301806096501,0.0693546450222961
"conflicts_arr",0.000265763096726283,0.000125238465378066,3.12884534525433e-05,0.000541711627055867,0.000164825744462966,0.00172391845080644,0.000892546480169485
"distance",3.03323960989637e-48,1.7560772235335e-48,3.88760091780653e-49,9.14892582337045e-49,6.35311851007632e-47,2.54195734679708e-48,2.16643740979382e-48
"population_dep",0.00394717715335736,0.0309625174332353,0.580055143290533,0.668842040050183,0.479309973732032,0.286959329232549,0.247466749007427
"population_arr",5.74286171517812e-06,1.98744211521864e-05,1.33604506007122e-05,6.04587806327591e-05,6.23630895832848e-05,0.000229116816489204,0.000162832940082981
"gdp_mean_dep",0.0629137909050183,0.198618410244774,0.433170549983857,0.475100288116952,0.369929051321048,0.445598610308975,0.528279733006367
"gdp_mean_arr",0.00226081487279226,0.00204471200401447,0.00147624937768626,0.00116965471693774,0.00178445332870857,0.00122645750296747,0.00164242809485599
