"","summary.lm..coefficients...4.","summary.lm_lag1..coefficients...4.","summary.lm_lag2..coefficients...4.","summary.lm_lag3..coefficients...4.","summary.lm_lag4..coefficients...4.","summary.lm_lag5..coefficients...4.","summary.lm_lag6..coefficients...4."
"(Intercept)",0,0,0,0,0,0,0
"TA_dep",0.127256564502042,0.0795435741993107,0.0160721591531789,0.00164493176151638,0.000350588743638575,0.0018064755885708,0.0042466645265002
"PA_dep",0.0209670838514082,0.012072980164007,0.0069368229830554,0.0219098557244883,0.234081741684945,0.950610714894658,0.547698356275232
"DL_dep",0.773958284391019,0.32938929678817,0.203759607599522,0.0946577292477284,0.0395571309615037,0.0342540206164796,0.0322357461701442
"conflicts_dep",0.0506464328332514,0.0124413120080685,0.0253562529384176,0.00994055478396029,0.0573055313133535,0.00255538556827849,0.0126348985670233
"TA_arr",0.977518652728842,0.479108664110443,0.125368833464697,0.0339877491213517,0.0686750829842882,0.184227327423092,0.310864280890968
"PA_arr",0.973311402318298,0.815952053133128,0.49026394051375,0.275056934379715,0.336879565451858,0.852218009333167,0.474863225491348
"DL_arr",1.22546670773689e-15,4.98151637368327e-16,3.93650817140212e-17,4.29522724846124e-18,4.60894447579143e-17,3.44872310012276e-15,1.13885951672581e-13
"conflicts_arr",0.00557414765445309,6.4217198512029e-05,0.0155881253503725,0.247826443190074,0.402171763298308,0.301194924875709,0.021240137407298
"distance",2.65014650857198e-102,4.17911445816132e-101,3.32128618359684e-101,9.22047556090964e-102,2.63297140530083e-101,2.10282697527681e-101,6.14145439577081e-100
"population_dep",1.57106464039405e-16,3.53802189687793e-18,1.82604398961876e-17,4.49378245752785e-18,2.14776626486914e-16,7.59494143763613e-19,9.94201941621738e-18
"population_arr",7.41809102292114e-20,7.33467400489547e-21,5.79613985416294e-20,2.37552925026653e-19,6.26759901019177e-19,3.80193248047792e-19,5.82371661508235e-20
"gdp_mean_dep",0.909434993717969,0.827661402990437,0.998040669313645,0.971025032619221,0.886728243157252,0.684831982078318,0.810905328841045
"gdp_mean_arr",1.20333913525122e-09,2.66921170079311e-08,1.87520235490213e-11,1.8409853740274e-14,2.13454408874341e-15,7.11111559581682e-15,2.59394935449704e-12
