alpha_3,ADM0_PCODE,ADM0_REF,ADM1_PCODE,ADM1_REF,ADM2_PCODE,ADM2_REF,ADM3_PCODE,ADM3_REF,ADM_LEVEL,ADM_PCODE,ADM_REF,Season,CHIRPS_mean,CHIRPS_min,CHIRPS_max
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010101,Tahtay Adiyabo,3,ET010101,Tahtay Adiyabo,marmay,-3.1513,-14.97463,17.18291
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010102,Laelay Adiabo,3,ET010102,Laelay Adiabo,marmay,-0.07541,-9.53622,8.81351
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010103,Zana,3,ET010103,Zana,marmay,-1.74197,-11.43945,6.12773
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010104,Tahtay Koraro,3,ET010104,Tahtay Koraro,marmay,1.90197,-4.525,7.385
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010105,Asgede,3,ET010105,Asgede,marmay,-5.59819,-12.6059,1.97244
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010106,Tselemti,3,ET010106,Tselemti,marmay,-0.4195,-7.71887,20.30765
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010107,Sheraro town,3,ET010107,Sheraro town,marmay,-5.98509,-8.03903,-3.84438
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010108,Indasilassie town,3,ET010108,Indasilassie town,marmay,,,
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010109,Selekleka,3,ET010109,Selekleka,marmay,4.33736,2.154,7.00336
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010110,Seyemti Adyabo,3,ET010110,Seyemti Adyabo,marmay,1.7821,-5.37271,7.74748
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010111,Adi Daero,3,ET010111,Adi Daero,marmay,3.26148,1.98323,4.53973
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010112,Adi Hageray,3,ET010112,Adi Hageray,marmay,-0.17936,-10.71907,13.38261
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010113,Tsimbla,3,ET010113,Tsimbla,marmay,-1.46925,-6.68022,4.78367
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010114,Endabaguna town,3,ET010114,Endabaguna town,marmay,,,
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010115,Dima (TG),3,ET010115,Dima (TG),marmay,-3.50784,-16.47743,7.40205
ETH,ET,Ethiopia,ET01,Tigray,ET0101,North Western,ET010116,May Tsebri town,3,ET010116,May Tsebri town,marmay,,,
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010201,Chila,3,ET010201,Chila,marmay,7.02846,1.77168,12.76647
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010202,Aheferom,3,ET010202,Aheferom,marmay,30.16511,22.36671,37.27684
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010203,Edaga arbi,3,ET010203,Edaga arbi,marmay,26.80561,9.36401,39.74251
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010204,Adwa,3,ET010204,Adwa,marmay,10.06937,2.02589,23.24175
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010205,Laelay Maychew,3,ET010205,Laelay Maychew,marmay,8.03598,0.62271,15.24886
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010206,Tahtay Mayechew,3,ET010206,Tahtay Mayechew,marmay,5.11745,-1.22462,9.90475
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010207,Adet,3,ET010207,Adet,marmay,3.24285,-5.17896,13.27548
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010208,Kola Temben,3,ET010208,Kola Temben,marmay,6.92146,-3.83366,21.9771
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010209,Naeder,3,ET010209,Naeder,marmay,14.23068,8.51756,20.18906
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010210,Abergele (TG),3,ET010210,Abergele (TG),marmay,18.78503,0.5349,32.30583
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010211,Abi Adi town,3,ET010211,Abi Adi town,marmay,14.00351,14.00351,14.00351
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010212,Adwa town,3,ET010212,Adwa town,marmay,7.85397,7.85397,7.85397
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010213,Axum town,3,ET010213,Axum town,marmay,10.6704,10.6704,10.6704
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010214,Rama,3,ET010214,Rama,marmay,4.70567,-0.13853,13.3486
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010215,Ahsea,3,ET010215,Ahsea,marmay,16.89624,7.89571,22.6955
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010216,Egela,3,ET010216,Egela,marmay,29.49957,22.12765,36.38927
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010217,Hahayle,3,ET010217,Hahayle,marmay,19.67269,15.12069,25.62259
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010218,Endafelasi,3,ET010218,Endafelasi,marmay,24.11432,13.26997,44.44861
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010219,Emba Sieneti,3,ET010219,Emba Sieneti,marmay,35.64337,21.46134,52.24596
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010220,Enticho town,3,ET010220,Enticho town,marmay,,,
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010221,Keyhe tekli,3,ET010221,Keyhe tekli,marmay,27.01035,9.31755,38.05679
ETH,ET,Ethiopia,ET01,Tigray,ET0102,Central,ET010222,Tanqua Melashe,3,ET010222,Tanqua Melashe,marmay,21.48989,9.03803,32.02637
