time,admin1,tmx,pre,conflicts
1997-01,Awdal,30.2775,0.3125,0.0
1997-01,Bakool,36.488747,0.0062499996,0.0
1997-01,Banadir,35.239999999999995,0.00049999995,0.0
1997-01,Bari,29.962084,0.0725,0.0
1997-01,Bay,38.415,0.0014285714,0.0
1997-01,Galgaduud,34.728237,0.023529412,0.0
1997-01,Gedo,38.91143,0.0,0.0
1997-01,Hiraan,36.830906,0.0054545454,0.0
1997-01,Lower Juba,37.952354,0.049411763,0.0
1997-01,Lower Shabelle,36.859997,0.0009999999,0.0
1997-01,Middle Juba,38.882,0.011999999,0.0
1997-01,Middle Shabelle,33.620003,0.0,0.0
1997-01,Mudug,32.832355,0.013529412,0.0
1997-01,Nugaal,31.860998,0.031999998,0.0
1997-01,Sanaag,30.796108,0.135,0.0
1997-01,Sool,32.225002,0.024166666,0.0
1997-01,Togdheer,32.039,0.097,0.0
1997-01,Woqooyi Galbeed,31.128,0.269,0.0
1997-02,Awdal,30.6775,0.012499999,0.0
1997-02,Bakool,37.76625,0.0,0.0
1997-02,Banadir,36.340501,0.0,0.0
1997-02,Bari,31.044998,0.0070833336,0.0
1997-02,Bay,39.153572,0.0,0.0
1997-02,Galgaduud,36.151764,0.017647058,0.0
1997-02,Gedo,39.638573,0.0,0.0
1997-02,Hiraan,38.329998,0.0018181818,0.0
1997-02,Lower Juba,38.607647,0.0,1.0
1997-02,Lower Shabelle,37.795002,0.0,0.0
1997-02,Middle Juba,39.562,0.0,0.0
1997-02,Middle Shabelle,34.886,0.0,0.0
1997-02,Mudug,34.498238,0.0047058817,0.0
1997-02,Nugaal,33.339,0.0009999999,0.0
1997-02,Sanaag,31.460554,0.008333333,0.0
1997-02,Sool,34.054165,0.0025,0.0
1997-02,Togdheer,33.536003,0.022,0.0
1997-02,Woqooyi Galbeed,31.272,0.037,0.0
1997-03,Awdal,34.9525,2.1075,0.0
1997-03,Bakool,38.651253,0.54625,0.0
1997-03,Banadir,36.482999500000005,1.2885000500000001,0.0
1997-03,Bari,33.779583,0.47583333,0.0
1997-03,Bay,39.655,1.3992857,0.0
1997-03,Galgaduud,37.277058,0.8664706,0.0
1997-03,Gedo,40.03857,0.48357147,0.0
1997-03,Hiraan,39.176365,0.55727273,0.0
1997-03,Lower Juba,38.321762,2.138235,0.0
1997-03,Lower Shabelle,37.733997,1.8690001,0.0
1997-03,Middle Juba,39.390003,0.8879999,0.0
1997-03,Middle Shabelle,35.232002,0.708,0.0
1997-03,Mudug,35.738823,0.35999998,1.0
1997-03,Nugaal,34.769,0.225,0.0
1997-03,Sanaag,34.032223,0.73666674,0.0
1997-03,Sool,35.306667,0.42,0.0
1997-03,Togdheer,35.057,0.949,0.0
1997-03,Woqooyi Galbeed,35.178997,1.497,0.0
1997-04,Awdal,34.557503,1.8725,0.0
1997-04,Bakool,37.510002,7.03875,0.0
1997-04,Banadir,35.782,5.75399985,1.0
1997-04,Bari,34.178333,1.4716667,0.0
1997-04,Bay,37.19643,7.547857,0.0
1997-04,Galgaduud,36.851173,5.554706,0.0
1997-04,Gedo,38.52786,6.577143,0.0
1997-04,Hiraan,38.556362,5.71,0.0
1997-04,Lower Juba,35.79235,5.302353,0.0
1997-04,Lower Shabelle,35.854,6.2279997,0.0
1997-04,Middle Juba,37.607998,7.0,0.0
1997-04,Middle Shabelle,35.71,5.28,0.0
1997-04,Mudug,35.9747,4.701176,0.0
1997-04,Nugaal,35.206,3.58,0.0
1997-04,Sanaag,33.04889,2.97,0.0
1997-04,Sool,34.828335,3.1575,0.0
1997-04,Togdheer,33.589,3.4759998,0.0
