time,region,PRECTOTCORR,T2M_MAX
199701.0,Awdal,0.3125,30.2775
199701.0,Bakool,0.0062499996,36.488747
199701.0,Bari,0.0725,29.962084
199701.0,Bay,0.0014285714,38.415
199701.0,Galgaduud,0.023529412,34.728237
199701.0,Gedo,0.0,38.91143
199701.0,Hiraan,0.0054545454,36.830906
199701.0,Lower Juba,0.049411763,37.952354
199701.0,Lower Shabelle,0.0009999999,36.859997
199701.0,Middle Juba,0.011999999,38.882
199701.0,Middle Shabelle,0.0,33.620003
199701.0,Mudug,0.013529412,32.832355
199701.0,Nugaal,0.031999998,31.860998
199701.0,Sanaag,0.135,30.796108
199701.0,Sool,0.024166666,32.225002
199701.0,Togdheer,0.097,32.039
199701.0,Woqooyi Galbeed,0.269,31.128
199702.0,Awdal,0.012499999,30.6775
199702.0,Bakool,0.0,37.76625
199702.0,Bari,0.0070833336,31.044998
199702.0,Bay,0.0,39.153572
199702.0,Galgaduud,0.017647058,36.151764
199702.0,Gedo,0.0,39.638573
199702.0,Hiraan,0.0018181818,38.329998
199702.0,Lower Juba,0.0,38.607647
199702.0,Lower Shabelle,0.0,37.795002
199702.0,Middle Juba,0.0,39.562
199702.0,Middle Shabelle,0.0,34.886
199702.0,Mudug,0.0047058817,34.498238
199702.0,Nugaal,0.0009999999,33.339
199702.0,Sanaag,0.008333333,31.460554
199702.0,Sool,0.0025,34.054165
199702.0,Togdheer,0.022,33.536003
199702.0,Woqooyi Galbeed,0.037,31.272
199703.0,Awdal,2.1075,34.9525
199703.0,Bakool,0.54625,38.651253
199703.0,Bari,0.47583333,33.779583
199703.0,Bay,1.3992857,39.655
199703.0,Galgaduud,0.8664706,37.277058
199703.0,Gedo,0.48357147,40.03857
199703.0,Hiraan,0.55727273,39.176365
199703.0,Lower Juba,2.138235,38.321762
199703.0,Lower Shabelle,1.8690001,37.733997
199703.0,Middle Juba,0.8879999,39.390003
199703.0,Middle Shabelle,0.708,35.232002
199703.0,Mudug,0.35999998,35.738823
199703.0,Nugaal,0.225,34.769
199703.0,Sanaag,0.73666674,34.032223
199703.0,Sool,0.42,35.306667
199703.0,Togdheer,0.949,35.057
199703.0,Woqooyi Galbeed,1.497,35.178997
199704.0,Awdal,1.8725,34.557503
199704.0,Bakool,7.03875,37.510002
199704.0,Bari,1.4716667,34.178333
199704.0,Bay,7.547857,37.19643
199704.0,Galgaduud,5.554706,36.851173
199704.0,Gedo,6.577143,38.52786
199704.0,Hiraan,5.71,38.556362
199704.0,Lower Juba,5.302353,35.79235
199704.0,Lower Shabelle,6.2279997,35.854
199704.0,Middle Juba,7.0,37.607998
199704.0,Middle Shabelle,5.28,35.71
199704.0,Mudug,4.701176,35.9747
199704.0,Nugaal,3.58,35.206
199704.0,Sanaag,2.97,33.04889
199704.0,Sool,3.1575,34.828335
199704.0,Togdheer,3.4759998,33.589
199704.0,Woqooyi Galbeed,2.9559999,33.573997
199705.0,Awdal,1.1975,37.29
199705.0,Bakool,1.795,33.4625
199705.0,Bari,0.58708334,36.5125
199705.0,Bay,2.0657141,33.361427
199705.0,Galgaduud,1.0147059,35.274117
199705.0,Gedo,1.5828571,34.404285
199705.0,Hiraan,1.3254546,35.432728
199705.0,Lower Juba,2.7505882,33.79294
199705.0,Lower Shabelle,2.1290002,33.057
199705.0,Middle Juba,2.23,34.047997
199705.0,Middle Shabelle,1.622,33.398
199705.0,Mudug,1.1841177,35.341175
199705.0,Nugaal,1.4629999,34.458
199705.0,Sanaag,1.1988889,33.426113
199705.0,Sool,1.2408334,34.204166
199705.0,Togdheer,1.813,33.253002
199705.0,Woqooyi Galbeed,1.7459999,35.326
199706.0,Awdal,0.63,40.2125
199706.0,Bakool,0.16499999,34.26625
199706.0,Bari,0.8283333,36.2675
199706.0,Bay,0.28357142,34.217857
199706.0,Galgaduud,0.2017647,34.438232
199706.0,Gedo,0.32,34.607143
199706.0,Hiraan,0.18818182,35.223633
199706.0,Lower Juba,3.8452938,32.86529
199706.0,Lower Shabelle,0.188,33.284996
199706.0,Middle Juba,0.48400003,34.084003
199706.0,Middle Shabelle,0.178,32.322
199706.0,Mudug,0.28117645,34.801765
199706.0,Nugaal,0.574,34.482
199706.0,Sanaag,1.4355556,34.48167
199706.0,Sool,0.8108333,34.796665
199706.0,Togdheer,0.606,34.459003
199706.0,Woqooyi Galbeed,0.662,37.239998
199707.0,Awdal,2.0425,39.4325
199707.0,Bakool,0.120000005,34.44625
199707.0,Bari,0.79749995,36.360416
199707.0,Bay,0.21142857,34.885002
199707.0,Galgaduud,0.10117647,35.03647
199707.0,Gedo,0.15642858,34.548573
199707.0,Hiraan,0.044545457,35.63727
199707.0,Lower Juba,1.9858823,32.011177
199707.0,Lower Shabelle,0.08600001,33.687
199707.0,Middle Juba,0.28599998,34.06
199707.0,Middle Shabelle,0.0039999997,32.464
199707.0,Mudug,0.10882353,35.234116
199707.0,Nugaal,0.277,34.711998
199707.0,Sanaag,1.2805555,34.330555
199707.0,Sool,0.68249995,34.585003
199707.0,Togdheer,0.822,33.913002
199707.0,Woqooyi Galbeed,1.617,36.693
199708.0,Awdal,1.3675001,39.0625
199708.0,Bakool,0.03875,35.7275
199708.0,Bari,1.3054167,36.355835
199708.0,Bay,0.061428573,35.679287
199708.0,Galgaduud,0.041764706,35.64059
199708.0,Gedo,0.038571425,35.68571
199708.0,Hiraan,0.015454545,36.59182
199708.0,Lower Juba,0.43882352,33.35294
199708.0,Lower Shabelle,0.015000001,34.048
199708.0,Middle Juba,0.045999996,35.218
199708.0,Middle Shabelle,0.0,32.53
199708.0,Mudug,0.048823524,35.495293
199708.0,Nugaal,0.182,34.928
199708.0,Sanaag,0.9305556,35.407223
199708.0,Sool,0.43999997,35.619167
199708.0,Togdheer,0.63199997,35.282
199708.0,Woqooyi Galbeed,1.0860001,36.934
199709.0,Awdal,0.2625,39.68
199709.0,Bakool,0.63875,36.47625
199709.0,Bari,0.24333334,36.73833
199709.0,Bay,1.0071429,36.79
199709.0,Galgaduud,0.15764704,36.17059
199709.0,Gedo,0.45999998,37.192852
199709.0,Hiraan,0.2709091,37.336365
199709.0,Lower Juba,0.62764704,35.37765
199709.0,Lower Shabelle,0.69,34.982002
199709.0,Middle Juba,0.504,36.642002
199709.0,Middle Shabelle,0.16600001,33.362
199709.0,Mudug,0.07705882,35.991177
199709.0,Nugaal,0.058999997,35.245003
199709.0,Sanaag,0.25166667,34.918335
199709.0,Sool,0.19583334,35.289165
199709.0,Togdheer,0.367,34.921
199709.0,Woqooyi Galbeed,0.385,37.134
199710.0,Awdal,5.0150003,36.317497
199710.0,Bakool,18.925001,34.606255
199710.0,Bari,0.09166666,35.085
199710.0,Bay,22.397142,35.41643
199710.0,Galgaduud,9.212354,35.296474
199710.0,Gedo,17.295,36.392143
199710.0,Hiraan,13.753635,36.065456
199710.0,Lower Juba,12.707058,34.185295
199710.0,Lower Shabelle,17.786,34.260998
199710.0,Middle Juba,20.376001,35.902
199710.0,Middle Shabelle,12.590001,32.878
199710.0,Mudug,6.0388236,34.914703
199710.0,Nugaal,1.3729999,33.9
199710.0,Sanaag,1.395,33.10889
199710.0,Sool,2.4075,33.6725
199710.0,Togdheer,5.622,33.241
199710.0,Woqooyi Galbeed,6.371,34.932
199711.0,Awdal,0.7325,30.8825
199711.0,Bakool,5.9825,30.2575
199711.0,Bari,0.02875,32.992916
199711.0,Bay,9.879999,29.987858
199711.0,Galgaduud,2.179412,31.762943
199711.0,Gedo,9.867857,30.222857
199711.0,Hiraan,2.8236363,31.15182
199711.0,Lower Juba,11.662353,31.295881
199711.0,Lower Shabelle,6.967,30.513998
199711.0,Middle Juba,12.682,30.308002
199711.0,Middle Shabelle,2.1399999,30.73
199711.0,Mudug,1.11,33.33
199711.0,Nugaal,0.177,34.531
199711.0,Sanaag,0.12166667,31.901665
199711.0,Sool,0.235,33.91
199711.0,Togdheer,0.778,30.932999
199711.0,Woqooyi Galbeed,1.058,29.763998
199712.0,Awdal,0.0925,30.1725
199712.0,Bakool,2.21,29.57875
199712.0,Bari,0.0050000004,30.934998
199712.0,Bay,5.0285716,29.925
199712.0,Galgaduud,0.19411765,33.28588
199712.0,Gedo,4.9592857,29.882856
199712.0,Hiraan,0.77454543,32.71182
199712.0,Lower Juba,6.452353,30.722355
